,postcode,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI
58,2074,5649,4207,4843,2049,2382.0,1230.0,1690.0,652.0,137.0,2154.0,8243.0,1078.0,3236.0,2743.0,1521.0,6128.0,2498.0,5039.0,22261.0,18984.0,2091.0,1452.0,2028.0,1651.0,2125.0,42.0
59,2075,4931,4063,4307,2047,2232.0,1271.0,1661.0,623.0,127.0,1729.0,7638.0,1164.0,3115.0,2406.0,1554.0,5902.0,2320.0,3994.0,20456.0,16960.0,2746.0,1195.0,2453.0,2293.0,3017.0,29.0
60,2076,6318,4710,4902,2436,2462.0,1371.0,1809.0,684.0,211.0,2243.0,8785.0,1252.0,3651.0,3529.0,1958.0,6856.0,2827.0,4577.0,24653.0,21053.0,2393.0,1342.0,2400.0,2067.0,2451.0,115.0
61,2077,10961,8914,5069,3679,4336.0,2836.0,2438.0,738.0,158.0,5014.0,15518.0,2727.0,4678.0,3898.0,6080.0,11617.0,3867.0,4929.0,37792.0,27953.0,8148.0,1592.0,3544.0,3893.0,8387.0,169.0
62,2079,2092,1712,1063,539,691.0,498.0,576.0,204.0,59.0,480.0,2500.0,420.0,1051.0,907.0,735.0,2136.0,1005.0,831.0,7096.0,6402.0,471.0,356.0,652.0,473.0,386.0,61.0
63,2080,519,379,221,139,170.0,106.0,125.0,51.0,19.0,147.0,610.0,106.0,255.0,213.0,137.0,516.0,223.0,245.0,1704.0,1526.0,102.0,88.0,132.0,88.0,100.0,35.0
64,2081,1566,1230,832,397,498.0,339.0,420.0,173.0,59.0,378.0,1868.0,350.0,818.0,723.0,477.0,1677.0,660.0,670.0,5365.0,4875.0,319.0,270.0,408.0,253.0,283.0,42.0
65,2082,1601,1280,728,349,533.0,369.0,431.0,164.0,43.0,391.0,1926.0,388.0,857.0,583.0,419.0,1714.0,650.0,784.0,5399.0,4878.0,302.0,276.0,295.0,239.0,221.0,39.0
66,2083,510,375,199,109,236.0,64.0,73.0,28.0,12.0,273.0,688.0,54.0,161.0,154.0,114.0,430.0,279.0,320.0,1514.0,1319.0,102.0,93.0,107.0,55.0,57.0,13.0
67,2084,1027,786,577,284,374.0,186.0,262.0,113.0,36.0,273.0,1248.0,181.0,525.0,449.0,259.0,1060.0,449.0,689.0,3625.0,3202.0,212.0,230.0,242.0,157.0,141.0,20.0
68,2085,3583,2393,1867,789,1218.0,619.0,892.0,365.0,72.0,1094.0,4255.0,584.0,1703.0,1351.0,686.0,3202.0,1184.0,2917.0,11624.0,10241.0,870.0,894.0,840.0,683.0,747.0,35.0
69,2086,3625,2878,2279,1019,1219.0,771.0,1206.0,441.0,104.0,898.0,4630.0,886.0,2262.0,1657.0,961.0,4202.0,1378.0,2051.0,13417.0,11908.0,1034.0,808.0,1071.0,906.0,928.0,60.0
70,2087,3717,2363,2265,1008,1196.0,684.0,1072.0,428.0,90.0,1125.0,4601.0,686.0,2264.0,1499.0,775.0,3877.0,1277.0,2423.0,12796.0,11247.0,1102.0,957.0,1207.0,823.0,1006.0,42.0
71,2088,5306,5753,8076,2208,3612.0,1540.0,1613.0,624.0,137.0,4903.0,12426.0,1488.0,3521.0,2853.0,3410.0,8355.0,3390.0,5452.0,28476.0,22659.0,3586.0,1681.0,2163.0,1761.0,3693.0,59.0
72,2089,2092,3185,3477,613,1878.0,619.0,402.0,87.0,17.0,2990.0,5998.0,653.0,846.0,899.0,2974.0,3720.0,1173.0,1644.0,11914.0,8893.0,1911.0,536.0,987.0,837.0,1842.0,33.0
73,2090,2624,3339,3983,779,2078.0,746.0,625.0,138.0,31.0,3130.0,6748.0,853.0,1153.0,984.0,2740.0,4162.0,1573.0,2252.0,13726.0,10536.0,2103.0,761.0,1242.0,954.0,1946.0,23.0
74,2092,1587,1248,1698,556,591.0,387.0,637.0,261.0,55.0,526.0,2450.0,475.0,1338.0,858.0,449.0,2310.0,806.0,908.0,7137.0,6140.0,712.0,398.0,529.0,543.0,747.0,29.0
75,2093,5222,4764,4756,1560,2289.0,1362.0,1731.0,631.0,108.0,2668.0,8794.0,1662.0,3633.0,2273.0,2485.0,7402.0,2341.0,3077.0,22872.0,19001.0,2558.0,1150.0,1513.0,1681.0,2607.0,78.0
76,2094,1174,1430,1572,310,834.0,347.0,338.0,93.0,11.0,912.0,2538.0,404.0,626.0,450.0,1030.0,1800.0,647.0,876.0,5841.0,4738.0,748.0,295.0,330.0,377.0,799.0,20.0
77,2095,3156,3846,4365,887,2385.0,725.0,629.0,195.0,27.0,3539.0,7506.0,855.0,1199.0,1353.0,3831.0,4754.0,1542.0,2322.0,15863.0,10791.0,3559.0,708.0,821.0,963.0,3587.0,70.0
78,2096,3136,3752,3122,753,1849.0,800.0,855.0,306.0,70.0,2270.0,6140.0,1029.0,1840.0,1344.0,2790.0,4775.0,1380.0,1492.0,14656.0,11627.0,1897.0,601.0,802.0,821.0,1833.0,75.0
79,2097,4120,3791,2449,1006,1646.0,900.0,1090.0,427.0,107.0,1617.0,5794.0,938.0,2183.0,1862.0,1816.0,4585.0,1726.0,2409.0,15531.0,13312.0,1230.0,902.0,804.0,709.0,1095.0,95.0
80,2099,12371,10307,4991,2414,4634.0,2464.0,2428.0,813.0,186.0,6245.0,16774.0,2677.0,4710.0,4291.0,6073.0,12254.0,4158.0,5762.0,39922.0,31545.0,5817.0,2305.0,2813.0,2842.0,5379.0,300.0
81,2100,6158,4857,3068,1452,2053.0,1193.0,1610.0,587.0,150.0,2119.0,7701.0,1379.0,3013.0,2430.0,2239.0,6366.0,2296.0,3180.0,20911.0,17832.0,2134.0,1300.0,1628.0,1302.0,1735.0,122.0
82,2101,5451,4955,2758,1078,2308.0,1083.0,1188.0,401.0,109.0,2919.0,8008.0,1269.0,2295.0,1796.0,2329.0,5529.0,2198.0,3996.0,19394.0,16738.0,1451.0,1173.0,899.0,772.0,1195.0,170.0
83,2102,1993,1731,1078,480,774.0,467.0,574.0,178.0,47.0,658.0,2703.0,554.0,1152.0,827.0,725.0,2289.0,757.0,1189.0,7499.0,6531.0,537.0,398.0,439.0,418.0,554.0,61.0
84,2103,3141,2626,1622,608,1300.0,582.0,693.0,260.0,66.0,1320.0,4216.0,570.0,1321.0,1146.0,963.0,2844.0,1420.0,2405.0,10674.0,9366.0,693.0,818.0,603.0,475.0,598.0,75.0
85,2104,1193,747,617,240,477.0,166.0,201.0,76.0,12.0,682.0,1614.0,115.0,370.0,328.0,192.0,716.0,512.0,1388.0,3620.0,3114.0,233.0,392.0,248.0,155.0,150.0,3.0
86,2105,461,419,376,136,250.0,104.0,117.0,36.0,5.0,246.0,760.0,62.0,231.0,180.0,82.0,529.0,349.0,416.0,1848.0,1510.0,144.0,157.0,146.0,93.0,102.0,8.0
87,2106,2655,2278,1583,635,1117.0,556.0,592.0,267.0,59.0,1132.0,3723.0,498.0,1250.0,1118.0,842.0,2673.0,1375.0,1560.0,9303.0,8285.0,623.0,567.0,544.0,365.0,492.0,40.0
88,2107,4132,3346,2545,1034,1741.0,775.0,1061.0,416.0,103.0,1451.0,5541.0,793.0,2133.0,1624.0,939.0,4077.0,2293.0,2825.0,14670.0,12989.0,975.0,998.0,906.0,694.0,734.0,85.0
89,2108,430,358,409,125,279.0,72.0,62.0,26.0,12.0,279.0,725.0,53.0,139.0,143.0,100.0,341.0,310.0,585.0,1672.0,1409.0,110.0,129.0,87.0,41.0,69.0,7.0
90,2109,1098,511,258,755,312.0,96.0,39.0,3.0,4.0,467.0,923.0,101.0,83.0,1334.0,840.0,365.0,90.0,284.0,3090.0,1367.0,1470.0,53.0,146.0,228.0,1422.0,25.0
91,2110,2242,1733,2330,1126,970.0,495.0,599.0,318.0,79.0,1138.0,3593.0,510.0,1508.0,1485.0,787.0,2650.0,1175.0,2249.0,10348.0,9155.0,599.0,756.0,744.0,411.0,457.0,68.0
92,2111,3852,3383,2713,1055,1696.0,806.0,900.0,342.0,72.0,2274.0,6087.0,883.0,1691.0,1496.0,1891.0,4373.0,1625.0,2458.0,14415.0,12351.0,1255.0,1144.0,1219.0,755.0,1047.0,75.0
93,2112,9637,7861,4351,3370,3731.0,2115.0,2109.0,732.0,168.0,4514.0,13365.0,2079.0,3658.0,4133.0,5625.0,9149.0,3416.0,4794.0,32852.0,25127.0,5995.0,2150.0,3599.0,2530.0,5517.0,119.0
94,2113,5443,4283,2817,1843,2098.0,1168.0,1217.0,352.0,87.0,2552.0,7478.0,1174.0,1982.0,2233.0,3085.0,5225.0,2046.0,2617.0,18365.0,14225.0,3331.0,987.0,2173.0,1498.0,3097.0,58.0
95,2114,6960,6291,3193,2681,3067.0,1681.0,1375.0,430.0,104.0,3460.0,10117.0,1601.0,2375.0,2718.0,5198.0,6754.0,2552.0,2864.0,24059.0,17458.0,5578.0,1079.0,2774.0,2435.0,5442.0,87.0
96,2115,3482,2407,985,1021,1054.0,703.0,731.0,277.0,103.0,1138.0,4012.0,871.0,1319.0,1250.0,1579.0,3030.0,1225.0,1488.0,10738.0,8923.0,1279.0,554.0,1235.0,1012.0,1088.0,129.0
97,2116,2187,1538,595,719,677.0,428.0,455.0,163.0,49.0,802.0,2581.0,451.0,840.0,834.0,915.0,1997.0,753.0,848.0,6640.0,5366.0,941.0,277.0,790.0,788.0,832.0,58.0
98,2117,7101,4722,2015,2323,2100.0,1361.0,1362.0,557.0,167.0,2743.0,8286.0,1386.0,2625.0,2652.0,3150.0,6153.0,2516.0,2825.0,21288.0,16634.0,3530.0,1032.0,2548.0,2433.0,3039.0,158.0
99,2118,7483,5328,2761,3215,2438.0,1762.0,1872.0,615.0,165.0,2192.0,9044.0,1501.0,3073.0,3176.0,3017.0,6753.0,2929.0,3905.0,24340.0,18753.0,4649.0,1056.0,3733.0,3053.0,4289.0,64.0
100,2119,2987,2344,2419,1113,1171.0,667.0,982.0,350.0,95.0,826.0,4091.0,536.0,1687.0,1624.0,828.0,3161.0,1556.0,2262.0,11646.0,10185.0,1065.0,531.0,1272.0,889.0,956.0,25.0
101,2120,5653,4472,3438,1834,2022.0,1219.0,1615.0,562.0,162.0,1763.0,7342.0,1223.0,2775.0,2696.0,1822.0,6008.0,2461.0,3229.0,20207.0,17460.0,1967.0,1092.0,2008.0,1717.0,1905.0,87.0
102,2121,7833,6270,4283,3850,2874.0,1924.0,2086.0,666.0,141.0,3063.0,10755.0,1527.0,3403.0,4195.0,4055.0,7690.0,3432.0,3908.0,28215.0,20827.0,6417.0,951.0,4023.0,3192.0,6052.0,51.0
103,2122,9753,6902,3469,4889,3387.0,2018.0,1818.0,531.0,110.0,4791.0,12659.0,1720.0,2839.0,4838.0,5668.0,7799.0,3471.0,4839.0,31161.0,21256.0,8589.0,1387.0,4388.0,3626.0,7721.0,80.0
104,2123,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2125,4426,3706,3040,1689,1590.0,1045.0,1370.0,553.0,135.0,1029.0,5713.0,884.0,2145.0,2307.0,1602.0,4390.0,2526.0,2519.0,16377.0,14515.0,1386.0,900.0,2527.0,1502.0,1197.0,44.0
106,2126,5311,3980,3214,2255,1675.0,1288.0,1661.0,558.0,138.0,1176.0,6497.0,766.0,2664.0,2872.0,1563.0,5360.0,2637.0,2908.0,18768.0,15971.0,2260.0,923.0,2855.0,2492.0,2498.0,53.0
107,2127,2794,4012,2429,1537,2088.0,1010.0,723.0,163.0,34.0,2606.0,6624.0,1173.0,1291.0,1384.0,4408.0,4380.0,1144.0,760.0,14535.0,9393.0,3651.0,294.0,1722.0,1897.0,3403.0,61.0
108,2128,686,617,149,243,235.0,150.0,107.0,51.0,29.0,349.0,918.0,216.0,271.0,552.0,1219.0,1474.0,271.0,158.0,4166.0,1579.0,571.0,81.0,267.0,292.0,528.0,366.0
109,2129,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2130,1912,2018,1272,427,927.0,417.0,334.0,95.0,13.0,1498.0,3279.0,416.0,712.0,738.0,1587.0,2346.0,712.0,785.0,7306.0,5778.0,1014.0,428.0,600.0,441.0,939.0,66.0
111,2131,8283,5945,2415,2521,2892.0,1484.0,1000.0,261.0,73.0,4560.0,10274.0,1247.0,1699.0,3208.0,5994.0,6094.0,2273.0,3332.0,23839.0,15312.0,6857.0,1483.0,2593.0,1992.0,6527.0,154.0
112,2132,3533,2319,1394,1108,1122.0,637.0,671.0,228.0,73.0,1360.0,4091.0,516.0,1241.0,1333.0,1467.0,2936.0,1259.0,1849.0,10613.0,8658.0,1420.0,1087.0,1199.0,770.0,1169.0,63.0
113,2133,3683,2602,1126,1039,1160.0,716.0,743.0,285.0,83.0,1355.0,4336.0,647.0,1368.0,1359.0,1495.0,3312.0,1193.0,1652.0,11014.0,9192.0,1284.0,1172.0,1405.0,686.0,952.0,82.0
