postcode,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1,INCP_LOW,INCP_MID,INCP_HIGH,INCP_NEG_NIL,CPRF_2,CPRF_3,CPRF_4,CPRF_5,CPRF_6+,CPRF_na,CPRF_HHOLD_NO,0-4yo,5-14yo,15-24yo,25-34yo,35-54yo,55-64yo,65+yo,population_2016,citizen_AU,citizen_non_AU,YARRP <1975,YARRP 1976-1995,YARRP 1996-2005,YARRP 2006-2016,ATSI,10yBonds% 2020 Q1,10yBonds% 2020 Q2,10yBonds% 2020 Q3,10yBonds% 2020 Q4,10yBonds% 2021 Q1,2yBonds% 2020 Q1,2yBonds% 2020 Q2,2yBonds% 2020 Q3,2yBonds% 2020 Q4,2yBonds% 2021 Q1,Rate 2020 Q1,Rate 2020 Q2,Rate 2020 Q3,Rate 2020 Q4,Rate 2021 Q1,constr_index 2020 Q1,constr_index 2020 Q2,constr_index 2020 Q3,constr_index 2020 Q4,constr_index 2021 Q1
2029,2293.0,2075.0,2332.0,2305.0,2014.0,1733.0,1700.0,1595.0,1770.0,1498.0,660.0,650.0,625.0,650.0,620.0,181.0,126.0,201.0,202.0,169.0,38.0,39.0,48.0,67.0,68.0,1808.0,1756.0,1757.0,1825.0,1832.0,1988,2342,2303,718,1269.0,563.0,517.0,217.0,29.0,1711.0,4304.0,609.0,1185.0,982.0,1575.0,2908.0,922.0,1767.0,9957.0,7969.0,1159.0,691.0,1029.0,861.0,1168.0,34.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2030,3150.0,3313.0,3277.0,3589.0,3658.0,2725.0,2950.0,2513.0,3100.0,3710.0,780.0,750.0,745.0,690.0,750.0,117.0,87.0,118.0,115.0,117.0,39.0,45.0,82.0,61.0,47.0,1188.0,1134.0,1151.0,1177.0,1180.0,2694,2631,3446,1416,1407.0,772.0,926.0,470.0,116.0,1654.0,5350.0,811.0,2173.0,1850.0,1243.0,4037.0,1700.0,2266.0,14080.0,11906.0,1224.0,1079.0,1519.0,1184.0,1338.0,42.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2031,1602.0,2761.0,1593.0,1602.0,1654.0,1200.0,1573.0,1220.0,1218.0,1278.0,630.0,585.0,580.0,560.0,570.0,633.0,602.0,841.0,773.0,782.0,107.0,124.0,130.0,178.0,166.0,6606.0,6463.0,6553.0,6697.0,6748.0,7604,8990,7305,2363,4276.0,1872.0,1684.0,471.0,84.0,6624.0,15007.0,2184.0,3329.0,3994.0,7716.0,10215.0,3103.0,4199.0,34729.0,25490.0,6274.0,1849.0,2687.0,2194.0,6171.0,190.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2032,1476.0,1873.0,1393.0,1525.0,1389.0,1311.0,1645.0,1420.0,1503.0,965.0,565.0,500.0,473.0,438.0,450.0,416.0,244.0,444.0,442.0,530.0,20.0,20.0,37.0,42.0,51.0,2752.0,2611.0,2574.0,2694.0,2751.0,5373,3181,1601,3572,1652.0,736.0,688.0,229.0,47.0,3601.0,6952.0,622.0,1276.0,4827.0,3246.0,3416.0,1294.0,2019.0,16692.0,9498.0,6207.0,1075.0,1303.0,1016.0,5680.0,179.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2033,1345.0,1231.0,1770.0,1410.0,1613.0,959.0,945.0,1500.0,900.0,1000.0,580.0,520.0,490.0,495.0,480.0,285.0,218.0,337.0,316.0,374.0,20.0,20.0,72.0,45.0,54.0,2389.0,2304.0,2289.0,2336.0,2364.0,3151,2747,1692,1586,1356.0,531.0,449.0,155.0,37.0,2380.0,4909.0,540.0,925.0,2480.0,2643.0,2752.0,827.0,1400.0,11573.0,7471.0,3164.0,618.0,954.0,782.0,2864.0,64.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2034,1894.0,1623.0,1888.0,1780.0,2105.0,1573.0,1200.0,1495.0,1508.0,1600.0,710.0,630.0,650.0,650.0,660.0,396.0,417.0,559.0,406.0,411.0,64.0,53.0,76.0,96.0,96.0,3929.0,3835.0,3944.0,4019.0,4024.0,4470,5250,4713,1052,2428.0,1073.0,995.0,299.0,61.0,4536.0,9389.0,1269.0,1979.0,2039.0,4667.0,6326.0,1959.0,2476.0,20716.0,15370.0,3265.0,1023.0,1495.0,1098.0,3304.0,202.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2035,1396.0,1490.0,1564.0,1551.0,1702.0,1205.0,1485.0,1480.0,1335.0,1450.0,650.0,600.0,550.0,550.0,560.0,477.0,414.0,539.0,509.0,576.0,95.0,66.0,101.0,135.0,127.0,4551.0,4489.0,4476.0,4557.0,4597.0,10170,7941,4928,3408,3938.0,1916.0,2036.0,690.0,160.0,5786.0,14520.0,1944.0,3756.0,4698.0,5369.0,9496.0,3585.0,5631.0,34496.0,26097.0,6111.0,2741.0,3393.0,2412.0,5260.0,423.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2036,1156.0,1249.0,1208.0,1285.0,1317.0,993.0,1080.0,925.0,1000.0,1030.0,670.0,640.0,620.0,600.0,600.0,462.0,390.0,527.0,475.0,553.0,106.0,81.0,129.0,156.0,139.0,3359.0,3429.0,3629.0,3742.0,3877.0,8999,6556,3206,2454,3018.0,1767.0,1813.0,658.0,171.0,4287.0,11710.0,1694.0,3423.0,3796.0,4160.0,8838.0,3491.0,5003.0,30411.0,23043.0,3482.0,2107.0,2991.0,1792.0,2939.0,1287.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2037,1235.0,1439.0,1516.0,1426.0,1197.0,1170.0,1238.0,1400.0,1437.0,1070.0,630.0,550.0,520.0,500.0,530.0,582.0,383.0,606.0,564.0,565.0,48.0,50.0,53.0,55.0,81.0,3867.0,3734.0,3818.0,3933.0,3934.0,4585,3889,2985,1382,2153.0,688.0,458.0,102.0,19.0,4552.0,7965.0,632.0,920.0,2715.0,4069.0,4145.0,1708.0,1921.0,16119.0,11299.0,3074.0,700.0,1282.0,831.0,2845.0,309.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
2038,1822.0,1525.0,1623.0,1604.0,1983.0,1765.0,1480.0,1440.0,1653.0,2020.0,668.0,578.0,595.0,550.0,550.0,170.0,148.0,182.0,156.0,203.0,20.0,32.0,43.0,56.0,35.0,1697.0,1664.0,1634.0,1601.0,1618.0,2128,2171,2324,548,1125.0,491.0,502.0,112.0,22.0,1885.0,4125.0,626.0,945.0,992.0,1687.0,3147.0,1008.0,1047.0,9452.0,7746.0,924.0,532.0,644.0,427.0,769.0,93.0,1.0066666666666666,0.8966666666666666,0.89,0.89,1.3533333333333335,0.6166666666666667,0.24,0.24333333333333332,0.10333333333333333,0.09000000000000001,0.6388888888888888,0.25,0.25,0.15625,0.1,116.0,116.2,116.2,116.9,117.8
