postcode,rkey,time_period,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2138,r121,2017 Q3,650.0,433.0,3658.0,0.0,0.2266,,
2140,r121,2017 Q3,520.0,278.0,2984.0,0.04,-0.123,,
2141,r121,2017 Q3,520.0,296.0,3313.0,0.0612,0.3333,,
2142,r121,2017 Q3,470.0,421.0,3931.0,0.0444,0.0964,,
2143,r121,2017 Q3,480.0,61.0,780.0,0.0213,0.0167,,
2144,r121,2017 Q3,455.0,295.0,4380.0,-0.0109,0.065,,
2145,r121,2017 Q3,480.0,728.0,9058.0,0.0,-0.0162,,
2146,r121,2017 Q3,470.0,157.0,1562.0,0.0,0.0537,,
2147,r121,2017 Q3,430.0,229.0,2564.0,0.0,0.0044,,
2148,r121,2017 Q3,420.0,612.0,7018.0,0.0244,0.0643,,
2150,r121,2017 Q3,500.0,857.0,8936.0,0.0,-0.1704,,
2151,r121,2017 Q3,480.0,236.0,3126.0,-0.0204,-0.1292,,
2152,r121,2017 Q3,460.0,106.0,1322.0,-0.0515,-0.0783,,
2153,r121,2017 Q3,570.0,310.0,3433.0,-0.0172,0.0299,,
2154,r121,2017 Q3,620.0,208.0,2450.0,0.0351,-0.0048,,
2155,r121,2017 Q3,640.0,450.0,3304.0,0.0159,0.372,,
2156,r121,2017 Q3,700.0,20.0,309.0,0.0145,0.087,,
2157,r121,2017 Q3,450.0,5.0,149.0,,-0.1667,,
2158,r121,2017 Q3,680.0,31.0,378.0,0.0709,0.2917,,
2159,r121,2017 Q3,520.0,20.0,179.0,-0.1297,0.375,,
2160,r121,2017 Q3,462.5,364.0,4367.0,0.0335,-0.0267,,
2161,r121,2017 Q3,435.0,225.0,2774.0,0.0116,-0.0217,,
2162,r121,2017 Q3,465.0,123.0,1270.0,-0.0312,0.4819,,
2163,r121,2017 Q3,430.0,67.0,815.0,0.1622,0.0469,,
2164,r121,2017 Q3,490.0,127.0,1451.0,0.0208,0.1441,,
2165,r121,2017 Q3,450.0,305.0,5003.0,0.0227,-0.0409,,
2166,r121,2017 Q3,370.0,414.0,5208.0,0.0,0.2249,,
2167,r121,2017 Q3,460.0,89.0,909.0,-0.0417,0.2899,,
2168,r121,2017 Q3,430.0,201.0,2265.0,-0.0444,-0.0147,,
2170,r121,2017 Q3,430.0,1066.0,11536.0,0.0,-0.0794,,
2171,r121,2017 Q3,550.0,130.0,1612.0,0.0,-0.1096,,
2172,r121,2017 Q3,450.0,5.0,54.0,,-0.6667,,
2173,r121,2017 Q3,530.0,73.0,915.0,0.0192,0.1406,,
2174,r121,2017 Q3,605.0,20.0,211.0,0.0083,-0.2632,,
2175,r121,2017 Q3,450.0,5.0,93.0,,-0.5833,,
2176,r121,2017 Q3,520.0,161.0,2187.0,-0.0095,0.0805,,
2177,r121,2017 Q3,455.0,50.0,647.0,-0.0319,0.1628,,
2178,r121,2017 Q3,565.0,20.0,185.0,0.13,0.7778,,
2179,r121,2017 Q3,560.0,53.0,604.0,0.0419,-0.0185,,
2190,r121,2017 Q3,525.0,100.0,1338.0,0.0048,-0.0566,,
2191,r121,2017 Q3,550.0,33.0,395.0,0.0377,1.0625,,
2192,r121,2017 Q3,400.0,113.0,1765.0,-0.0476,0.0971,,
2193,r121,2017 Q3,537.5,268.0,1807.0,0.0337,1.1967,,
2194,r121,2017 Q3,470.0,338.0,4252.0,0.0217,0.1192,,
2195,r121,2017 Q3,380.0,342.0,4815.0,0.0,0.0823,,
2196,r121,2017 Q3,442.5,170.0,2467.0,0.0291,0.0968,,
2197,r121,2017 Q3,530.0,44.0,498.0,0.0192,0.2571,,
2198,r121,2017 Q3,550.0,37.0,418.0,0.0577,0.3704,,
2199,r121,2017 Q3,480.0,134.0,1182.0,-0.04,0.2523,,
2200,r121,2017 Q3,450.0,443.0,4604.0,0.0,0.2005,,
2203,r121,2017 Q3,500.0,197.0,2517.0,0.0,0.0314,,
2204,r121,2017 Q3,550.0,353.0,4093.0,0.0,0.2744,,
2205,r121,2017 Q3,630.0,385.0,3685.0,0.0,0.0434,,
2206,r121,2017 Q3,645.0,98.0,1370.0,0.0238,-0.1901,,
2207,r121,2017 Q3,510.0,157.0,2145.0,-0.0727,-0.0542,,
2208,r121,2017 Q3,595.0,56.0,854.0,-0.0083,0.0182,,
2209,r121,2017 Q3,495.0,81.0,1273.0,-0.01,-0.243,,
2210,r121,2017 Q3,525.0,168.0,1844.0,0.0096,-0.0968,,
2211,r121,2017 Q3,545.0,102.0,1163.0,0.0046,0.0408,,
2212,r121,2017 Q3,560.0,110.0,1204.0,0.0769,0.0092,,
2213,r121,2017 Q3,550.0,98.0,1208.0,-0.009,-0.2097,,
2214,r121,2017 Q3,450.0,5.0,128.0,,0.25,,
2216,r121,2017 Q3,520.0,351.0,4545.0,-0.0189,0.1108,,
2217,r121,2017 Q3,510.0,329.0,4177.0,-0.0192,-0.0436,,
2218,r121,2017 Q3,485.0,135.0,2266.0,0.0,-0.2059,,
2219,r121,2017 Q3,530.0,117.0,1299.0,-0.0364,0.4625,,
2220,r121,2017 Q3,550.0,341.0,4169.0,0.0185,0.118,,
2221,r121,2017 Q3,590.0,85.0,842.0,-0.0248,0.3492,,
2222,r121,2017 Q3,432.5,140.0,1751.0,0.0298,0.0606,,
2223,r121,2017 Q3,465.0,153.0,2171.0,-0.0106,-0.0192,,
2224,r121,2017 Q3,650.0,68.0,800.0,-0.0545,0.0968,,
2225,r121,2017 Q3,450.0,5.0,126.0,,-0.1818,,
2226,r121,2017 Q3,585.0,52.0,618.0,0.0446,-0.1613,,
2227,r121,2017 Q3,600.0,95.0,1056.0,0.0909,-0.0104,,
2228,r121,2017 Q3,550.0,152.0,1732.0,0.0,-0.044,,
2229,r121,2017 Q3,565.0,170.0,2036.0,0.0273,-0.2411,,
2230,r121,2017 Q3,510.0,408.0,4457.0,0.02,0.1271,,
2231,r121,2017 Q3,577.5,20.0,106.0,-0.0906,0.2,,
2232,r121,2017 Q3,495.0,229.0,2851.0,0.0313,0.1171,,
2233,r121,2017 Q3,600.0,85.0,960.0,0.0084,0.2687,,
2234,r121,2017 Q3,630.0,68.0,826.0,-0.0308,-0.0423,,
2250,r121,2017 Q3,410.0,554.0,6233.0,-0.0238,0.108,,
2251,r121,2017 Q3,480.0,193.0,1830.0,-0.0303,0.2138,,
2256,r121,2017 Q3,410.0,183.0,1830.0,0.025,0.0578,,
