postcode,skey,time_period,year,quarter,dwelling_type,median_price,mean_price,sales_no,Qdelta_median,Adelta_median,Qdelta_count,Adelta_count,rkey,median_rent_newb,new_bonds_no,total_bonds_no,Qdelta_median_rent,Qdelta_new_bonds,Adelta_median_rent,Adelta_new_bonds
2027,s122,2017 Q3,2017,Q3,Total,2260.0,3071.8491428,49.0,0.0044,0.0226,-0.0926,-0.125,r121,750.0,145.0,1575.0,0.0,0.0985,,
2027,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,750.0,145.0,1575.0,0.0,0.0985,,
2027,s122,2017 Q3,2017,Q3,Strata,2135.0,2593.2357333,45.0,0.1356,0.0675,-0.0426,-0.1346,r121,750.0,145.0,1575.0,0.0,0.0985,,
2028,s122,2017 Q3,2017,Q3,Total,2466.0,4004.3714285,35.0,0.096,-0.1114,0.0606,0.0606,r121,750.0,68.0,957.0,-0.0854,-0.2184,,
2028,s122,2017 Q3,2017,Q3,Non Strata,712.5,743.804,5.0,,,,,r121,750.0,68.0,957.0,-0.0854,-0.2184,,
2028,s122,2017 Q3,2017,Q3,Strata,2272.5,4024.625,32.0,0.0191,0.1714,0.0667,0.3913,r121,750.0,68.0,957.0,-0.0854,-0.2184,,
2029,s122,2017 Q3,2017,Q3,Total,1800.0,2443.5,35.0,0.1803,0.2654,-0.186,-0.3,r121,650.0,153.0,1858.0,-0.1003,0.319,,
2029,s122,2017 Q3,2017,Q3,Non Strata,4050.0,4001.6785714,20.0,0.0506,0.3966,0.0,0.2727,r121,650.0,153.0,1858.0,-0.1003,0.319,,
2029,s122,2017 Q3,2017,Q3,Strata,1300.0,1404.7142857,20.0,0.1159,0.2871,-0.2759,-0.4615,r121,650.0,153.0,1858.0,-0.1003,0.319,,
2030,s122,2017 Q3,2017,Q3,Total,1726.0,2857.0356226,53.0,-0.1878,-0.4656,-0.3205,-0.209,r121,800.0,99.0,1208.0,0.0667,-0.01,,
2030,s122,2017 Q3,2017,Q3,Non Strata,4807.5,5031.3585454,20.0,0.2967,0.2103,-0.3529,-0.3889,r121,800.0,99.0,1208.0,0.0667,-0.01,,
2030,s122,2017 Q3,2017,Q3,Strata,1200.0,1313.9677419,31.0,-0.0857,-0.1111,-0.2955,0.0,r121,800.0,99.0,1208.0,0.0667,-0.01,,
2031,s122,2017 Q3,2017,Q3,Total,1350.0,1800.6498091,131.0,0.0714,0.1157,-0.1438,-0.0438,r121,640.0,597.0,6731.0,-0.0154,0.1415,,
