LGA,hhold_count_2016,hhold_count_2021,hhold_count_delta,year,Births_16_21,Deaths_16_21,  Natural change,  Net Migration (all sources),population_2021,population_2016,pop_delta,Adult,Child,MiddleAge,Senior,Youth
RYDE,44742,55001,10259,2016-2021,8809.0,3569.0,5240.0,21674.0,148184.0,121270.0,26914.0,13357,4241,3942,3009,2362
SHELLHARBOUR,25885,28787,2902,2016-2021,4396.0,2623.0,1773.0,4064.0,76227.0,70391.0,5836.0,1792,444,1308,2314,-21
SHOALHAVEN,42798,45814,3016,2016-2021,5406.0,5518.0,-112.0,4883.0,106713.0,101942.0,4771.0,921,210,130,4504,-995
SINGLETON,8731,9052,321,2016-2021,1506.0,805.0,701.0,-498.0,23779.0,23576.0,203.0,-65,-171,64,540,-167
SNOWY MONARO REGIONAL,8587,8692,105,2016-2021,892.0,824.0,68.0,-437.0,20188.0,20558.0,-370.0,-304,-284,-32,544,-295
SNOWY VALLEYS,6159,6173,14,2016-2021,763.0,655.0,108.0,-385.0,14334.0,14611.0,-277.0,-109,-209,-195,363,-127
STRATHFIELD,14588,19006,4418,2016-2021,2838.0,1062.0,1777.0,10223.0,54415.0,42415.0,12000.0,6918,1832,1446,1049,755
SUTHERLAND SHIRE,81081,86870,5789,2016-2021,14670.0,7300.0,7370.0,5392.0,239223.0,226461.0,12762.0,1260,2112,3363,5724,302
SYDNEY,102917,109956,7039,2016-2021,12362.0,4074.0,8288.0,5887.0,236891.0,222717.0,14174.0,8187,3702,2389,3339,-3446
TAMWORTH REGIONAL,24406,25448,1042,2016-2021,3732.0,2745.0,986.0,900.0,62876.0,60990.0,1886.0,803,-44,-72,1157,43
TEMORA,2599,2651,52,2016-2021,305.0,331.0,-26.0,48.0,6232.0,6210.0,22.0,56,-55,-93,114,-1
TENTERFIELD,3118,3087,-31,2016-2021,290.0,404.0,-114.0,-98.0,6485.0,6697.0,-212.0,-116,-113,-229,298,-49
THE HILLS SHIRE,51280,63379,12099,2016-2021,9646.0,4090.0,5556.0,29032.0,197562.0,162975.0,34587.0,11151,5878,7393,6660,3505
TWEED,39153,42259,3106,2016-2021,4430.0,5468.0,-1038.0,6848.0,99552.0,93742.0,5810.0,905,314,1057,3420,114
UNINCORPORATED NSW,460,477,17,2016-2021,25.0,49.0,-24.0,-7.0,1081.0,1112.0,-31.0,-97,-33,24,86,-10
UPPER HUNTER,5820,5910,90,2016-2021,782.0,650.0,132.0,-282.0,14194.0,14344.0,-150.0,-219,-293,35,315,12
UPPER LACHLAN SHIRE,3301,3421,120,2016-2021,414.0,369.0,44.0,129.0,8027.0,7853.0,174.0,39,18,-45,196,-34
URALLA,2546,2608,62,2016-2021,255.0,298.0,-43.0,-41.0,6062.0,6147.0,-85.0,-32,-167,-101,227,-12
