Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by DTWP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","DTWP - 1 Digit Level","Count",
"Persons Place of Usual Residence","2351, NSW","30 km to less than 50 km",0
"Persons Place of Usual Residence","2351, NSW","50 km to less than 250 km",19
"Persons Place of Usual Residence","2351, NSW","250 km and over",24
"Persons Place of Usual Residence","2351, NSW","Not applicable",809
"Persons Place of Usual Residence","2351, NSW","Total",976
"Persons Place of Usual Residence","2352, NSW","Over 0 km to less than 2.5 km",37
"Persons Place of Usual Residence","2352, NSW","Nil distance",97
"Persons Place of Usual Residence","2352, NSW","2.5 km to less than 10 km",58
"Persons Place of Usual Residence","2352, NSW","10 km to less than 30 km",809
"Persons Place of Usual Residence","2352, NSW","30 km to less than 50 km",74
"Persons Place of Usual Residence","2352, NSW","50 km to less than 250 km",64
"Persons Place of Usual Residence","2352, NSW","250 km and over",22
"Persons Place of Usual Residence","2352, NSW","Not applicable",1554
"Persons Place of Usual Residence","2352, NSW","Total",2715
"Persons Place of Usual Residence","2353, NSW","Over 0 km to less than 2.5 km",3
"Persons Place of Usual Residence","2353, NSW","Nil distance",35
"Persons Place of Usual Residence","2353, NSW","2.5 km to less than 10 km",14
"Persons Place of Usual Residence","2353, NSW","10 km to less than 30 km",289
"Persons Place of Usual Residence","2353, NSW","30 km to less than 50 km",40
"Persons Place of Usual Residence","2353, NSW","50 km to less than 250 km",23
"Persons Place of Usual Residence","2353, NSW","250 km and over",7
"Persons Place of Usual Residence","2353, NSW","Not applicable",710
"Persons Place of Usual Residence","2353, NSW","Total",1124
"Persons Place of Usual Residence","2354, NSW","Over 0 km to less than 2.5 km",367
"Persons Place of Usual Residence","2354, NSW","Nil distance",404
"Persons Place of Usual Residence","2354, NSW","2.5 km to less than 10 km",94
"Persons Place of Usual Residence","2354, NSW","10 km to less than 30 km",199
"Persons Place of Usual Residence","2354, NSW","30 km to less than 50 km",211
"Persons Place of Usual Residence","2354, NSW","50 km to less than 250 km",273
"Persons Place of Usual Residence","2354, NSW","250 km and over",30
"Persons Place of Usual Residence","2354, NSW","Not applicable",1988
"Persons Place of Usual Residence","2354, NSW","Total",3574
"Persons Place of Usual Residence","2355, NSW","Over 0 km to less than 2.5 km",4
"Persons Place of Usual Residence","2355, NSW","Nil distance",60
"Persons Place of Usual Residence","2355, NSW","2.5 km to less than 10 km",3
"Persons Place of Usual Residence","2355, NSW","10 km to less than 30 km",11
"Persons Place of Usual Residence","2355, NSW","30 km to less than 50 km",109
"Persons Place of Usual Residence","2355, NSW","50 km to less than 250 km",63
"Persons Place of Usual Residence","2355, NSW","250 km and over",15
"Persons Place of Usual Residence","2355, NSW","Not applicable",392
"Persons Place of Usual Residence","2355, NSW","Total",664
"Persons Place of Usual Residence","2356, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2356, NSW","Nil distance",12
"Persons Place of Usual Residence","2356, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2356, NSW","10 km to less than 30 km",6
"Persons Place of Usual Residence","2356, NSW","30 km to less than 50 km",6
"Persons Place of Usual Residence","2356, NSW","50 km to less than 250 km",20
"Persons Place of Usual Residence","2356, NSW","250 km and over",0
"Persons Place of Usual Residence","2356, NSW","Not applicable",125
"Persons Place of Usual Residence","2356, NSW","Total",160
"Persons Place of Usual Residence","2357, NSW","Over 0 km to less than 2.5 km",536
"Persons Place of Usual Residence","2357, NSW","Nil distance",164
"Persons Place of Usual Residence","2357, NSW","2.5 km to less than 10 km",240
"Persons Place of Usual Residence","2357, NSW","10 km to less than 30 km",207
"Persons Place of Usual Residence","2357, NSW","30 km to less than 50 km",120
"Persons Place of Usual Residence","2357, NSW","50 km to less than 250 km",131
"Persons Place of Usual Residence","2357, NSW","250 km and over",46
"Persons Place of Usual Residence","2357, NSW","Not applicable",2712
"Persons Place of Usual Residence","2357, NSW","Total",4159
"Persons Place of Usual Residence","2358, NSW","Over 0 km to less than 2.5 km",241
"Persons Place of Usual Residence","2358, NSW","Nil distance",211
"Persons Place of Usual Residence","2358, NSW","2.5 km to less than 10 km",134
"Persons Place of Usual Residence","2358, NSW","10 km to less than 30 km",701
"Persons Place of Usual Residence","2358, NSW","30 km to less than 50 km",121
"Persons Place of Usual Residence","2358, NSW","50 km to less than 250 km",77
"Persons Place of Usual Residence","2358, NSW","250 km and over",34
"Persons Place of Usual Residence","2358, NSW","Not applicable",2251
"Persons Place of Usual Residence","2358, NSW","Total",3772
"Persons Place of Usual Residence","2359, NSW","Over 0 km to less than 2.5 km",41
"Persons Place of Usual Residence","2359, NSW","Nil distance",59
"Persons Place of Usual Residence","2359, NSW","2.5 km to less than 10 km",6
"Persons Place of Usual Residence","2359, NSW","10 km to less than 30 km",19
"Persons Place of Usual Residence","2359, NSW","30 km to less than 50 km",43
"Persons Place of Usual Residence","2359, NSW","50 km to less than 250 km",62
"Persons Place of Usual Residence","2359, NSW","250 km and over",7
"Persons Place of Usual Residence","2359, NSW","Not applicable",498
"Persons Place of Usual Residence","2359, NSW","Total",736
"Persons Place of Usual Residence","2360, NSW","Over 0 km to less than 2.5 km",1700
"Persons Place of Usual Residence","2360, NSW","Nil distance",523
"Persons Place of Usual Residence","2360, NSW","2.5 km to less than 10 km",2079
"Persons Place of Usual Residence","2360, NSW","10 km to less than 30 km",655
"Persons Place of Usual Residence","2360, NSW","30 km to less than 50 km",141
"Persons Place of Usual Residence","2360, NSW","50 km to less than 250 km",255
"Persons Place of Usual Residence","2360, NSW","250 km and over",69
"Persons Place of Usual Residence","2360, NSW","Not applicable",9105
"Persons Place of Usual Residence","2360, NSW","Total",14524
"Persons Place of Usual Residence","2361, NSW","Over 0 km to less than 2.5 km",50
"Persons Place of Usual Residence","2361, NSW","Nil distance",79
"Persons Place of Usual Residence","2361, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2361, NSW","10 km to less than 30 km",23
"Persons Place of Usual Residence","2361, NSW","30 km to less than 50 km",35
"Persons Place of Usual Residence","2361, NSW","50 km to less than 250 km",93
"Persons Place of Usual Residence","2361, NSW","250 km and over",19
"Persons Place of Usual Residence","2361, NSW","Not applicable",620
"Persons Place of Usual Residence","2361, NSW","Total",909
"Persons Place of Usual Residence","2365, NSW","Over 0 km to less than 2.5 km",348
"Persons Place of Usual Residence","2365, NSW","Nil distance",231
"Persons Place of Usual Residence","2365, NSW","2.5 km to less than 10 km",174
"Persons Place of Usual Residence","2365, NSW","10 km to less than 30 km",288
"Persons Place of Usual Residence","2365, NSW","30 km to less than 50 km",326
"Persons Place of Usual Residence","2365, NSW","50 km to less than 250 km",147
"Persons Place of Usual Residence","2365, NSW","250 km and over",27
"Persons Place of Usual Residence","2365, NSW","Not applicable",2184
"Persons Place of Usual Residence","2365, NSW","Total",3726
"Persons Place of Usual Residence","2369, NSW","Over 0 km to less than 2.5 km",11
"Persons Place of Usual Residence","2369, NSW","Nil distance",15
"Persons Place of Usual Residence","2369, NSW","2.5 km to less than 10 km",13
"Persons Place of Usual Residence","2369, NSW","10 km to less than 30 km",142
"Persons Place of Usual Residence","2369, NSW","30 km to less than 50 km",29
"Persons Place of Usual Residence","2369, NSW","50 km to less than 250 km",14
"Persons Place of Usual Residence","2369, NSW","250 km and over",16
"Persons Place of Usual Residence","2369, NSW","Not applicable",681
"Persons Place of Usual Residence","2369, NSW","Total",923
"Persons Place of Usual Residence","2370, NSW","Over 0 km to less than 2.5 km",1102
"Persons Place of Usual Residence","2370, NSW","Nil distance",341
"Persons Place of Usual Residence","2370, NSW","2.5 km to less than 10 km",532
"Persons Place of Usual Residence","2370, NSW","10 km to less than 30 km",315
"Persons Place of Usual Residence","2370, NSW","30 km to less than 50 km",150
"Persons Place of Usual Residence","2370, NSW","50 km to less than 250 km",210
"Persons Place of Usual Residence","2370, NSW","250 km and over",72
"Persons Place of Usual Residence","2370, NSW","Not applicable",4971
"Persons Place of Usual Residence","2370, NSW","Total",7683
"Persons Place of Usual Residence","2371, NSW","Over 0 km to less than 2.5 km",47
"Persons Place of Usual Residence","2371, NSW","Nil distance",82
"Persons Place of Usual Residence","2371, NSW","2.5 km to less than 10 km",7
"Persons Place of Usual Residence","2371, NSW","10 km to less than 30 km",45
"Persons Place of Usual Residence","2371, NSW","30 km to less than 50 km",101
"Persons Place of Usual Residence","2371, NSW","50 km to less than 250 km",63
"Persons Place of Usual Residence","2371, NSW","250 km and over",10
"Persons Place of Usual Residence","2371, NSW","Not applicable",802
"Persons Place of Usual Residence","2371, NSW","Total",1155
"Persons Place of Usual Residence","2372, NSW","Over 0 km to less than 2.5 km",572
"Persons Place of Usual Residence","2372, NSW","Nil distance",275
"Persons Place of Usual Residence","2372, NSW","2.5 km to less than 10 km",252
"Persons Place of Usual Residence","2372, NSW","10 km to less than 30 km",232
"Persons Place of Usual Residence","2372, NSW","30 km to less than 50 km",79
"Persons Place of Usual Residence","2372, NSW","50 km to less than 250 km",230
"Persons Place of Usual Residence","2372, NSW","250 km and over",58
"Persons Place of Usual Residence","2372, NSW","Not applicable",3058
"Persons Place of Usual Residence","2372, NSW","Total",4742
"Persons Place of Usual Residence","2379, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2379, NSW","Nil distance",46
"Persons Place of Usual Residence","2379, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2379, NSW","10 km to less than 30 km",12
"Persons Place of Usual Residence","2379, NSW","30 km to less than 50 km",56
"Persons Place of Usual Residence","2379, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2379, NSW","250 km and over",0
"Persons Place of Usual Residence","2379, NSW","Not applicable",158
"Persons Place of Usual Residence","2379, NSW","Total",316
"Persons Place of Usual Residence","2380, NSW","Over 0 km to less than 2.5 km",1343
"Persons Place of Usual Residence","2380, NSW","Nil distance",362
"Persons Place of Usual Residence","2380, NSW","2.5 km to less than 10 km",1411
"Persons Place of Usual Residence","2380, NSW","10 km to less than 30 km",317
"Persons Place of Usual Residence","2380, NSW","30 km to less than 50 km",160
"Persons Place of Usual Residence","2380, NSW","50 km to less than 250 km",722
"Persons Place of Usual Residence","2380, NSW","250 km and over",64
"Persons Place of Usual Residence","2380, NSW","Not applicable",6018
"Persons Place of Usual Residence","2380, NSW","Total",10390
"Persons Place of Usual Residence","2381, NSW","Over 0 km to less than 2.5 km",10
"Persons Place of Usual Residence","2381, NSW","Nil distance",97
"Persons Place of Usual Residence","2381, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2381, NSW","10 km to less than 30 km",198
"Persons Place of Usual Residence","2381, NSW","30 km to less than 50 km",59
"Persons Place of Usual Residence","2381, NSW","50 km to less than 250 km",135
"Persons Place of Usual Residence","2381, NSW","250 km and over",11
"Persons Place of Usual Residence","2381, NSW","Not applicable",681
"Persons Place of Usual Residence","2381, NSW","Total",1190
"Persons Place of Usual Residence","2382, NSW","Over 0 km to less than 2.5 km",70
"Persons Place of Usual Residence","2382, NSW","Nil distance",102
"Persons Place of Usual Residence","2382, NSW","2.5 km to less than 10 km",18
"Persons Place of Usual Residence","2382, NSW","10 km to less than 30 km",150
"Persons Place of Usual Residence","2382, NSW","30 km to less than 50 km",88
"Persons Place of Usual Residence","2382, NSW","50 km to less than 250 km",92
"Persons Place of Usual Residence","2382, NSW","250 km and over",9
"Persons Place of Usual Residence","2382, NSW","Not applicable",796
"Persons Place of Usual Residence","2382, NSW","Total",1322
"Persons Place of Usual Residence","2386, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2386, NSW","Nil distance",59
"Persons Place of Usual Residence","2386, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2386, NSW","10 km to less than 30 km",16
"Persons Place of Usual Residence","2386, NSW","30 km to less than 50 km",10
"Persons Place of Usual Residence","2386, NSW","50 km to less than 250 km",71
"Persons Place of Usual Residence","2386, NSW","250 km and over",4
"Persons Place of Usual Residence","2386, NSW","Not applicable",201
"Persons Place of Usual Residence","2386, NSW","Total",356
"Persons Place of Usual Residence","2387, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2387, NSW","Nil distance",57
"Persons Place of Usual Residence","2387, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2387, NSW","10 km to less than 30 km",0
"Persons Place of Usual Residence","2387, NSW","30 km to less than 50 km",9
"Persons Place of Usual Residence","2387, NSW","50 km to less than 250 km",32
"Persons Place of Usual Residence","2387, NSW","250 km and over",7
"Persons Place of Usual Residence","2387, NSW","Not applicable",99
"Persons Place of Usual Residence","2387, NSW","Total",199
"Persons Place of Usual Residence","2388, NSW","Over 0 km to less than 2.5 km",328
"Persons Place of Usual Residence","2388, NSW","Nil distance",177
"Persons Place of Usual Residence","2388, NSW","2.5 km to less than 10 km",81
"Persons Place of Usual Residence","2388, NSW","10 km to less than 30 km",115
"Persons Place of Usual Residence","2388, NSW","30 km to less than 50 km",157
"Persons Place of Usual Residence","2388, NSW","50 km to less than 250 km",121
"Persons Place of Usual Residence","2388, NSW","250 km and over",16
"Persons Place of Usual Residence","2388, NSW","Not applicable",1679
"Persons Place of Usual Residence","2388, NSW","Total",2673
"Persons Place of Usual Residence","2390, NSW","Over 0 km to less than 2.5 km",1008
"Persons Place of Usual Residence","2390, NSW","Nil distance",382
"Persons Place of Usual Residence","2390, NSW","2.5 km to less than 10 km",1191
"Persons Place of Usual Residence","2390, NSW","10 km to less than 30 km",485
"Persons Place of Usual Residence","2390, NSW","30 km to less than 50 km",373
"Persons Place of Usual Residence","2390, NSW","50 km to less than 250 km",301
"Persons Place of Usual Residence","2390, NSW","250 km and over",70
"Persons Place of Usual Residence","2390, NSW","Not applicable",4956
"Persons Place of Usual Residence","2390, NSW","Total",8755
"Persons Place of Usual Residence","2395, NSW","Over 0 km to less than 2.5 km",33
"Persons Place of Usual Residence","2395, NSW","Nil distance",40
"Persons Place of Usual Residence","2395, NSW","2.5 km to less than 10 km",7
"Persons Place of Usual Residence","2395, NSW","10 km to less than 30 km",19
"Persons Place of Usual Residence","2395, NSW","30 km to less than 50 km",33
"Persons Place of Usual Residence","2395, NSW","50 km to less than 250 km",32
"Persons Place of Usual Residence","2395, NSW","250 km and over",6
"Persons Place of Usual Residence","2395, NSW","Not applicable",503
"Persons Place of Usual Residence","2395, NSW","Total",669
"Persons Place of Usual Residence","2396, NSW","Over 0 km to less than 2.5 km",116
"Persons Place of Usual Residence","2396, NSW","Nil distance",26
"Persons Place of Usual Residence","2396, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2396, NSW","10 km to less than 30 km",25
"Persons Place of Usual Residence","2396, NSW","30 km to less than 50 km",31
"Persons Place of Usual Residence","2396, NSW","50 km to less than 250 km",66
"Persons Place of Usual Residence","2396, NSW","250 km and over",3
"Persons Place of Usual Residence","2396, NSW","Not applicable",591
"Persons Place of Usual Residence","2396, NSW","Total",856
"Persons Place of Usual Residence","2397, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2397, NSW","Nil distance",53
"Persons Place of Usual Residence","2397, NSW","2.5 km to less than 10 km",4
"Persons Place of Usual Residence","2397, NSW","10 km to less than 30 km",6
"Persons Place of Usual Residence","2397, NSW","30 km to less than 50 km",20
"Persons Place of Usual Residence","2397, NSW","50 km to less than 250 km",75
"Persons Place of Usual Residence","2397, NSW","250 km and over",3
"Persons Place of Usual Residence","2397, NSW","Not applicable",216
"Persons Place of Usual Residence","2397, NSW","Total",380
"Persons Place of Usual Residence","2398, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2398, NSW","Nil distance",73
"Persons Place of Usual Residence","2398, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2398, NSW","10 km to less than 30 km",0
"Persons Place of Usual Residence","2398, NSW","30 km to less than 50 km",35
"Persons Place of Usual Residence","2398, NSW","50 km to less than 250 km",17
"Persons Place of Usual Residence","2398, NSW","250 km and over",0
"Persons Place of Usual Residence","2398, NSW","Not applicable",108
"Persons Place of Usual Residence","2398, NSW","Total",236
"Persons Place of Usual Residence","2399, NSW","Over 0 km to less than 2.5 km",5
"Persons Place of Usual Residence","2399, NSW","Nil distance",38
"Persons Place of Usual Residence","2399, NSW","2.5 km to less than 10 km",5
"Persons Place of Usual Residence","2399, NSW","10 km to less than 30 km",15
"Persons Place of Usual Residence","2399, NSW","30 km to less than 50 km",124
"Persons Place of Usual Residence","2399, NSW","50 km to less than 250 km",66
"Persons Place of Usual Residence","2399, NSW","250 km and over",3
"Persons Place of Usual Residence","2399, NSW","Not applicable",341
"Persons Place of Usual Residence","2399, NSW","Total",596
"Persons Place of Usual Residence","2400, NSW","Over 0 km to less than 2.5 km",1335
"Persons Place of Usual Residence","2400, NSW","Nil distance",416
"Persons Place of Usual Residence","2400, NSW","2.5 km to less than 10 km",1200
"Persons Place of Usual Residence","2400, NSW","10 km to less than 30 km",589
"Persons Place of Usual Residence","2400, NSW","30 km to less than 50 km",158
"Persons Place of Usual Residence","2400, NSW","50 km to less than 250 km",390
"Persons Place of Usual Residence","2400, NSW","250 km and over",62
"Persons Place of Usual Residence","2400, NSW","Not applicable",5942
"Persons Place of Usual Residence","2400, NSW","Total",10083
"Persons Place of Usual Residence","2401, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2401, NSW","Nil distance",36
"Persons Place of Usual Residence","2401, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2401, NSW","10 km to less than 30 km",21
"Persons Place of Usual Residence","2401, NSW","30 km to less than 50 km",9
"Persons Place of Usual Residence","2401, NSW","50 km to less than 250 km",85
"Persons Place of Usual Residence","2401, NSW","250 km and over",0
"Persons Place of Usual Residence","2401, NSW","Not applicable",166
"Persons Place of Usual Residence","2401, NSW","Total",321
"Persons Place of Usual Residence","2402, NSW","Over 0 km to less than 2.5 km",219
"Persons Place of Usual Residence","2402, NSW","Nil distance",92
"Persons Place of Usual Residence","2402, NSW","2.5 km to less than 10 km",26
"Persons Place of Usual Residence","2402, NSW","10 km to less than 30 km",64
"Persons Place of Usual Residence","2402, NSW","30 km to less than 50 km",58
"Persons Place of Usual Residence","2402, NSW","50 km to less than 250 km",157
"Persons Place of Usual Residence","2402, NSW","250 km and over",12
"Persons Place of Usual Residence","2402, NSW","Not applicable",1157
"Persons Place of Usual Residence","2402, NSW","Total",1789
"Persons Place of Usual Residence","2403, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2403, NSW","Nil distance",94
"Persons Place of Usual Residence","2403, NSW","2.5 km to less than 10 km",3
"Persons Place of Usual Residence","2403, NSW","10 km to less than 30 km",50
"Persons Place of Usual Residence","2403, NSW","30 km to less than 50 km",100
"Persons Place of Usual Residence","2403, NSW","50 km to less than 250 km",21
"Persons Place of Usual Residence","2403, NSW","250 km and over",4
"Persons Place of Usual Residence","2403, NSW","Not applicable",444
"Persons Place of Usual Residence","2403, NSW","Total",720
"Persons Place of Usual Residence","2404, NSW","Over 0 km to less than 2.5 km",190
"Persons Place of Usual Residence","2404, NSW","Nil distance",128
"Persons Place of Usual Residence","2404, NSW","2.5 km to less than 10 km",45
"Persons Place of Usual Residence","2404, NSW","10 km to less than 30 km",69
"Persons Place of Usual Residence","2404, NSW","30 km to less than 50 km",66
"Persons Place of Usual Residence","2404, NSW","50 km to less than 250 km",109
"Persons Place of Usual Residence","2404, NSW","250 km and over",18
"Persons Place of Usual Residence","2404, NSW","Not applicable",1214
"Persons Place of Usual Residence","2404, NSW","Total",1837
"Persons Place of Usual Residence","2405, NSW","Over 0 km to less than 2.5 km",12
"Persons Place of Usual Residence","2405, NSW","Nil distance",81
"Persons Place of Usual Residence","2405, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2405, NSW","10 km to less than 30 km",6
"Persons Place of Usual Residence","2405, NSW","30 km to less than 50 km",16
"Persons Place of Usual Residence","2405, NSW","50 km to less than 250 km",135
"Persons Place of Usual Residence","2405, NSW","250 km and over",4
"Persons Place of Usual Residence","2405, NSW","Not applicable",258
"Persons Place of Usual Residence","2405, NSW","Total",512
"Persons Place of Usual Residence","2408, NSW","Over 0 km to less than 2.5 km",10
"Persons Place of Usual Residence","2408, NSW","Nil distance",112
"Persons Place of Usual Residence","2408, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2408, NSW","10 km to less than 30 km",0
"Persons Place of Usual Residence","2408, NSW","30 km to less than 50 km",26
"Persons Place of Usual Residence","2408, NSW","50 km to less than 250 km",37
"Persons Place of Usual Residence","2408, NSW","250 km and over",0
"Persons Place of Usual Residence","2408, NSW","Not applicable",184
"Persons Place of Usual Residence","2408, NSW","Total",372
"Persons Place of Usual Residence","2409, NSW","Over 0 km to less than 2.5 km",18
"Persons Place of Usual Residence","2409, NSW","Nil distance",38
"Persons Place of Usual Residence","2409, NSW","2.5 km to less than 10 km",17
"Persons Place of Usual Residence","2409, NSW","10 km to less than 30 km",94
"Persons Place of Usual Residence","2409, NSW","30 km to less than 50 km",28
"Persons Place of Usual Residence","2409, NSW","50 km to less than 250 km",57
"Persons Place of Usual Residence","2409, NSW","250 km and over",4
"Persons Place of Usual Residence","2409, NSW","Not applicable",769
"Persons Place of Usual Residence","2409, NSW","Total",1027
"Persons Place of Usual Residence","2410, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2410, NSW","Nil distance",52
"Persons Place of Usual Residence","2410, NSW","2.5 km to less than 10 km",6
"Persons Place of Usual Residence","2410, NSW","10 km to less than 30 km",0
"Persons Place of Usual Residence","2410, NSW","30 km to less than 50 km",3
"Persons Place of Usual Residence","2410, NSW","50 km to less than 250 km",46
"Persons Place of Usual Residence","2410, NSW","250 km and over",4
"Persons Place of Usual Residence","2410, NSW","Not applicable",163
"Persons Place of Usual Residence","2410, NSW","Total",281
"Persons Place of Usual Residence","2411, NSW","Over 0 km to less than 2.5 km",10
"Persons Place of Usual Residence","2411, NSW","Nil distance",30
"Persons Place of Usual Residence","2411, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2411, NSW","10 km to less than 30 km",6
"Persons Place of Usual Residence","2411, NSW","30 km to less than 50 km",9
"Persons Place of Usual Residence","2411, NSW","50 km to less than 250 km",14
"Persons Place of Usual Residence","2411, NSW","250 km and over",0
"Persons Place of Usual Residence","2411, NSW","Not applicable",52
"Persons Place of Usual Residence","2411, NSW","Total",121
"Persons Place of Usual Residence","2415, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2415, NSW","Nil distance",27
"Persons Place of Usual Residence","2415, NSW","2.5 km to less than 10 km",22
"Persons Place of Usual Residence","2415, NSW","10 km to less than 30 km",34
"Persons Place of Usual Residence","2415, NSW","30 km to less than 50 km",27
"Persons Place of Usual Residence","2415, NSW","50 km to less than 250 km",39
"Persons Place of Usual Residence","2415, NSW","250 km and over",0
"Persons Place of Usual Residence","2415, NSW","Not applicable",236
"Persons Place of Usual Residence","2415, NSW","Total",390
"Persons Place of Usual Residence","2420, NSW","Over 0 km to less than 2.5 km",359
"Persons Place of Usual Residence","2420, NSW","Nil distance",165
"Persons Place of Usual Residence","2420, NSW","2.5 km to less than 10 km",143
"Persons Place of Usual Residence","2420, NSW","10 km to less than 30 km",224
"Persons Place of Usual Residence","2420, NSW","30 km to less than 50 km",193
"Persons Place of Usual Residence","2420, NSW","50 km to less than 250 km",375
"Persons Place of Usual Residence","2420, NSW","250 km and over",14
"Persons Place of Usual Residence","2420, NSW","Not applicable",2553
"Persons Place of Usual Residence","2420, NSW","Total",4022
"Persons Place of Usual Residence","2421, NSW","Over 0 km to less than 2.5 km",22
"Persons Place of Usual Residence","2421, NSW","Nil distance",131
"Persons Place of Usual Residence","2421, NSW","2.5 km to less than 10 km",58
"Persons Place of Usual Residence","2421, NSW","10 km to less than 30 km",250
"Persons Place of Usual Residence","2421, NSW","30 km to less than 50 km",211
"Persons Place of Usual Residence","2421, NSW","50 km to less than 250 km",177
"Persons Place of Usual Residence","2421, NSW","250 km and over",8
"Persons Place of Usual Residence","2421, NSW","Not applicable",971
"Persons Place of Usual Residence","2421, NSW","Total",1831
"Persons Place of Usual Residence","2422, NSW","Over 0 km to less than 2.5 km",463
"Persons Place of Usual Residence","2422, NSW","Nil distance",283
"Persons Place of Usual Residence","2422, NSW","2.5 km to less than 10 km",363
"Persons Place of Usual Residence","2422, NSW","10 km to less than 30 km",354
"Persons Place of Usual Residence","2422, NSW","30 km to less than 50 km",107
"Persons Place of Usual Residence","2422, NSW","50 km to less than 250 km",183
"Persons Place of Usual Residence","2422, NSW","250 km and over",51
"Persons Place of Usual Residence","2422, NSW","Not applicable",3519
"Persons Place of Usual Residence","2422, NSW","Total",5334
"Persons Place of Usual Residence","2423, NSW","Over 0 km to less than 2.5 km",213
"Persons Place of Usual Residence","2423, NSW","Nil distance",158
"Persons Place of Usual Residence","2423, NSW","2.5 km to less than 10 km",68
"Persons Place of Usual Residence","2423, NSW","10 km to less than 30 km",133
"Persons Place of Usual Residence","2423, NSW","30 km to less than 50 km",158
"Persons Place of Usual Residence","2423, NSW","50 km to less than 250 km",209
"Persons Place of Usual Residence","2423, NSW","250 km and over",30
"Persons Place of Usual Residence","2423, NSW","Not applicable",1986
"Persons Place of Usual Residence","2423, NSW","Total",2959
"Persons Place of Usual Residence","2424, NSW","Over 0 km to less than 2.5 km",0
"Persons Place of Usual Residence","2424, NSW","Nil distance",39
"Persons Place of Usual Residence","2424, NSW","2.5 km to less than 10 km",0
"Persons Place of Usual Residence","2424, NSW","10 km to less than 30 km",34
"Persons Place of Usual Residence","2424, NSW","30 km to less than 50 km",46
"Persons Place of Usual Residence","2424, NSW","50 km to less than 250 km",14
"Persons Place of Usual Residence","2424, NSW","250 km and over",5
"Persons Place of Usual Residence","2424, NSW","Not applicable",291
"Persons Place of Usual Residence","2424, NSW","Total",429
"Persons Place of Usual Residence","2425, NSW","Over 0 km to less than 2.5 km",76
"Persons Place of Usual Residence","2425, NSW","Nil distance",119
"Persons Place of Usual Residence","2425, NSW","2.5 km to less than 10 km",57
"Persons Place of Usual Residence","2425, NSW","10 km to less than 30 km",86
"Persons Place of Usual Residence","2425, NSW","30 km to less than 50 km",114
"Persons Place of Usual Residence","2425, NSW","50 km to less than 250 km",221
"Persons Place of Usual Residence","2425, NSW","250 km and over",12
"Persons Place of Usual Residence","2425, NSW","Not applicable",1092
"Persons Place of Usual Residence","2425, NSW","Total",1782
"Persons Place of Usual Residence","2426, NSW","Over 0 km to less than 2.5 km",12
"Persons Place of Usual Residence","2426, NSW","Nil distance",31
"Persons Place of Usual Residence","2426, NSW","2.5 km to less than 10 km",14
"Persons Place of Usual Residence","2426, NSW","10 km to less than 30 km",129
"Persons Place of Usual Residence","2426, NSW","30 km to less than 50 km",23
"Persons Place of Usual Residence","2426, NSW","50 km to less than 250 km",16
"Persons Place of Usual Residence","2426, NSW","250 km and over",10
"Persons Place of Usual Residence","2426, NSW","Not applicable",486
"Persons Place of Usual Residence","2426, NSW","Total",719
"Persons Place of Usual Residence","2427, NSW","Over 0 km to less than 2.5 km",134
"Persons Place of Usual Residence","2427, NSW","Nil distance",67
"Persons Place of Usual Residence","2427, NSW","2.5 km to less than 10 km",64
"Persons Place of Usual Residence","2427, NSW","10 km to less than 30 km",160
"Persons Place of Usual Residence","2427, NSW","30 km to less than 50 km",190
"Persons Place of Usual Residence","2427, NSW","50 km to less than 250 km",83
"Persons Place of Usual Residence","2427, NSW","250 km and over",36
"Persons Place of Usual Residence","2427, NSW","Not applicable",2374
"Persons Place of Usual Residence","2427, NSW","Total",3113
