Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2430, NSW","Total",34017
"Persons Place of Usual Residence","2431, NSW","Public Transport",11
"Persons Place of Usual Residence","2431, NSW","Vehicle",1138
"Persons Place of Usual Residence","2431, NSW","Active Transport",94
"Persons Place of Usual Residence","2431, NSW","Other Mode",6
"Persons Place of Usual Residence","2431, NSW","Worked at home or Did not go to work",299
"Persons Place of Usual Residence","2431, NSW","Mode not stated",41
"Persons Place of Usual Residence","2431, NSW","Not applicable",3542
"Persons Place of Usual Residence","2431, NSW","Total",5133
"Persons Place of Usual Residence","2439, NSW","Public Transport",4
"Persons Place of Usual Residence","2439, NSW","Vehicle",786
"Persons Place of Usual Residence","2439, NSW","Active Transport",26
"Persons Place of Usual Residence","2439, NSW","Other Mode",12
"Persons Place of Usual Residence","2439, NSW","Worked at home or Did not go to work",192
"Persons Place of Usual Residence","2439, NSW","Mode not stated",9
"Persons Place of Usual Residence","2439, NSW","Not applicable",1912
"Persons Place of Usual Residence","2439, NSW","Total",2941
"Persons Place of Usual Residence","2440, NSW","Public Transport",41
"Persons Place of Usual Residence","2440, NSW","Vehicle",5488
"Persons Place of Usual Residence","2440, NSW","Active Transport",271
"Persons Place of Usual Residence","2440, NSW","Other Mode",45
"Persons Place of Usual Residence","2440, NSW","Worked at home or Did not go to work",1200
"Persons Place of Usual Residence","2440, NSW","Mode not stated",162
"Persons Place of Usual Residence","2440, NSW","Not applicable",14610
"Persons Place of Usual Residence","2440, NSW","Total",21816
"Persons Place of Usual Residence","2441, NSW","Public Transport",10
"Persons Place of Usual Residence","2441, NSW","Vehicle",1172
"Persons Place of Usual Residence","2441, NSW","Active Transport",76
"Persons Place of Usual Residence","2441, NSW","Other Mode",17
"Persons Place of Usual Residence","2441, NSW","Worked at home or Did not go to work",342
"Persons Place of Usual Residence","2441, NSW","Mode not stated",37
"Persons Place of Usual Residence","2441, NSW","Not applicable",2699
"Persons Place of Usual Residence","2441, NSW","Total",4349
"Persons Place of Usual Residence","2443, NSW","Public Transport",22
"Persons Place of Usual Residence","2443, NSW","Vehicle",1801
"Persons Place of Usual Residence","2443, NSW","Active Transport",142
"Persons Place of Usual Residence","2443, NSW","Other Mode",18
"Persons Place of Usual Residence","2443, NSW","Worked at home or Did not go to work",462
"Persons Place of Usual Residence","2443, NSW","Mode not stated",43
"Persons Place of Usual Residence","2443, NSW","Not applicable",6402
"Persons Place of Usual Residence","2443, NSW","Total",8892
"Persons Place of Usual Residence","2444, NSW","Public Transport",212
"Persons Place of Usual Residence","2444, NSW","Vehicle",14168
"Persons Place of Usual Residence","2444, NSW","Active Transport",682
"Persons Place of Usual Residence","2444, NSW","Other Mode",112
"Persons Place of Usual Residence","2444, NSW","Worked at home or Did not go to work",2668
"Persons Place of Usual Residence","2444, NSW","Mode not stated",152
"Persons Place of Usual Residence","2444, NSW","Not applicable",28299
"Persons Place of Usual Residence","2444, NSW","Total",46289
"Persons Place of Usual Residence","2445, NSW","Public Transport",22
"Persons Place of Usual Residence","2445, NSW","Vehicle",2020
"Persons Place of Usual Residence","2445, NSW","Active Transport",55
"Persons Place of Usual Residence","2445, NSW","Other Mode",10
"Persons Place of Usual Residence","2445, NSW","Worked at home or Did not go to work",420
"Persons Place of Usual Residence","2445, NSW","Mode not stated",32
"Persons Place of Usual Residence","2445, NSW","Not applicable",3926
"Persons Place of Usual Residence","2445, NSW","Total",6464
"Persons Place of Usual Residence","2446, NSW","Public Transport",31
"Persons Place of Usual Residence","2446, NSW","Vehicle",4060
"Persons Place of Usual Residence","2446, NSW","Active Transport",147
"Persons Place of Usual Residence","2446, NSW","Other Mode",27
"Persons Place of Usual Residence","2446, NSW","Worked at home or Did not go to work",861
"Persons Place of Usual Residence","2446, NSW","Mode not stated",78
"Persons Place of Usual Residence","2446, NSW","Not applicable",8126
"Persons Place of Usual Residence","2446, NSW","Total",13330
"Persons Place of Usual Residence","2447, NSW","Public Transport",26
"Persons Place of Usual Residence","2447, NSW","Vehicle",1863
"Persons Place of Usual Residence","2447, NSW","Active Transport",99
"Persons Place of Usual Residence","2447, NSW","Other Mode",22
"Persons Place of Usual Residence","2447, NSW","Worked at home or Did not go to work",493
"Persons Place of Usual Residence","2447, NSW","Mode not stated",40
"Persons Place of Usual Residence","2447, NSW","Not applicable",4632
"Persons Place of Usual Residence","2447, NSW","Total",7180
"Persons Place of Usual Residence","2448, NSW","Public Transport",27
"Persons Place of Usual Residence","2448, NSW","Vehicle",2051
"Persons Place of Usual Residence","2448, NSW","Active Transport",94
"Persons Place of Usual Residence","2448, NSW","Other Mode",22
"Persons Place of Usual Residence","2448, NSW","Worked at home or Did not go to work",473
"Persons Place of Usual Residence","2448, NSW","Mode not stated",45
"Persons Place of Usual Residence","2448, NSW","Not applicable",6293
"Persons Place of Usual Residence","2448, NSW","Total",9002
"Persons Place of Usual Residence","2449, NSW","Public Transport",9
"Persons Place of Usual Residence","2449, NSW","Vehicle",488
"Persons Place of Usual Residence","2449, NSW","Active Transport",35
"Persons Place of Usual Residence","2449, NSW","Other Mode",0
"Persons Place of Usual Residence","2449, NSW","Worked at home or Did not go to work",166
"Persons Place of Usual Residence","2449, NSW","Mode not stated",11
"Persons Place of Usual Residence","2449, NSW","Not applicable",1489
"Persons Place of Usual Residence","2449, NSW","Total",2188
"Persons Place of Usual Residence","2450, NSW","Public Transport",165
"Persons Place of Usual Residence","2450, NSW","Vehicle",13970
"Persons Place of Usual Residence","2450, NSW","Active Transport",727
"Persons Place of Usual Residence","2450, NSW","Other Mode",110
"Persons Place of Usual Residence","2450, NSW","Worked at home or Did not go to work",2826
"Persons Place of Usual Residence","2450, NSW","Mode not stated",195
"Persons Place of Usual Residence","2450, NSW","Not applicable",25899
"Persons Place of Usual Residence","2450, NSW","Total",43896
"Persons Place of Usual Residence","2452, NSW","Public Transport",49
"Persons Place of Usual Residence","2452, NSW","Vehicle",4824
"Persons Place of Usual Residence","2452, NSW","Active Transport",198
"Persons Place of Usual Residence","2452, NSW","Other Mode",35
"Persons Place of Usual Residence","2452, NSW","Worked at home or Did not go to work",826
"Persons Place of Usual Residence","2452, NSW","Mode not stated",65
"Persons Place of Usual Residence","2452, NSW","Not applicable",9112
"Persons Place of Usual Residence","2452, NSW","Total",15119
"Persons Place of Usual Residence","2453, NSW","Public Transport",5
"Persons Place of Usual Residence","2453, NSW","Vehicle",619
"Persons Place of Usual Residence","2453, NSW","Active Transport",104
"Persons Place of Usual Residence","2453, NSW","Other Mode",9
"Persons Place of Usual Residence","2453, NSW","Worked at home or Did not go to work",317
"Persons Place of Usual Residence","2453, NSW","Mode not stated",21
"Persons Place of Usual Residence","2453, NSW","Not applicable",1691
"Persons Place of Usual Residence","2453, NSW","Total",2771
"Persons Place of Usual Residence","2454, NSW","Public Transport",18
"Persons Place of Usual Residence","2454, NSW","Vehicle",2045
"Persons Place of Usual Residence","2454, NSW","Active Transport",170
"Persons Place of Usual Residence","2454, NSW","Other Mode",19
"Persons Place of Usual Residence","2454, NSW","Worked at home or Did not go to work",688
"Persons Place of Usual Residence","2454, NSW","Mode not stated",49
"Persons Place of Usual Residence","2454, NSW","Not applicable",4586
"Persons Place of Usual Residence","2454, NSW","Total",7571
"Persons Place of Usual Residence","2455, NSW","Public Transport",10
"Persons Place of Usual Residence","2455, NSW","Vehicle",808
"Persons Place of Usual Residence","2455, NSW","Active Transport",46
"Persons Place of Usual Residence","2455, NSW","Other Mode",8
"Persons Place of Usual Residence","2455, NSW","Worked at home or Did not go to work",184
"Persons Place of Usual Residence","2455, NSW","Mode not stated",19
"Persons Place of Usual Residence","2455, NSW","Not applicable",1928
"Persons Place of Usual Residence","2455, NSW","Total",3001
"Persons Place of Usual Residence","2456, NSW","Public Transport",53
"Persons Place of Usual Residence","2456, NSW","Vehicle",4748
"Persons Place of Usual Residence","2456, NSW","Active Transport",167
"Persons Place of Usual Residence","2456, NSW","Other Mode",36
"Persons Place of Usual Residence","2456, NSW","Worked at home or Did not go to work",833
"Persons Place of Usual Residence","2456, NSW","Mode not stated",66
"Persons Place of Usual Residence","2456, NSW","Not applicable",8850
"Persons Place of Usual Residence","2456, NSW","Total",14749
"Persons Place of Usual Residence","2460, NSW","Public Transport",81
"Persons Place of Usual Residence","2460, NSW","Vehicle",7938
"Persons Place of Usual Residence","2460, NSW","Active Transport",530
"Persons Place of Usual Residence","2460, NSW","Other Mode",53
"Persons Place of Usual Residence","2460, NSW","Worked at home or Did not go to work",1692
"Persons Place of Usual Residence","2460, NSW","Mode not stated",122
"Persons Place of Usual Residence","2460, NSW","Not applicable",18789
"Persons Place of Usual Residence","2460, NSW","Total",29212
"Persons Place of Usual Residence","2462, NSW","Public Transport",9
"Persons Place of Usual Residence","2462, NSW","Vehicle",621
"Persons Place of Usual Residence","2462, NSW","Active Transport",51
"Persons Place of Usual Residence","2462, NSW","Other Mode",8
"Persons Place of Usual Residence","2462, NSW","Worked at home or Did not go to work",174
"Persons Place of Usual Residence","2462, NSW","Mode not stated",9
"Persons Place of Usual Residence","2462, NSW","Not applicable",1568
"Persons Place of Usual Residence","2462, NSW","Total",2443
"Persons Place of Usual Residence","2463, NSW","Public Transport",17
"Persons Place of Usual Residence","2463, NSW","Vehicle",1944
"Persons Place of Usual Residence","2463, NSW","Active Transport",119
"Persons Place of Usual Residence","2463, NSW","Other Mode",30
"Persons Place of Usual Residence","2463, NSW","Worked at home or Did not go to work",480
"Persons Place of Usual Residence","2463, NSW","Mode not stated",35
"Persons Place of Usual Residence","2463, NSW","Not applicable",4921
"Persons Place of Usual Residence","2463, NSW","Total",7541
"Persons Place of Usual Residence","2464, NSW","Public Transport",22
"Persons Place of Usual Residence","2464, NSW","Vehicle",1571
"Persons Place of Usual Residence","2464, NSW","Active Transport",154
"Persons Place of Usual Residence","2464, NSW","Other Mode",25
"Persons Place of Usual Residence","2464, NSW","Worked at home or Did not go to work",429
"Persons Place of Usual Residence","2464, NSW","Mode not stated",30
"Persons Place of Usual Residence","2464, NSW","Not applicable",4506
"Persons Place of Usual Residence","2464, NSW","Total",6740
"Persons Place of Usual Residence","2465, NSW","Public Transport",0
"Persons Place of Usual Residence","2465, NSW","Vehicle",86
"Persons Place of Usual Residence","2465, NSW","Active Transport",9
"Persons Place of Usual Residence","2465, NSW","Other Mode",0
"Persons Place of Usual Residence","2465, NSW","Worked at home or Did not go to work",24
"Persons Place of Usual Residence","2465, NSW","Mode not stated",0
"Persons Place of Usual Residence","2465, NSW","Not applicable",172
"Persons Place of Usual Residence","2465, NSW","Total",292
"Persons Place of Usual Residence","2466, NSW","Public Transport",0
"Persons Place of Usual Residence","2466, NSW","Vehicle",249
"Persons Place of Usual Residence","2466, NSW","Active Transport",47
"Persons Place of Usual Residence","2466, NSW","Other Mode",6
"Persons Place of Usual Residence","2466, NSW","Worked at home or Did not go to work",70
"Persons Place of Usual Residence","2466, NSW","Mode not stated",12
"Persons Place of Usual Residence","2466, NSW","Not applicable",1342
"Persons Place of Usual Residence","2466, NSW","Total",1725
"Persons Place of Usual Residence","2469, NSW","Public Transport",9
"Persons Place of Usual Residence","2469, NSW","Vehicle",807
"Persons Place of Usual Residence","2469, NSW","Active Transport",84
"Persons Place of Usual Residence","2469, NSW","Other Mode",22
"Persons Place of Usual Residence","2469, NSW","Worked at home or Did not go to work",327
"Persons Place of Usual Residence","2469, NSW","Mode not stated",26
"Persons Place of Usual Residence","2469, NSW","Not applicable",2721
"Persons Place of Usual Residence","2469, NSW","Total",4009
"Persons Place of Usual Residence","2470, NSW","Public Transport",37
"Persons Place of Usual Residence","2470, NSW","Vehicle",4301
"Persons Place of Usual Residence","2470, NSW","Active Transport",233
"Persons Place of Usual Residence","2470, NSW","Other Mode",27
"Persons Place of Usual Residence","2470, NSW","Worked at home or Did not go to work",839
"Persons Place of Usual Residence","2470, NSW","Mode not stated",82
"Persons Place of Usual Residence","2470, NSW","Not applicable",9701
"Persons Place of Usual Residence","2470, NSW","Total",15225
"Persons Place of Usual Residence","2471, NSW","Public Transport",5
"Persons Place of Usual Residence","2471, NSW","Vehicle",715
"Persons Place of Usual Residence","2471, NSW","Active Transport",33
"Persons Place of Usual Residence","2471, NSW","Other Mode",7
"Persons Place of Usual Residence","2471, NSW","Worked at home or Did not go to work",185
"Persons Place of Usual Residence","2471, NSW","Mode not stated",23
"Persons Place of Usual Residence","2471, NSW","Not applicable",1558
"Persons Place of Usual Residence","2471, NSW","Total",2522
"Persons Place of Usual Residence","2472, NSW","Public Transport",6
"Persons Place of Usual Residence","2472, NSW","Vehicle",510
"Persons Place of Usual Residence","2472, NSW","Active Transport",34
"Persons Place of Usual Residence","2472, NSW","Other Mode",9
"Persons Place of Usual Residence","2472, NSW","Worked at home or Did not go to work",160
"Persons Place of Usual Residence","2472, NSW","Mode not stated",18
"Persons Place of Usual Residence","2472, NSW","Not applicable",1124
"Persons Place of Usual Residence","2472, NSW","Total",1855
"Persons Place of Usual Residence","2473, NSW","Public Transport",5
"Persons Place of Usual Residence","2473, NSW","Vehicle",812
"Persons Place of Usual Residence","2473, NSW","Active Transport",84
"Persons Place of Usual Residence","2473, NSW","Other Mode",7
"Persons Place of Usual Residence","2473, NSW","Worked at home or Did not go to work",171
"Persons Place of Usual Residence","2473, NSW","Mode not stated",17
"Persons Place of Usual Residence","2473, NSW","Not applicable",1990
"Persons Place of Usual Residence","2473, NSW","Total",3092
"Persons Place of Usual Residence","2474, NSW","Public Transport",29
"Persons Place of Usual Residence","2474, NSW","Vehicle",1572
"Persons Place of Usual Residence","2474, NSW","Active Transport",118
"Persons Place of Usual Residence","2474, NSW","Other Mode",26
"Persons Place of Usual Residence","2474, NSW","Worked at home or Did not go to work",512
"Persons Place of Usual Residence","2474, NSW","Mode not stated",52
"Persons Place of Usual Residence","2474, NSW","Not applicable",4030
"Persons Place of Usual Residence","2474, NSW","Total",6332
"Persons Place of Usual Residence","2475, NSW","Public Transport",0
"Persons Place of Usual Residence","2475, NSW","Vehicle",60
"Persons Place of Usual Residence","2475, NSW","Active Transport",11
"Persons Place of Usual Residence","2475, NSW","Other Mode",0
"Persons Place of Usual Residence","2475, NSW","Worked at home or Did not go to work",29
"Persons Place of Usual Residence","2475, NSW","Mode not stated",4
"Persons Place of Usual Residence","2475, NSW","Not applicable",276
"Persons Place of Usual Residence","2475, NSW","Total",386
"Persons Place of Usual Residence","2476, NSW","Public Transport",9
"Persons Place of Usual Residence","2476, NSW","Vehicle",164
"Persons Place of Usual Residence","2476, NSW","Active Transport",42
"Persons Place of Usual Residence","2476, NSW","Other Mode",11
"Persons Place of Usual Residence","2476, NSW","Worked at home or Did not go to work",84
"Persons Place of Usual Residence","2476, NSW","Mode not stated",6
"Persons Place of Usual Residence","2476, NSW","Not applicable",467
"Persons Place of Usual Residence","2476, NSW","Total",780
"Persons Place of Usual Residence","2477, NSW","Public Transport",41
"Persons Place of Usual Residence","2477, NSW","Vehicle",3905
"Persons Place of Usual Residence","2477, NSW","Active Transport",152
"Persons Place of Usual Residence","2477, NSW","Other Mode",44
"Persons Place of Usual Residence","2477, NSW","Worked at home or Did not go to work",934
"Persons Place of Usual Residence","2477, NSW","Mode not stated",51
"Persons Place of Usual Residence","2477, NSW","Not applicable",7076
"Persons Place of Usual Residence","2477, NSW","Total",12207
"Persons Place of Usual Residence","2478, NSW","Public Transport",136
"Persons Place of Usual Residence","2478, NSW","Vehicle",8858
"Persons Place of Usual Residence","2478, NSW","Active Transport",573
"Persons Place of Usual Residence","2478, NSW","Other Mode",62
"Persons Place of Usual Residence","2478, NSW","Worked at home or Did not go to work",1948
"Persons Place of Usual Residence","2478, NSW","Mode not stated",158
"Persons Place of Usual Residence","2478, NSW","Not applicable",16580
"Persons Place of Usual Residence","2478, NSW","Total",28316
"Persons Place of Usual Residence","2479, NSW","Public Transport",29
"Persons Place of Usual Residence","2479, NSW","Vehicle",1401
"Persons Place of Usual Residence","2479, NSW","Active Transport",119
"Persons Place of Usual Residence","2479, NSW","Other Mode",23
"Persons Place of Usual Residence","2479, NSW","Worked at home or Did not go to work",622
"Persons Place of Usual Residence","2479, NSW","Mode not stated",26
"Persons Place of Usual Residence","2479, NSW","Not applicable",2511
"Persons Place of Usual Residence","2479, NSW","Total",4735
"Persons Place of Usual Residence","2480, NSW","Public Transport",199
"Persons Place of Usual Residence","2480, NSW","Vehicle",14428
"Persons Place of Usual Residence","2480, NSW","Active Transport",749
"Persons Place of Usual Residence","2480, NSW","Other Mode",115
"Persons Place of Usual Residence","2480, NSW","Worked at home or Did not go to work",3053
"Persons Place of Usual Residence","2480, NSW","Mode not stated",197
"Persons Place of Usual Residence","2480, NSW","Not applicable",25854
"Persons Place of Usual Residence","2480, NSW","Total",44596
"Persons Place of Usual Residence","2481, NSW","Public Transport",62
"Persons Place of Usual Residence","2481, NSW","Vehicle",3295
"Persons Place of Usual Residence","2481, NSW","Active Transport",516
"Persons Place of Usual Residence","2481, NSW","Other Mode",60
"Persons Place of Usual Residence","2481, NSW","Worked at home or Did not go to work",1259
"Persons Place of Usual Residence","2481, NSW","Mode not stated",108
"Persons Place of Usual Residence","2481, NSW","Not applicable",6467
"Persons Place of Usual Residence","2481, NSW","Total",11770
"Persons Place of Usual Residence","2482, NSW","Public Transport",26
"Persons Place of Usual Residence","2482, NSW","Vehicle",1559
"Persons Place of Usual Residence","2482, NSW","Active Transport",149
"Persons Place of Usual Residence","2482, NSW","Other Mode",25
"Persons Place of Usual Residence","2482, NSW","Worked at home or Did not go to work",587
"Persons Place of Usual Residence","2482, NSW","Mode not stated",39
"Persons Place of Usual Residence","2482, NSW","Not applicable",3893
"Persons Place of Usual Residence","2482, NSW","Total",6276
"Persons Place of Usual Residence","2483, NSW","Public Transport",40
"Persons Place of Usual Residence","2483, NSW","Vehicle",3175
"Persons Place of Usual Residence","2483, NSW","Active Transport",162
"Persons Place of Usual Residence","2483, NSW","Other Mode",31
"Persons Place of Usual Residence","2483, NSW","Worked at home or Did not go to work",1003
"Persons Place of Usual Residence","2483, NSW","Mode not stated",81
"Persons Place of Usual Residence","2483, NSW","Not applicable",6118
"Persons Place of Usual Residence","2483, NSW","Total",10604
"Persons Place of Usual Residence","2484, NSW","Public Transport",73
"Persons Place of Usual Residence","2484, NSW","Vehicle",5247
"Persons Place of Usual Residence","2484, NSW","Active Transport",299
"Persons Place of Usual Residence","2484, NSW","Other Mode",60
"Persons Place of Usual Residence","2484, NSW","Worked at home or Did not go to work",1477
"Persons Place of Usual Residence","2484, NSW","Mode not stated",140
"Persons Place of Usual Residence","2484, NSW","Not applicable",11579
"Persons Place of Usual Residence","2484, NSW","Total",18874
"Persons Place of Usual Residence","2485, NSW","Public Transport",128
"Persons Place of Usual Residence","2485, NSW","Vehicle",3767
"Persons Place of Usual Residence","2485, NSW","Active Transport",269
"Persons Place of Usual Residence","2485, NSW","Other Mode",51
"Persons Place of Usual Residence","2485, NSW","Worked at home or Did not go to work",758
"Persons Place of Usual Residence","2485, NSW","Mode not stated",71
"Persons Place of Usual Residence","2485, NSW","Not applicable",9334
"Persons Place of Usual Residence","2485, NSW","Total",14375
"Persons Place of Usual Residence","2486, NSW","Public Transport",217
"Persons Place of Usual Residence","2486, NSW","Vehicle",9662
"Persons Place of Usual Residence","2486, NSW","Active Transport",293
"Persons Place of Usual Residence","2486, NSW","Other Mode",69
"Persons Place of Usual Residence","2486, NSW","Worked at home or Did not go to work",1962
"Persons Place of Usual Residence","2486, NSW","Mode not stated",151
"Persons Place of Usual Residence","2486, NSW","Not applicable",19237
"Persons Place of Usual Residence","2486, NSW","Total",31594
"Persons Place of Usual Residence","2487, NSW","Public Transport",96
"Persons Place of Usual Residence","2487, NSW","Vehicle",4121
"Persons Place of Usual Residence","2487, NSW","Active Transport",235
"Persons Place of Usual Residence","2487, NSW","Other Mode",53
"Persons Place of Usual Residence","2487, NSW","Worked at home or Did not go to work",1052
"Persons Place of Usual Residence","2487, NSW","Mode not stated",63
"Persons Place of Usual Residence","2487, NSW","Not applicable",7820
"Persons Place of Usual Residence","2487, NSW","Total",13430
"Persons Place of Usual Residence","2488, NSW","Public Transport",28
"Persons Place of Usual Residence","2488, NSW","Vehicle",1161
"Persons Place of Usual Residence","2488, NSW","Active Transport",75
"Persons Place of Usual Residence","2488, NSW","Other Mode",12
"Persons Place of Usual Residence","2488, NSW","Worked at home or Did not go to work",229
"Persons Place of Usual Residence","2488, NSW","Mode not stated",5
"Persons Place of Usual Residence","2488, NSW","Not applicable",1760
"Persons Place of Usual Residence","2488, NSW","Total",3262
"Persons Place of Usual Residence","2489, NSW","Public Transport",42
"Persons Place of Usual Residence","2489, NSW","Vehicle",2155
"Persons Place of Usual Residence","2489, NSW","Active Transport",80
"Persons Place of Usual Residence","2489, NSW","Other Mode",13
"Persons Place of Usual Residence","2489, NSW","Worked at home or Did not go to work",500
"Persons Place of Usual Residence","2489, NSW","Mode not stated",28
"Persons Place of Usual Residence","2489, NSW","Not applicable",4531
"Persons Place of Usual Residence","2489, NSW","Total",7353
"Persons Place of Usual Residence","2490, NSW","Public Transport",4
"Persons Place of Usual Residence","2490, NSW","Vehicle",237
"Persons Place of Usual Residence","2490, NSW","Active Transport",17
"Persons Place of Usual Residence","2490, NSW","Other Mode",0
"Persons Place of Usual Residence","2490, NSW","Worked at home or Did not go to work",58
"Persons Place of Usual Residence","2490, NSW","Mode not stated",0
"Persons Place of Usual Residence","2490, NSW","Not applicable",344
"Persons Place of Usual Residence","2490, NSW","Total",667
"Persons Place of Usual Residence","2500, NSW","Public Transport",1730
"Persons Place of Usual Residence","2500, NSW","Vehicle",11490
"Persons Place of Usual Residence","2500, NSW","Active Transport",1719
"Persons Place of Usual Residence","2500, NSW","Other Mode",85
"Persons Place of Usual Residence","2500, NSW","Worked at home or Did not go to work",2541
"Persons Place of Usual Residence","2500, NSW","Mode not stated",143
"Persons Place of Usual Residence","2500, NSW","Not applicable",22800
"Persons Place of Usual Residence","2500, NSW","Total",40512
"Persons Place of Usual Residence","2502, NSW","Public Transport",220
"Persons Place of Usual Residence","2502, NSW","Vehicle",3138
"Persons Place of Usual Residence","2502, NSW","Active Transport",81
"Persons Place of Usual Residence","2502, NSW","Other Mode",22
"Persons Place of Usual Residence","2502, NSW","Worked at home or Did not go to work",459
"Persons Place of Usual Residence","2502, NSW","Mode not stated",65
"Persons Place of Usual Residence","2502, NSW","Not applicable",8459
"Persons Place of Usual Residence","2502, NSW","Total",12433
"Persons Place of Usual Residence","2505, NSW","Public Transport",99
"Persons Place of Usual Residence","2505, NSW","Vehicle",1403
"Persons Place of Usual Residence","2505, NSW","Active Transport",50
"Persons Place of Usual Residence","2505, NSW","Other Mode",7
"Persons Place of Usual Residence","2505, NSW","Worked at home or Did not go to work",238
"Persons Place of Usual Residence","2505, NSW","Mode not stated",28
"Persons Place of Usual Residence","2505, NSW","Not applicable",3187
"Persons Place of Usual Residence","2505, NSW","Total",5008
"Persons Place of Usual Residence","2506, NSW","Public Transport",139
"Persons Place of Usual Residence","2506, NSW","Vehicle",2231
"Persons Place of Usual Residence","2506, NSW","Active Transport",34
"Persons Place of Usual Residence","2506, NSW","Other Mode",13
"Persons Place of Usual Residence","2506, NSW","Worked at home or Did not go to work",372
"Persons Place of Usual Residence","2506, NSW","Mode not stated",60
"Persons Place of Usual Residence","2506, NSW","Not applicable",4766
"Persons Place of Usual Residence","2506, NSW","Total",7608
"Persons Place of Usual Residence","2508, NSW","Public Transport",762
"Persons Place of Usual Residence","2508, NSW","Vehicle",3143
"Persons Place of Usual Residence","2508, NSW","Active Transport",115
"Persons Place of Usual Residence","2508, NSW","Other Mode",14
"Persons Place of Usual Residence","2508, NSW","Worked at home or Did not go to work",674
"Persons Place of Usual Residence","2508, NSW","Mode not stated",30
"Persons Place of Usual Residence","2508, NSW","Not applicable",4240
"Persons Place of Usual Residence","2508, NSW","Total",8975
"Persons Place of Usual Residence","2515, NSW","Public Transport",706
"Persons Place of Usual Residence","2515, NSW","Vehicle",3526
"Persons Place of Usual Residence","2515, NSW","Active Transport",164
"Persons Place of Usual Residence","2515, NSW","Other Mode",31
"Persons Place of Usual Residence","2515, NSW","Worked at home or Did not go to work",950
"Persons Place of Usual Residence","2515, NSW","Mode not stated",33
"Persons Place of Usual Residence","2515, NSW","Not applicable",5711
"Persons Place of Usual Residence","2515, NSW","Total",11110
"Persons Place of Usual Residence","2516, NSW","Public Transport",283
"Persons Place of Usual Residence","2516, NSW","Vehicle",2048
"Persons Place of Usual Residence","2516, NSW","Active Transport",101
"Persons Place of Usual Residence","2516, NSW","Other Mode",14
"Persons Place of Usual Residence","2516, NSW","Worked at home or Did not go to work",476
"Persons Place of Usual Residence","2516, NSW","Mode not stated",13
"Persons Place of Usual Residence","2516, NSW","Not applicable",3173
"Persons Place of Usual Residence","2516, NSW","Total",6108
"Persons Place of Usual Residence","2517, NSW","Public Transport",461
"Persons Place of Usual Residence","2517, NSW","Vehicle",4579
"Persons Place of Usual Residence","2517, NSW","Active Transport",121
"Persons Place of Usual Residence","2517, NSW","Other Mode",17
"Persons Place of Usual Residence","2517, NSW","Worked at home or Did not go to work",904
"Persons Place of Usual Residence","2517, NSW","Mode not stated",53
"Persons Place of Usual Residence","2517, NSW","Not applicable",7596
"Persons Place of Usual Residence","2517, NSW","Total",13732
"Persons Place of Usual Residence","2518, NSW","Public Transport",575
"Persons Place of Usual Residence","2518, NSW","Vehicle",6095
"Persons Place of Usual Residence","2518, NSW","Active Transport",223
"Persons Place of Usual Residence","2518, NSW","Other Mode",23
"Persons Place of Usual Residence","2518, NSW","Worked at home or Did not go to work",1126
"Persons Place of Usual Residence","2518, NSW","Mode not stated",100
"Persons Place of Usual Residence","2518, NSW","Not applicable",10922
"Persons Place of Usual Residence","2518, NSW","Total",19066
"Persons Place of Usual Residence","2519, NSW","Public Transport",556
"Persons Place of Usual Residence","2519, NSW","Vehicle",5381
"Persons Place of Usual Residence","2519, NSW","Active Transport",228
"Persons Place of Usual Residence","2519, NSW","Other Mode",33
"Persons Place of Usual Residence","2519, NSW","Worked at home or Did not go to work",1046
"Persons Place of Usual Residence","2519, NSW","Mode not stated",54
"Persons Place of Usual Residence","2519, NSW","Not applicable",9630
"Persons Place of Usual Residence","2519, NSW","Total",16931
"Persons Place of Usual Residence","2522, NSW","Public Transport",14
"Persons Place of Usual Residence","2522, NSW","Vehicle",27
"Persons Place of Usual Residence","2522, NSW","Active Transport",15
"Persons Place of Usual Residence","2522, NSW","Other Mode",0
"Persons Place of Usual Residence","2522, NSW","Worked at home or Did not go to work",36
"Persons Place of Usual Residence","2522, NSW","Mode not stated",0
"Persons Place of Usual Residence","2522, NSW","Not applicable",215
"Persons Place of Usual Residence","2522, NSW","Total",300
"Persons Place of Usual Residence","2525, NSW","Public Transport",294
"Persons Place of Usual Residence","2525, NSW","Vehicle",3994
"Persons Place of Usual Residence","2525, NSW","Active Transport",89
"Persons Place of Usual Residence","2525, NSW","Other Mode",16
"Persons Place of Usual Residence","2525, NSW","Worked at home or Did not go to work",757
"Persons Place of Usual Residence","2525, NSW","Mode not stated",31
"Persons Place of Usual Residence","2525, NSW","Not applicable",6372
"Persons Place of Usual Residence","2525, NSW","Total",11564
"Persons Place of Usual Residence","2526, NSW","Public Transport",329
"Persons Place of Usual Residence","2526, NSW","Vehicle",5646
"Persons Place of Usual Residence","2526, NSW","Active Transport",95
"Persons Place of Usual Residence","2526, NSW","Other Mode",35
"Persons Place of Usual Residence","2526, NSW","Worked at home or Did not go to work",993
