Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MTW06P Method of Travel to Work (6 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MTW06P Method of Travel to Work (6 travel modes)","Count",
"Persons Place of Usual Residence","2035, NSW","Not applicable",18295
"Persons Place of Usual Residence","2035, NSW","Total",34496
"Persons Place of Usual Residence","2036, NSW","Public Transport",2376
"Persons Place of Usual Residence","2036, NSW","Vehicle",8654
"Persons Place of Usual Residence","2036, NSW","Active Transport",504
"Persons Place of Usual Residence","2036, NSW","Other Mode",63
"Persons Place of Usual Residence","2036, NSW","Worked at home or Did not go to work",1499
"Persons Place of Usual Residence","2036, NSW","Mode not stated",147
"Persons Place of Usual Residence","2036, NSW","Not applicable",17168
"Persons Place of Usual Residence","2036, NSW","Total",30411
"Persons Place of Usual Residence","2037, NSW","Public Transport",2883
"Persons Place of Usual Residence","2037, NSW","Vehicle",2602
"Persons Place of Usual Residence","2037, NSW","Active Transport",1834
"Persons Place of Usual Residence","2037, NSW","Other Mode",43
"Persons Place of Usual Residence","2037, NSW","Worked at home or Did not go to work",1099
"Persons Place of Usual Residence","2037, NSW","Mode not stated",61
"Persons Place of Usual Residence","2037, NSW","Not applicable",7592
"Persons Place of Usual Residence","2037, NSW","Total",16119
"Persons Place of Usual Residence","2038, NSW","Public Transport",1669
"Persons Place of Usual Residence","2038, NSW","Vehicle",2287
"Persons Place of Usual Residence","2038, NSW","Active Transport",585
"Persons Place of Usual Residence","2038, NSW","Other Mode",36
"Persons Place of Usual Residence","2038, NSW","Worked at home or Did not go to work",740
"Persons Place of Usual Residence","2038, NSW","Mode not stated",50
"Persons Place of Usual Residence","2038, NSW","Not applicable",4092
"Persons Place of Usual Residence","2038, NSW","Total",9452
"Persons Place of Usual Residence","2039, NSW","Public Transport",1753
"Persons Place of Usual Residence","2039, NSW","Vehicle",2155
"Persons Place of Usual Residence","2039, NSW","Active Transport",448
"Persons Place of Usual Residence","2039, NSW","Other Mode",20
"Persons Place of Usual Residence","2039, NSW","Worked at home or Did not go to work",647
"Persons Place of Usual Residence","2039, NSW","Mode not stated",33
"Persons Place of Usual Residence","2039, NSW","Not applicable",3660
"Persons Place of Usual Residence","2039, NSW","Total",8726
"Persons Place of Usual Residence","2040, NSW","Public Transport",3612
"Persons Place of Usual Residence","2040, NSW","Vehicle",5497
"Persons Place of Usual Residence","2040, NSW","Active Transport",887
"Persons Place of Usual Residence","2040, NSW","Other Mode",78
"Persons Place of Usual Residence","2040, NSW","Worked at home or Did not go to work",1626
"Persons Place of Usual Residence","2040, NSW","Mode not stated",89
"Persons Place of Usual Residence","2040, NSW","Not applicable",10455
"Persons Place of Usual Residence","2040, NSW","Total",22242
"Persons Place of Usual Residence","2041, NSW","Public Transport",2944
"Persons Place of Usual Residence","2041, NSW","Vehicle",3391
"Persons Place of Usual Residence","2041, NSW","Active Transport",644
"Persons Place of Usual Residence","2041, NSW","Other Mode",63
"Persons Place of Usual Residence","2041, NSW","Worked at home or Did not go to work",1289
"Persons Place of Usual Residence","2041, NSW","Mode not stated",47
"Persons Place of Usual Residence","2041, NSW","Not applicable",7316
"Persons Place of Usual Residence","2041, NSW","Total",15687
"Persons Place of Usual Residence","2042, NSW","Public Transport",5340
"Persons Place of Usual Residence","2042, NSW","Vehicle",2999
"Persons Place of Usual Residence","2042, NSW","Active Transport",1893
"Persons Place of Usual Residence","2042, NSW","Other Mode",69
"Persons Place of Usual Residence","2042, NSW","Worked at home or Did not go to work",1442
"Persons Place of Usual Residence","2042, NSW","Mode not stated",99
"Persons Place of Usual Residence","2042, NSW","Not applicable",7284
"Persons Place of Usual Residence","2042, NSW","Total",19128
"Persons Place of Usual Residence","2043, NSW","Public Transport",2508
"Persons Place of Usual Residence","2043, NSW","Vehicle",1552
"Persons Place of Usual Residence","2043, NSW","Active Transport",722
"Persons Place of Usual Residence","2043, NSW","Other Mode",19
"Persons Place of Usual Residence","2043, NSW","Worked at home or Did not go to work",591
"Persons Place of Usual Residence","2043, NSW","Mode not stated",23
"Persons Place of Usual Residence","2043, NSW","Not applicable",2602
"Persons Place of Usual Residence","2043, NSW","Total",8014
"Persons Place of Usual Residence","2044, NSW","Public Transport",1853
"Persons Place of Usual Residence","2044, NSW","Vehicle",1789
"Persons Place of Usual Residence","2044, NSW","Active Transport",339
"Persons Place of Usual Residence","2044, NSW","Other Mode",24
"Persons Place of Usual Residence","2044, NSW","Worked at home or Did not go to work",474
"Persons Place of Usual Residence","2044, NSW","Mode not stated",49
"Persons Place of Usual Residence","2044, NSW","Not applicable",3308
"Persons Place of Usual Residence","2044, NSW","Total",7840
"Persons Place of Usual Residence","2045, NSW","Public Transport",686
"Persons Place of Usual Residence","2045, NSW","Vehicle",1694
"Persons Place of Usual Residence","2045, NSW","Active Transport",151
"Persons Place of Usual Residence","2045, NSW","Other Mode",17
"Persons Place of Usual Residence","2045, NSW","Worked at home or Did not go to work",472
"Persons Place of Usual Residence","2045, NSW","Mode not stated",28
"Persons Place of Usual Residence","2045, NSW","Not applicable",3410
"Persons Place of Usual Residence","2045, NSW","Total",6453
"Persons Place of Usual Residence","2046, NSW","Public Transport",3046
"Persons Place of Usual Residence","2046, NSW","Vehicle",8163
"Persons Place of Usual Residence","2046, NSW","Active Transport",412
"Persons Place of Usual Residence","2046, NSW","Other Mode",81
"Persons Place of Usual Residence","2046, NSW","Worked at home or Did not go to work",1816
"Persons Place of Usual Residence","2046, NSW","Mode not stated",88
"Persons Place of Usual Residence","2046, NSW","Not applicable",13216
"Persons Place of Usual Residence","2046, NSW","Total",26822
"Persons Place of Usual Residence","2047, NSW","Public Transport",1896
"Persons Place of Usual Residence","2047, NSW","Vehicle",3290
"Persons Place of Usual Residence","2047, NSW","Active Transport",277
"Persons Place of Usual Residence","2047, NSW","Other Mode",33
"Persons Place of Usual Residence","2047, NSW","Worked at home or Did not go to work",793
"Persons Place of Usual Residence","2047, NSW","Mode not stated",44
"Persons Place of Usual Residence","2047, NSW","Not applicable",5617
"Persons Place of Usual Residence","2047, NSW","Total",11950
"Persons Place of Usual Residence","2048, NSW","Public Transport",1981
"Persons Place of Usual Residence","2048, NSW","Vehicle",1599
"Persons Place of Usual Residence","2048, NSW","Active Transport",447
"Persons Place of Usual Residence","2048, NSW","Other Mode",34
"Persons Place of Usual Residence","2048, NSW","Worked at home or Did not go to work",571
"Persons Place of Usual Residence","2048, NSW","Mode not stated",32
"Persons Place of Usual Residence","2048, NSW","Not applicable",3280
"Persons Place of Usual Residence","2048, NSW","Total",7940
"Persons Place of Usual Residence","2049, NSW","Public Transport",2733
"Persons Place of Usual Residence","2049, NSW","Vehicle",2300
"Persons Place of Usual Residence","2049, NSW","Active Transport",494
"Persons Place of Usual Residence","2049, NSW","Other Mode",29
"Persons Place of Usual Residence","2049, NSW","Worked at home or Did not go to work",802
"Persons Place of Usual Residence","2049, NSW","Mode not stated",39
"Persons Place of Usual Residence","2049, NSW","Not applicable",4884
"Persons Place of Usual Residence","2049, NSW","Total",11278
"Persons Place of Usual Residence","2050, NSW","Public Transport",2068
"Persons Place of Usual Residence","2050, NSW","Vehicle",1635
"Persons Place of Usual Residence","2050, NSW","Active Transport",949
"Persons Place of Usual Residence","2050, NSW","Other Mode",34
"Persons Place of Usual Residence","2050, NSW","Worked at home or Did not go to work",608
"Persons Place of Usual Residence","2050, NSW","Mode not stated",40
"Persons Place of Usual Residence","2050, NSW","Not applicable",3644
"Persons Place of Usual Residence","2050, NSW","Total",8967
"Persons Place of Usual Residence","2052, NSW","Public Transport",251
"Persons Place of Usual Residence","2052, NSW","Vehicle",86
"Persons Place of Usual Residence","2052, NSW","Active Transport",245
"Persons Place of Usual Residence","2052, NSW","Other Mode",3
"Persons Place of Usual Residence","2052, NSW","Worked at home or Did not go to work",289
"Persons Place of Usual Residence","2052, NSW","Mode not stated",44
"Persons Place of Usual Residence","2052, NSW","Not applicable",2514
"Persons Place of Usual Residence","2052, NSW","Total",3428
"Persons Place of Usual Residence","2060, NSW","Public Transport",3609
"Persons Place of Usual Residence","2060, NSW","Vehicle",2237
"Persons Place of Usual Residence","2060, NSW","Active Transport",1436
"Persons Place of Usual Residence","2060, NSW","Other Mode",60
"Persons Place of Usual Residence","2060, NSW","Worked at home or Did not go to work",982
"Persons Place of Usual Residence","2060, NSW","Mode not stated",46
"Persons Place of Usual Residence","2060, NSW","Not applicable",5617
"Persons Place of Usual Residence","2060, NSW","Total",13987
"Persons Place of Usual Residence","2061, NSW","Public Transport",1612
"Persons Place of Usual Residence","2061, NSW","Vehicle",880
"Persons Place of Usual Residence","2061, NSW","Active Transport",440
"Persons Place of Usual Residence","2061, NSW","Other Mode",30
"Persons Place of Usual Residence","2061, NSW","Worked at home or Did not go to work",469
"Persons Place of Usual Residence","2061, NSW","Mode not stated",25
"Persons Place of Usual Residence","2061, NSW","Not applicable",2494
"Persons Place of Usual Residence","2061, NSW","Total",5943
"Persons Place of Usual Residence","2062, NSW","Public Transport",1250
"Persons Place of Usual Residence","2062, NSW","Vehicle",1787
"Persons Place of Usual Residence","2062, NSW","Active Transport",388
"Persons Place of Usual Residence","2062, NSW","Other Mode",27
"Persons Place of Usual Residence","2062, NSW","Worked at home or Did not go to work",552
"Persons Place of Usual Residence","2062, NSW","Mode not stated",23
"Persons Place of Usual Residence","2062, NSW","Not applicable",2987
"Persons Place of Usual Residence","2062, NSW","Total",7004
"Persons Place of Usual Residence","2063, NSW","Public Transport",750
"Persons Place of Usual Residence","2063, NSW","Vehicle",1459
"Persons Place of Usual Residence","2063, NSW","Active Transport",136
"Persons Place of Usual Residence","2063, NSW","Other Mode",10
"Persons Place of Usual Residence","2063, NSW","Worked at home or Did not go to work",503
"Persons Place of Usual Residence","2063, NSW","Mode not stated",23
"Persons Place of Usual Residence","2063, NSW","Not applicable",3461
"Persons Place of Usual Residence","2063, NSW","Total",6348
"Persons Place of Usual Residence","2064, NSW","Public Transport",2430
"Persons Place of Usual Residence","2064, NSW","Vehicle",1658
"Persons Place of Usual Residence","2064, NSW","Active Transport",314
"Persons Place of Usual Residence","2064, NSW","Other Mode",34
"Persons Place of Usual Residence","2064, NSW","Worked at home or Did not go to work",600
"Persons Place of Usual Residence","2064, NSW","Mode not stated",28
"Persons Place of Usual Residence","2064, NSW","Not applicable",4468
"Persons Place of Usual Residence","2064, NSW","Total",9525
"Persons Place of Usual Residence","2065, NSW","Public Transport",7432
"Persons Place of Usual Residence","2065, NSW","Vehicle",5963
