Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2025, NSW","Not stated",58
"Persons Place of Usual Residence","2025, NSW","Not applicable",3588
"Persons Place of Usual Residence","2026, NSW","None",483
"Persons Place of Usual Residence","2026, NSW","1-15 hours",1422
"Persons Place of Usual Residence","2026, NSW","16-24 hours",1804
"Persons Place of Usual Residence","2026, NSW","25-34 hours",1532
"Persons Place of Usual Residence","2026, NSW","35-39 hours",2358
"Persons Place of Usual Residence","2026, NSW","40 hours",4279
"Persons Place of Usual Residence","2026, NSW","41-48 hours",2201
"Persons Place of Usual Residence","2026, NSW","49 hours and over",4315
"Persons Place of Usual Residence","2026, NSW","Not stated",312
"Persons Place of Usual Residence","2026, NSW","Not applicable",13789
"Persons Place of Usual Residence","2027, NSW","None",132
"Persons Place of Usual Residence","2027, NSW","1-15 hours",373
"Persons Place of Usual Residence","2027, NSW","16-24 hours",359
"Persons Place of Usual Residence","2027, NSW","25-34 hours",361
"Persons Place of Usual Residence","2027, NSW","35-39 hours",393
"Persons Place of Usual Residence","2027, NSW","40 hours",844
"Persons Place of Usual Residence","2027, NSW","41-48 hours",419
"Persons Place of Usual Residence","2027, NSW","49 hours and over",1169
"Persons Place of Usual Residence","2027, NSW","Not stated",53
"Persons Place of Usual Residence","2027, NSW","Not applicable",4087
"Persons Place of Usual Residence","2028, NSW","None",66
"Persons Place of Usual Residence","2028, NSW","1-15 hours",221
"Persons Place of Usual Residence","2028, NSW","16-24 hours",235
"Persons Place of Usual Residence","2028, NSW","25-34 hours",207
"Persons Place of Usual Residence","2028, NSW","35-39 hours",262
"Persons Place of Usual Residence","2028, NSW","40 hours",541
"Persons Place of Usual Residence","2028, NSW","41-48 hours",290
"Persons Place of Usual Residence","2028, NSW","49 hours and over",687
"Persons Place of Usual Residence","2028, NSW","Not stated",26
"Persons Place of Usual Residence","2028, NSW","Not applicable",2103
"Persons Place of Usual Residence","2029, NSW","None",117
"Persons Place of Usual Residence","2029, NSW","1-15 hours",532
"Persons Place of Usual Residence","2029, NSW","16-24 hours",519
"Persons Place of Usual Residence","2029, NSW","25-34 hours",483
"Persons Place of Usual Residence","2029, NSW","35-39 hours",560
"Persons Place of Usual Residence","2029, NSW","40 hours",1076
"Persons Place of Usual Residence","2029, NSW","41-48 hours",522
"Persons Place of Usual Residence","2029, NSW","49 hours and over",1145
"Persons Place of Usual Residence","2029, NSW","Not stated",98
"Persons Place of Usual Residence","2029, NSW","Not applicable",4908
"Persons Place of Usual Residence","2030, NSW","None",181
"Persons Place of Usual Residence","2030, NSW","1-15 hours",855
"Persons Place of Usual Residence","2030, NSW","16-24 hours",696
"Persons Place of Usual Residence","2030, NSW","25-34 hours",667
"Persons Place of Usual Residence","2030, NSW","35-39 hours",663
"Persons Place of Usual Residence","2030, NSW","40 hours",1250
"Persons Place of Usual Residence","2030, NSW","41-48 hours",585
"Persons Place of Usual Residence","2030, NSW","49 hours and over",1589
"Persons Place of Usual Residence","2030, NSW","Not stated",99
