Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by HRWRP Hours Worked (ranges)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","HRWRP Hours Worked (ranges)","Count",
"Persons Place of Usual Residence","2390, NSW","35-39 hours",752
"Persons Place of Usual Residence","2390, NSW","40 hours",722
"Persons Place of Usual Residence","2390, NSW","41-48 hours",347
"Persons Place of Usual Residence","2390, NSW","49 hours and over",732
"Persons Place of Usual Residence","2390, NSW","Not stated",77
"Persons Place of Usual Residence","2390, NSW","Not applicable",4797
"Persons Place of Usual Residence","2395, NSW","None",8
"Persons Place of Usual Residence","2395, NSW","1-15 hours",16
"Persons Place of Usual Residence","2395, NSW","16-24 hours",21
"Persons Place of Usual Residence","2395, NSW","25-34 hours",19
"Persons Place of Usual Residence","2395, NSW","35-39 hours",20
"Persons Place of Usual Residence","2395, NSW","40 hours",17
"Persons Place of Usual Residence","2395, NSW","41-48 hours",17
"Persons Place of Usual Residence","2395, NSW","49 hours and over",47
"Persons Place of Usual Residence","2395, NSW","Not stated",5
"Persons Place of Usual Residence","2395, NSW","Not applicable",497
"Persons Place of Usual Residence","2396, NSW","None",12
"Persons Place of Usual Residence","2396, NSW","1-15 hours",24
"Persons Place of Usual Residence","2396, NSW","16-24 hours",31
"Persons Place of Usual Residence","2396, NSW","25-34 hours",29
"Persons Place of Usual Residence","2396, NSW","35-39 hours",42
"Persons Place of Usual Residence","2396, NSW","40 hours",48
"Persons Place of Usual Residence","2396, NSW","41-48 hours",15
"Persons Place of Usual Residence","2396, NSW","49 hours and over",77
"Persons Place of Usual Residence","2396, NSW","Not stated",12
"Persons Place of Usual Residence","2396, NSW","Not applicable",574
"Persons Place of Usual Residence","2397, NSW","None",4
"Persons Place of Usual Residence","2397, NSW","1-15 hours",17
"Persons Place of Usual Residence","2397, NSW","16-24 hours",9
"Persons Place of Usual Residence","2397, NSW","25-34 hours",24
"Persons Place of Usual Residence","2397, NSW","35-39 hours",19
"Persons Place of Usual Residence","2397, NSW","40 hours",29
"Persons Place of Usual Residence","2397, NSW","41-48 hours",5
"Persons Place of Usual Residence","2397, NSW","49 hours and over",57
"Persons Place of Usual Residence","2397, NSW","Not stated",7
"Persons Place of Usual Residence","2397, NSW","Not applicable",206
"Persons Place of Usual Residence","2398, NSW","None",5
"Persons Place of Usual Residence","2398, NSW","1-15 hours",12
"Persons Place of Usual Residence","2398, NSW","16-24 hours",7
"Persons Place of Usual Residence","2398, NSW","25-34 hours",11
"Persons Place of Usual Residence","2398, NSW","35-39 hours",14
"Persons Place of Usual Residence","2398, NSW","40 hours",17
"Persons Place of Usual Residence","2398, NSW","41-48 hours",18
"Persons Place of Usual Residence","2398, NSW","49 hours and over",38
"Persons Place of Usual Residence","2398, NSW","Not stated",4
"Persons Place of Usual Residence","2398, NSW","Not applicable",103
"Persons Place of Usual Residence","2399, NSW","None",13
"Persons Place of Usual Residence","2399, NSW","1-15 hours",16
"Persons Place of Usual Residence","2399, NSW","16-24 hours",15
"Persons Place of Usual Residence","2399, NSW","25-34 hours",25
"Persons Place of Usual Residence","2399, NSW","35-39 hours",46
"Persons Place of Usual Residence","2399, NSW","40 hours",37
"Persons Place of Usual Residence","2399, NSW","41-48 hours",15
"Persons Place of Usual Residence","2399, NSW","49 hours and over",83
"Persons Place of Usual Residence","2399, NSW","Not stated",11
"Persons Place of Usual Residence","2399, NSW","Not applicable",329
"Persons Place of Usual Residence","2400, NSW","None",167
"Persons Place of Usual Residence","2400, NSW","1-15 hours",348
"Persons Place of Usual Residence","2400, NSW","16-24 hours",318
"Persons Place of Usual Residence","2400, NSW","25-34 hours",412
"Persons Place of Usual Residence","2400, NSW","35-39 hours",821
"Persons Place of Usual Residence","2400, NSW","40 hours",751
"Persons Place of Usual Residence","2400, NSW","41-48 hours",399
"Persons Place of Usual Residence","2400, NSW","49 hours and over",990
"Persons Place of Usual Residence","2400, NSW","Not stated",114
"Persons Place of Usual Residence","2400, NSW","Not applicable",5764
"Persons Place of Usual Residence","2401, NSW","None",6
"Persons Place of Usual Residence","2401, NSW","1-15 hours",7
"Persons Place of Usual Residence","2401, NSW","16-24 hours",11
"Persons Place of Usual Residence","2401, NSW","25-34 hours",12
"Persons Place of Usual Residence","2401, NSW","35-39 hours",27
"Persons Place of Usual Residence","2401, NSW","40 hours",22
"Persons Place of Usual Residence","2401, NSW","41-48 hours",6
"Persons Place of Usual Residence","2401, NSW","49 hours and over",58
"Persons Place of Usual Residence","2401, NSW","Not stated",3
"Persons Place of Usual Residence","2401, NSW","Not applicable",159
"Persons Place of Usual Residence","2402, NSW","None",27
"Persons Place of Usual Residence","2402, NSW","1-15 hours",67
"Persons Place of Usual Residence","2402, NSW","16-24 hours",64
"Persons Place of Usual Residence","2402, NSW","25-34 hours",85
"Persons Place of Usual Residence","2402, NSW","35-39 hours",111
"Persons Place of Usual Residence","2402, NSW","40 hours",96
"Persons Place of Usual Residence","2402, NSW","41-48 hours",46
"Persons Place of Usual Residence","2402, NSW","49 hours and over",142
"Persons Place of Usual Residence","2402, NSW","Not stated",16
"Persons Place of Usual Residence","2402, NSW","Not applicable",1132
"Persons Place of Usual Residence","2403, NSW","None",7
"Persons Place of Usual Residence","2403, NSW","1-15 hours",28
"Persons Place of Usual Residence","2403, NSW","16-24 hours",18
"Persons Place of Usual Residence","2403, NSW","25-34 hours",39
"Persons Place of Usual Residence","2403, NSW","35-39 hours",32
"Persons Place of Usual Residence","2403, NSW","40 hours",42
"Persons Place of Usual Residence","2403, NSW","41-48 hours",19
"Persons Place of Usual Residence","2403, NSW","49 hours and over",93
"Persons Place of Usual Residence","2403, NSW","Not stated",7
"Persons Place of Usual Residence","2403, NSW","Not applicable",434
"Persons Place of Usual Residence","2404, NSW","None",38
"Persons Place of Usual Residence","2404, NSW","1-15 hours",74
"Persons Place of Usual Residence","2404, NSW","16-24 hours",59
"Persons Place of Usual Residence","2404, NSW","25-34 hours",80
"Persons Place of Usual Residence","2404, NSW","35-39 hours",90
"Persons Place of Usual Residence","2404, NSW","40 hours",93
"Persons Place of Usual Residence","2404, NSW","41-48 hours",51
"Persons Place of Usual Residence","2404, NSW","49 hours and over",166
"Persons Place of Usual Residence","2404, NSW","Not stated",8
"Persons Place of Usual Residence","2404, NSW","Not applicable",1186
"Persons Place of Usual Residence","2405, NSW","None",6
"Persons Place of Usual Residence","2405, NSW","1-15 hours",15
"Persons Place of Usual Residence","2405, NSW","16-24 hours",20
"Persons Place of Usual Residence","2405, NSW","25-34 hours",20
"Persons Place of Usual Residence","2405, NSW","35-39 hours",21
"Persons Place of Usual Residence","2405, NSW","40 hours",36
"Persons Place of Usual Residence","2405, NSW","41-48 hours",17
"Persons Place of Usual Residence","2405, NSW","49 hours and over",125
"Persons Place of Usual Residence","2405, NSW","Not stated",9
"Persons Place of Usual Residence","2405, NSW","Not applicable",246
"Persons Place of Usual Residence","2408, NSW","None",5
"Persons Place of Usual Residence","2408, NSW","1-15 hours",7
"Persons Place of Usual Residence","2408, NSW","16-24 hours",10
"Persons Place of Usual Residence","2408, NSW","25-34 hours",16
"Persons Place of Usual Residence","2408, NSW","35-39 hours",12
"Persons Place of Usual Residence","2408, NSW","40 hours",21
"Persons Place of Usual Residence","2408, NSW","41-48 hours",14
"Persons Place of Usual Residence","2408, NSW","49 hours and over",93
"Persons Place of Usual Residence","2408, NSW","Not stated",7
"Persons Place of Usual Residence","2408, NSW","Not applicable",177
"Persons Place of Usual Residence","2409, NSW","None",16
"Persons Place of Usual Residence","2409, NSW","1-15 hours",22
"Persons Place of Usual Residence","2409, NSW","16-24 hours",24
"Persons Place of Usual Residence","2409, NSW","25-34 hours",40
"Persons Place of Usual Residence","2409, NSW","35-39 hours",41
"Persons Place of Usual Residence","2409, NSW","40 hours",37
"Persons Place of Usual Residence","2409, NSW","41-48 hours",6
"Persons Place of Usual Residence","2409, NSW","49 hours and over",87
"Persons Place of Usual Residence","2409, NSW","Not stated",9
"Persons Place of Usual Residence","2409, NSW","Not applicable",759
"Persons Place of Usual Residence","2410, NSW","None",7
"Persons Place of Usual Residence","2410, NSW","1-15 hours",11
"Persons Place of Usual Residence","2410, NSW","16-24 hours",6
"Persons Place of Usual Residence","2410, NSW","25-34 hours",7
"Persons Place of Usual Residence","2410, NSW","35-39 hours",4
"Persons Place of Usual Residence","2410, NSW","40 hours",19
"Persons Place of Usual Residence","2410, NSW","41-48 hours",15
"Persons Place of Usual Residence","2410, NSW","49 hours and over",46
"Persons Place of Usual Residence","2410, NSW","Not stated",6
"Persons Place of Usual Residence","2410, NSW","Not applicable",156
"Persons Place of Usual Residence","2411, NSW","None",3
"Persons Place of Usual Residence","2411, NSW","1-15 hours",7
"Persons Place of Usual Residence","2411, NSW","16-24 hours",9
"Persons Place of Usual Residence","2411, NSW","25-34 hours",4
"Persons Place of Usual Residence","2411, NSW","35-39 hours",4
"Persons Place of Usual Residence","2411, NSW","40 hours",11
"Persons Place of Usual Residence","2411, NSW","41-48 hours",8
"Persons Place of Usual Residence","2411, NSW","49 hours and over",28
"Persons Place of Usual Residence","2411, NSW","Not stated",0
"Persons Place of Usual Residence","2411, NSW","Not applicable",55
"Persons Place of Usual Residence","2415, NSW","None",9
"Persons Place of Usual Residence","2415, NSW","1-15 hours",17
"Persons Place of Usual Residence","2415, NSW","16-24 hours",17
"Persons Place of Usual Residence","2415, NSW","25-34 hours",18
"Persons Place of Usual Residence","2415, NSW","35-39 hours",33
"Persons Place of Usual Residence","2415, NSW","40 hours",16
"Persons Place of Usual Residence","2415, NSW","41-48 hours",15
"Persons Place of Usual Residence","2415, NSW","49 hours and over",30
"Persons Place of Usual Residence","2415, NSW","Not stated",6
"Persons Place of Usual Residence","2415, NSW","Not applicable",228
"Persons Place of Usual Residence","2420, NSW","None",77
"Persons Place of Usual Residence","2420, NSW","1-15 hours",224
"Persons Place of Usual Residence","2420, NSW","16-24 hours",179
"Persons Place of Usual Residence","2420, NSW","25-34 hours",189
"Persons Place of Usual Residence","2420, NSW","35-39 hours",269
"Persons Place of Usual Residence","2420, NSW","40 hours",247
"Persons Place of Usual Residence","2420, NSW","41-48 hours",103
"Persons Place of Usual Residence","2420, NSW","49 hours and over",250
"Persons Place of Usual Residence","2420, NSW","Not stated",38
"Persons Place of Usual Residence","2420, NSW","Not applicable",2453
"Persons Place of Usual Residence","2421, NSW","None",20
"Persons Place of Usual Residence","2421, NSW","1-15 hours",107
"Persons Place of Usual Residence","2421, NSW","16-24 hours",125
"Persons Place of Usual Residence","2421, NSW","25-34 hours",117
"Persons Place of Usual Residence","2421, NSW","35-39 hours",128
"Persons Place of Usual Residence","2421, NSW","40 hours",144
"Persons Place of Usual Residence","2421, NSW","41-48 hours",84
"Persons Place of Usual Residence","2421, NSW","49 hours and over",165
"Persons Place of Usual Residence","2421, NSW","Not stated",18
"Persons Place of Usual Residence","2421, NSW","Not applicable",926
"Persons Place of Usual Residence","2422, NSW","None",84
"Persons Place of Usual Residence","2422, NSW","1-15 hours",282
"Persons Place of Usual Residence","2422, NSW","16-24 hours",223
"Persons Place of Usual Residence","2422, NSW","25-34 hours",259
"Persons Place of Usual Residence","2422, NSW","35-39 hours",291
"Persons Place of Usual Residence","2422, NSW","40 hours",259
"Persons Place of Usual Residence","2422, NSW","41-48 hours",130
"Persons Place of Usual Residence","2422, NSW","49 hours and over",353
"Persons Place of Usual Residence","2422, NSW","Not stated",44
"Persons Place of Usual Residence","2422, NSW","Not applicable",3411
"Persons Place of Usual Residence","2423, NSW","None",46
"Persons Place of Usual Residence","2423, NSW","1-15 hours",170
"Persons Place of Usual Residence","2423, NSW","16-24 hours",131
"Persons Place of Usual Residence","2423, NSW","25-34 hours",146
"Persons Place of Usual Residence","2423, NSW","35-39 hours",148
"Persons Place of Usual Residence","2423, NSW","40 hours",147
"Persons Place of Usual Residence","2423, NSW","41-48 hours",60
"Persons Place of Usual Residence","2423, NSW","49 hours and over",169
"Persons Place of Usual Residence","2423, NSW","Not stated",32
"Persons Place of Usual Residence","2423, NSW","Not applicable",1899
"Persons Place of Usual Residence","2424, NSW","None",3
"Persons Place of Usual Residence","2424, NSW","1-15 hours",16
"Persons Place of Usual Residence","2424, NSW","16-24 hours",22
"Persons Place of Usual Residence","2424, NSW","25-34 hours",20
"Persons Place of Usual Residence","2424, NSW","35-39 hours",14
"Persons Place of Usual Residence","2424, NSW","40 hours",30
"Persons Place of Usual Residence","2424, NSW","41-48 hours",11
"Persons Place of Usual Residence","2424, NSW","49 hours and over",23
"Persons Place of Usual Residence","2424, NSW","Not stated",9
"Persons Place of Usual Residence","2424, NSW","Not applicable",284
"Persons Place of Usual Residence","2425, NSW","None",22
"Persons Place of Usual Residence","2425, NSW","1-15 hours",83
"Persons Place of Usual Residence","2425, NSW","16-24 hours",87
"Persons Place of Usual Residence","2425, NSW","25-34 hours",81
"Persons Place of Usual Residence","2425, NSW","35-39 hours",129
"Persons Place of Usual Residence","2425, NSW","40 hours",122
"Persons Place of Usual Residence","2425, NSW","41-48 hours",81
"Persons Place of Usual Residence","2425, NSW","49 hours and over",141
"Persons Place of Usual Residence","2425, NSW","Not stated",9
"Persons Place of Usual Residence","2425, NSW","Not applicable",1036
"Persons Place of Usual Residence","2426, NSW","None",11
"Persons Place of Usual Residence","2426, NSW","1-15 hours",31
"Persons Place of Usual Residence","2426, NSW","16-24 hours",32
"Persons Place of Usual Residence","2426, NSW","25-34 hours",47
"Persons Place of Usual Residence","2426, NSW","35-39 hours",45
"Persons Place of Usual Residence","2426, NSW","40 hours",26
"Persons Place of Usual Residence","2426, NSW","41-48 hours",10
"Persons Place of Usual Residence","2426, NSW","49 hours and over",44
"Persons Place of Usual Residence","2426, NSW","Not stated",6
"Persons Place of Usual Residence","2426, NSW","Not applicable",468
"Persons Place of Usual Residence","2427, NSW","None",24
"Persons Place of Usual Residence","2427, NSW","1-15 hours",108
"Persons Place of Usual Residence","2427, NSW","16-24 hours",102
"Persons Place of Usual Residence","2427, NSW","25-34 hours",132
"Persons Place of Usual Residence","2427, NSW","35-39 hours",112
"Persons Place of Usual Residence","2427, NSW","40 hours",120
"Persons Place of Usual Residence","2427, NSW","41-48 hours",51
"Persons Place of Usual Residence","2427, NSW","49 hours and over",106
"Persons Place of Usual Residence","2427, NSW","Not stated",28
"Persons Place of Usual Residence","2427, NSW","Not applicable",2331
"Persons Place of Usual Residence","2428, NSW","None",343
"Persons Place of Usual Residence","2428, NSW","1-15 hours",1137
"Persons Place of Usual Residence","2428, NSW","16-24 hours",941
"Persons Place of Usual Residence","2428, NSW","25-34 hours",1119
"Persons Place of Usual Residence","2428, NSW","35-39 hours",1221
"Persons Place of Usual Residence","2428, NSW","40 hours",1065
"Persons Place of Usual Residence","2428, NSW","41-48 hours",498
"Persons Place of Usual Residence","2428, NSW","49 hours and over",869
"Persons Place of Usual Residence","2428, NSW","Not stated",191
"Persons Place of Usual Residence","2428, NSW","Not applicable",16629
"Persons Place of Usual Residence","2429, NSW","None",217
"Persons Place of Usual Residence","2429, NSW","1-15 hours",426
"Persons Place of Usual Residence","2429, NSW","16-24 hours",455
"Persons Place of Usual Residence","2429, NSW","25-34 hours",496
"Persons Place of Usual Residence","2429, NSW","35-39 hours",628
"Persons Place of Usual Residence","2429, NSW","40 hours",508
"Persons Place of Usual Residence","2429, NSW","41-48 hours",271
"Persons Place of Usual Residence","2429, NSW","49 hours and over",489
"Persons Place of Usual Residence","2429, NSW","Not stated",104
"Persons Place of Usual Residence","2429, NSW","Not applicable",6121
"Persons Place of Usual Residence","2430, NSW","None",534
"Persons Place of Usual Residence","2430, NSW","1-15 hours",1617
"Persons Place of Usual Residence","2430, NSW","16-24 hours",1381
"Persons Place of Usual Residence","2430, NSW","25-34 hours",1662
"Persons Place of Usual Residence","2430, NSW","35-39 hours",2191
"Persons Place of Usual Residence","2430, NSW","40 hours",1747
"Persons Place of Usual Residence","2430, NSW","41-48 hours",822
"Persons Place of Usual Residence","2430, NSW","49 hours and over",1375
"Persons Place of Usual Residence","2430, NSW","Not stated",260
"Persons Place of Usual Residence","2430, NSW","Not applicable",22437
"Persons Place of Usual Residence","2431, NSW","None",91
"Persons Place of Usual Residence","2431, NSW","1-15 hours",221
"Persons Place of Usual Residence","2431, NSW","16-24 hours",186
"Persons Place of Usual Residence","2431, NSW","25-34 hours",212
"Persons Place of Usual Residence","2431, NSW","35-39 hours",279
"Persons Place of Usual Residence","2431, NSW","40 hours",248
"Persons Place of Usual Residence","2431, NSW","41-48 hours",113
"Persons Place of Usual Residence","2431, NSW","49 hours and over",197
"Persons Place of Usual Residence","2431, NSW","Not stated",49
"Persons Place of Usual Residence","2431, NSW","Not applicable",3542
"Persons Place of Usual Residence","2439, NSW","None",53
"Persons Place of Usual Residence","2439, NSW","1-15 hours",135
"Persons Place of Usual Residence","2439, NSW","16-24 hours",135
"Persons Place of Usual Residence","2439, NSW","25-34 hours",157
"Persons Place of Usual Residence","2439, NSW","35-39 hours",171
"Persons Place of Usual Residence","2439, NSW","40 hours",160
"Persons Place of Usual Residence","2439, NSW","41-48 hours",70
"Persons Place of Usual Residence","2439, NSW","49 hours and over",131
"Persons Place of Usual Residence","2439, NSW","Not stated",18
"Persons Place of Usual Residence","2439, NSW","Not applicable",1912
"Persons Place of Usual Residence","2440, NSW","None",332
"Persons Place of Usual Residence","2440, NSW","1-15 hours",945
"Persons Place of Usual Residence","2440, NSW","16-24 hours",923
"Persons Place of Usual Residence","2440, NSW","25-34 hours",1056
"Persons Place of Usual Residence","2440, NSW","35-39 hours",1372
"Persons Place of Usual Residence","2440, NSW","40 hours",919
"Persons Place of Usual Residence","2440, NSW","41-48 hours",529
"Persons Place of Usual Residence","2440, NSW","49 hours and over",886
"Persons Place of Usual Residence","2440, NSW","Not stated",252
"Persons Place of Usual Residence","2440, NSW","Not applicable",14610
"Persons Place of Usual Residence","2441, NSW","None",72
"Persons Place of Usual Residence","2441, NSW","1-15 hours",209
"Persons Place of Usual Residence","2441, NSW","16-24 hours",195
"Persons Place of Usual Residence","2441, NSW","25-34 hours",241
"Persons Place of Usual Residence","2441, NSW","35-39 hours",285
"Persons Place of Usual Residence","2441, NSW","40 hours",238
"Persons Place of Usual Residence","2441, NSW","41-48 hours",111
"Persons Place of Usual Residence","2441, NSW","49 hours and over",241
"Persons Place of Usual Residence","2441, NSW","Not stated",57
"Persons Place of Usual Residence","2441, NSW","Not applicable",2699
"Persons Place of Usual Residence","2443, NSW","None",114
"Persons Place of Usual Residence","2443, NSW","1-15 hours",337
"Persons Place of Usual Residence","2443, NSW","16-24 hours",338
"Persons Place of Usual Residence","2443, NSW","25-34 hours",387
"Persons Place of Usual Residence","2443, NSW","35-39 hours",406
"Persons Place of Usual Residence","2443, NSW","40 hours",353
"Persons Place of Usual Residence","2443, NSW","41-48 hours",161
"Persons Place of Usual Residence","2443, NSW","49 hours and over",333
"Persons Place of Usual Residence","2443, NSW","Not stated",60
"Persons Place of Usual Residence","2443, NSW","Not applicable",6402
"Persons Place of Usual Residence","2444, NSW","None",619
"Persons Place of Usual Residence","2444, NSW","1-15 hours",2425
"Persons Place of Usual Residence","2444, NSW","16-24 hours",1863
"Persons Place of Usual Residence","2444, NSW","25-34 hours",2561
"Persons Place of Usual Residence","2444, NSW","35-39 hours",3463
"Persons Place of Usual Residence","2444, NSW","40 hours",2981
"Persons Place of Usual Residence","2444, NSW","41-48 hours",1449
"Persons Place of Usual Residence","2444, NSW","49 hours and over",2327
"Persons Place of Usual Residence","2444, NSW","Not stated",301
"Persons Place of Usual Residence","2444, NSW","Not applicable",28299
"Persons Place of Usual Residence","2445, NSW","None",91
"Persons Place of Usual Residence","2445, NSW","1-15 hours",360
"Persons Place of Usual Residence","2445, NSW","16-24 hours",293
"Persons Place of Usual Residence","2445, NSW","25-34 hours",357
"Persons Place of Usual Residence","2445, NSW","35-39 hours",440
"Persons Place of Usual Residence","2445, NSW","40 hours",425
"Persons Place of Usual Residence","2445, NSW","41-48 hours",206
"Persons Place of Usual Residence","2445, NSW","49 hours and over",331
"Persons Place of Usual Residence","2445, NSW","Not stated",39
"Persons Place of Usual Residence","2445, NSW","Not applicable",3926
"Persons Place of Usual Residence","2446, NSW","None",233
"Persons Place of Usual Residence","2446, NSW","1-15 hours",634
"Persons Place of Usual Residence","2446, NSW","16-24 hours",535
"Persons Place of Usual Residence","2446, NSW","25-34 hours",716
"Persons Place of Usual Residence","2446, NSW","35-39 hours",990
"Persons Place of Usual Residence","2446, NSW","40 hours",789
"Persons Place of Usual Residence","2446, NSW","41-48 hours",384
"Persons Place of Usual Residence","2446, NSW","49 hours and over",812
"Persons Place of Usual Residence","2446, NSW","Not stated",110
"Persons Place of Usual Residence","2446, NSW","Not applicable",8126
"Persons Place of Usual Residence","2447, NSW","None",114
"Persons Place of Usual Residence","2447, NSW","1-15 hours",329
"Persons Place of Usual Residence","2447, NSW","16-24 hours",333
"Persons Place of Usual Residence","2447, NSW","25-34 hours",373
"Persons Place of Usual Residence","2447, NSW","35-39 hours",458
"Persons Place of Usual Residence","2447, NSW","40 hours",333
"Persons Place of Usual Residence","2447, NSW","41-48 hours",190
"Persons Place of Usual Residence","2447, NSW","49 hours and over",353
"Persons Place of Usual Residence","2447, NSW","Not stated",60
"Persons Place of Usual Residence","2447, NSW","Not applicable",4632
"Persons Place of Usual Residence","2448, NSW","None",131
"Persons Place of Usual Residence","2448, NSW","1-15 hours",401
"Persons Place of Usual Residence","2448, NSW","16-24 hours",364
"Persons Place of Usual Residence","2448, NSW","25-34 hours",409
"Persons Place of Usual Residence","2448, NSW","35-39 hours",462
"Persons Place of Usual Residence","2448, NSW","40 hours",333
"Persons Place of Usual Residence","2448, NSW","41-48 hours",171
"Persons Place of Usual Residence","2448, NSW","49 hours and over",373
"Persons Place of Usual Residence","2448, NSW","Not stated",66
"Persons Place of Usual Residence","2448, NSW","Not applicable",6293
"Persons Place of Usual Residence","2449, NSW","None",25
"Persons Place of Usual Residence","2449, NSW","1-15 hours",120
"Persons Place of Usual Residence","2449, NSW","16-24 hours",115
"Persons Place of Usual Residence","2449, NSW","25-34 hours",111
"Persons Place of Usual Residence","2449, NSW","35-39 hours",119
"Persons Place of Usual Residence","2449, NSW","40 hours",67
"Persons Place of Usual Residence","2449, NSW","41-48 hours",25
"Persons Place of Usual Residence","2449, NSW","49 hours and over",98
"Persons Place of Usual Residence","2449, NSW","Not stated",15
"Persons Place of Usual Residence","2449, NSW","Not applicable",1489
"Persons Place of Usual Residence","2450, NSW","None",661
"Persons Place of Usual Residence","2450, NSW","1-15 hours",2520
"Persons Place of Usual Residence","2450, NSW","16-24 hours",2022
"Persons Place of Usual Residence","2450, NSW","25-34 hours",2521
"Persons Place of Usual Residence","2450, NSW","35-39 hours",3449
"Persons Place of Usual Residence","2450, NSW","40 hours",2791
"Persons Place of Usual Residence","2450, NSW","41-48 hours",1343
"Persons Place of Usual Residence","2450, NSW","49 hours and over",2385
"Persons Place of Usual Residence","2450, NSW","Not stated",308
"Persons Place of Usual Residence","2450, NSW","Not applicable",25899
"Persons Place of Usual Residence","2452, NSW","None",182
"Persons Place of Usual Residence","2452, NSW","1-15 hours",858
"Persons Place of Usual Residence","2452, NSW","16-24 hours",672
"Persons Place of Usual Residence","2452, NSW","25-34 hours",888
"Persons Place of Usual Residence","2452, NSW","35-39 hours",1258
"Persons Place of Usual Residence","2452, NSW","40 hours",865
"Persons Place of Usual Residence","2452, NSW","41-48 hours",469
"Persons Place of Usual Residence","2452, NSW","49 hours and over",697
"Persons Place of Usual Residence","2452, NSW","Not stated",119
"Persons Place of Usual Residence","2452, NSW","Not applicable",9112
"Persons Place of Usual Residence","2453, NSW","None",49
"Persons Place of Usual Residence","2453, NSW","1-15 hours",172
"Persons Place of Usual Residence","2453, NSW","16-24 hours",118
"Persons Place of Usual Residence","2453, NSW","25-34 hours",178
"Persons Place of Usual Residence","2453, NSW","35-39 hours",122
"Persons Place of Usual Residence","2453, NSW","40 hours",122
"Persons Place of Usual Residence","2453, NSW","41-48 hours",69
"Persons Place of Usual Residence","2453, NSW","49 hours and over",221
"Persons Place of Usual Residence","2453, NSW","Not stated",29
"Persons Place of Usual Residence","2453, NSW","Not applicable",1691
"Persons Place of Usual Residence","2454, NSW","None",120
"Persons Place of Usual Residence","2454, NSW","1-15 hours",463
"Persons Place of Usual Residence","2454, NSW","16-24 hours",399
"Persons Place of Usual Residence","2454, NSW","25-34 hours",503
"Persons Place of Usual Residence","2454, NSW","35-39 hours",472
"Persons Place of Usual Residence","2454, NSW","40 hours",406
"Persons Place of Usual Residence","2454, NSW","41-48 hours",192
"Persons Place of Usual Residence","2454, NSW","49 hours and over",371
"Persons Place of Usual Residence","2454, NSW","Not stated",63
"Persons Place of Usual Residence","2454, NSW","Not applicable",4586
"Persons Place of Usual Residence","2455, NSW","None",42
"Persons Place of Usual Residence","2455, NSW","1-15 hours",155
"Persons Place of Usual Residence","2455, NSW","16-24 hours",146
"Persons Place of Usual Residence","2455, NSW","25-34 hours",174
"Persons Place of Usual Residence","2455, NSW","35-39 hours",205
"Persons Place of Usual Residence","2455, NSW","40 hours",124
"Persons Place of Usual Residence","2455, NSW","41-48 hours",77
"Persons Place of Usual Residence","2455, NSW","49 hours and over",132
"Persons Place of Usual Residence","2455, NSW","Not stated",16
"Persons Place of Usual Residence","2455, NSW","Not applicable",1928
"Persons Place of Usual Residence","2456, NSW","None",221
"Persons Place of Usual Residence","2456, NSW","1-15 hours",762
"Persons Place of Usual Residence","2456, NSW","16-24 hours",683
"Persons Place of Usual Residence","2456, NSW","25-34 hours",909
"Persons Place of Usual Residence","2456, NSW","35-39 hours",1143
"Persons Place of Usual Residence","2456, NSW","40 hours",865
"Persons Place of Usual Residence","2456, NSW","41-48 hours",424
"Persons Place of Usual Residence","2456, NSW","49 hours and over",771
"Persons Place of Usual Residence","2456, NSW","Not stated",115
"Persons Place of Usual Residence","2456, NSW","Not applicable",8850
"Persons Place of Usual Residence","2460, NSW","None",409
"Persons Place of Usual Residence","2460, NSW","1-15 hours",1369
"Persons Place of Usual Residence","2460, NSW","16-24 hours",1134
"Persons Place of Usual Residence","2460, NSW","25-34 hours",1432
"Persons Place of Usual Residence","2460, NSW","35-39 hours",2104
"Persons Place of Usual Residence","2460, NSW","40 hours",1537
"Persons Place of Usual Residence","2460, NSW","41-48 hours",804
"Persons Place of Usual Residence","2460, NSW","49 hours and over",1423
"Persons Place of Usual Residence","2460, NSW","Not stated",212
"Persons Place of Usual Residence","2460, NSW","Not applicable",18789
"Persons Place of Usual Residence","2462, NSW","None",41
"Persons Place of Usual Residence","2462, NSW","1-15 hours",103
"Persons Place of Usual Residence","2462, NSW","16-24 hours",125
"Persons Place of Usual Residence","2462, NSW","25-34 hours",140
"Persons Place of Usual Residence","2462, NSW","35-39 hours",126
"Persons Place of Usual Residence","2462, NSW","40 hours",105
"Persons Place of Usual Residence","2462, NSW","41-48 hours",66
"Persons Place of Usual Residence","2462, NSW","49 hours and over",141
"Persons Place of Usual Residence","2462, NSW","Not stated",28
"Persons Place of Usual Residence","2462, NSW","Not applicable",1568
"Persons Place of Usual Residence","2463, NSW","None",119
"Persons Place of Usual Residence","2463, NSW","1-15 hours",363
"Persons Place of Usual Residence","2463, NSW","16-24 hours",352
"Persons Place of Usual Residence","2463, NSW","25-34 hours",422
"Persons Place of Usual Residence","2463, NSW","35-39 hours",445
"Persons Place of Usual Residence","2463, NSW","40 hours",347
"Persons Place of Usual Residence","2463, NSW","41-48 hours",166
"Persons Place of Usual Residence","2463, NSW","49 hours and over",354
"Persons Place of Usual Residence","2463, NSW","Not stated",50
