Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","INCP Total Personal Income (weekly)","Count",
"Persons Place of Usual Residence","2011, NSW","$400-$499 ($20,800-$25,999)",841
"Persons Place of Usual Residence","2011, NSW","$500-$649 ($26,000-$33,799)",787
"Persons Place of Usual Residence","2011, NSW","$650-$799 ($33,800-$41,599)",916
"Persons Place of Usual Residence","2011, NSW","$800-$999 ($41,600-$51,999)",1191
"Persons Place of Usual Residence","2011, NSW","$1,000-$1,249 ($52,000-$64,999)",1688
"Persons Place of Usual Residence","2011, NSW","$1,250-$1,499 ($65,000-$77,999)",1394
"Persons Place of Usual Residence","2011, NSW","$1,500-$1,749 ($78,000-$90,999)",1442
"Persons Place of Usual Residence","2011, NSW","$1,750-$1,999 ($91,000-$103,999)",1096
"Persons Place of Usual Residence","2011, NSW","$2,000-$2,999 ($104,000-$155,999)",2151
"Persons Place of Usual Residence","2011, NSW","$3,000 or more ($156,000 or more)",2085
"Persons Place of Usual Residence","2011, NSW","Not stated",4677
"Persons Place of Usual Residence","2011, NSW","Not applicable",788
"Persons Place of Usual Residence","2011, NSW","Total",21199
"Persons Place of Usual Residence","2015, NSW","Negative income",31
"Persons Place of Usual Residence","2015, NSW","Nil income",420
"Persons Place of Usual Residence","2015, NSW","$1-$149 ($1-$7,799)",156
"Persons Place of Usual Residence","2015, NSW","$150-$299 ($7,800-$15,599)",247
"Persons Place of Usual Residence","2015, NSW","$300-$399 ($15,600-$20,799)",291
"Persons Place of Usual Residence","2015, NSW","$400-$499 ($20,800-$25,999)",305
"Persons Place of Usual Residence","2015, NSW","$500-$649 ($26,000-$33,799)",400
"Persons Place of Usual Residence","2015, NSW","$650-$799 ($33,800-$41,599)",432
"Persons Place of Usual Residence","2015, NSW","$800-$999 ($41,600-$51,999)",663
"Persons Place of Usual Residence","2015, NSW","$1,000-$1,249 ($52,000-$64,999)",895
"Persons Place of Usual Residence","2015, NSW","$1,250-$1,499 ($65,000-$77,999)",875
"Persons Place of Usual Residence","2015, NSW","$1,500-$1,749 ($78,000-$90,999)",828
"Persons Place of Usual Residence","2015, NSW","$1,750-$1,999 ($91,000-$103,999)",625
"Persons Place of Usual Residence","2015, NSW","$2,000-$2,999 ($104,000-$155,999)",1128
"Persons Place of Usual Residence","2015, NSW","$3,000 or more ($156,000 or more)",690
"Persons Place of Usual Residence","2015, NSW","Not stated",823
"Persons Place of Usual Residence","2015, NSW","Not applicable",1110
"Persons Place of Usual Residence","2015, NSW","Total",9922
"Persons Place of Usual Residence","2016, NSW","Negative income",43
"Persons Place of Usual Residence","2016, NSW","Nil income",726
"Persons Place of Usual Residence","2016, NSW","$1-$149 ($1-$7,799)",222
"Persons Place of Usual Residence","2016, NSW","$150-$299 ($7,800-$15,599)",688
"Persons Place of Usual Residence","2016, NSW","$300-$399 ($15,600-$20,799)",895
"Persons Place of Usual Residence","2016, NSW","$400-$499 ($20,800-$25,999)",849
"Persons Place of Usual Residence","2016, NSW","$500-$649 ($26,000-$33,799)",551
"Persons Place of Usual Residence","2016, NSW","$650-$799 ($33,800-$41,599)",618
"Persons Place of Usual Residence","2016, NSW","$800-$999 ($41,600-$51,999)",801
"Persons Place of Usual Residence","2016, NSW","$1,000-$1,249 ($52,000-$64,999)",1000
"Persons Place of Usual Residence","2016, NSW","$1,250-$1,499 ($65,000-$77,999)",937
"Persons Place of Usual Residence","2016, NSW","$1,500-$1,749 ($78,000-$90,999)",868
"Persons Place of Usual Residence","2016, NSW","$1,750-$1,999 ($91,000-$103,999)",616
"Persons Place of Usual Residence","2016, NSW","$2,000-$2,999 ($104,000-$155,999)",1163
"Persons Place of Usual Residence","2016, NSW","$3,000 or more ($156,000 or more)",747
"Persons Place of Usual Residence","2016, NSW","Not stated",1572
"Persons Place of Usual Residence","2016, NSW","Not applicable",911
"Persons Place of Usual Residence","2016, NSW","Total",13213
"Persons Place of Usual Residence","2017, NSW","Negative income",155
"Persons Place of Usual Residence","2017, NSW","Nil income",3564
"Persons Place of Usual Residence","2017, NSW","$1-$149 ($1-$7,799)",511
"Persons Place of Usual Residence","2017, NSW","$150-$299 ($7,800-$15,599)",1133
"Persons Place of Usual Residence","2017, NSW","$300-$399 ($15,600-$20,799)",1339
"Persons Place of Usual Residence","2017, NSW","$400-$499 ($20,800-$25,999)",1175
"Persons Place of Usual Residence","2017, NSW","$500-$649 ($26,000-$33,799)",946
"Persons Place of Usual Residence","2017, NSW","$650-$799 ($33,800-$41,599)",1004
"Persons Place of Usual Residence","2017, NSW","$800-$999 ($41,600-$51,999)",1414
"Persons Place of Usual Residence","2017, NSW","$1,000-$1,249 ($52,000-$64,999)",1779
"Persons Place of Usual Residence","2017, NSW","$1,250-$1,499 ($65,000-$77,999)",1518
"Persons Place of Usual Residence","2017, NSW","$1,500-$1,749 ($78,000-$90,999)",1489
"Persons Place of Usual Residence","2017, NSW","$1,750-$1,999 ($91,000-$103,999)",1080
"Persons Place of Usual Residence","2017, NSW","$2,000-$2,999 ($104,000-$155,999)",2002
"Persons Place of Usual Residence","2017, NSW","$3,000 or more ($156,000 or more)",954
"Persons Place of Usual Residence","2017, NSW","Not stated",2791
"Persons Place of Usual Residence","2017, NSW","Not applicable",1829
"Persons Place of Usual Residence","2017, NSW","Total",24694
"Persons Place of Usual Residence","2018, NSW","Negative income",106
"Persons Place of Usual Residence","2018, NSW","Nil income",1808
"Persons Place of Usual Residence","2018, NSW","$1-$149 ($1-$7,799)",490
"Persons Place of Usual Residence","2018, NSW","$150-$299 ($7,800-$15,599)",895
"Persons Place of Usual Residence","2018, NSW","$300-$399 ($15,600-$20,799)",1167
"Persons Place of Usual Residence","2018, NSW","$400-$499 ($20,800-$25,999)",1119
"Persons Place of Usual Residence","2018, NSW","$500-$649 ($26,000-$33,799)",935
