Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2028, NSW","Separated",73
"Persons Place of Usual Residence","2028, NSW","Married",1609
"Persons Place of Usual Residence","2028, NSW","Not applicable",532
"Persons Place of Usual Residence","2028, NSW","Total",4643
"Persons Place of Usual Residence","2029, NSW","Never married",2940
"Persons Place of Usual Residence","2029, NSW","Widowed",479
"Persons Place of Usual Residence","2029, NSW","Divorced",676
"Persons Place of Usual Residence","2029, NSW","Separated",186
"Persons Place of Usual Residence","2029, NSW","Married",3887
"Persons Place of Usual Residence","2029, NSW","Not applicable",1795
"Persons Place of Usual Residence","2029, NSW","Total",9957
"Persons Place of Usual Residence","2030, NSW","Never married",3504
"Persons Place of Usual Residence","2030, NSW","Widowed",531
"Persons Place of Usual Residence","2030, NSW","Divorced",708
"Persons Place of Usual Residence","2030, NSW","Separated",203
"Persons Place of Usual Residence","2030, NSW","Married",6145
"Persons Place of Usual Residence","2030, NSW","Not applicable",2992
"Persons Place of Usual Residence","2030, NSW","Total",14080
"Persons Place of Usual Residence","2031, NSW","Never married",14273
"Persons Place of Usual Residence","2031, NSW","Widowed",1141
"Persons Place of Usual Residence","2031, NSW","Divorced",2066
"Persons Place of Usual Residence","2031, NSW","Separated",650
"Persons Place of Usual Residence","2031, NSW","Married",11092
"Persons Place of Usual Residence","2031, NSW","Not applicable",5509
"Persons Place of Usual Residence","2031, NSW","Total",34729
"Persons Place of Usual Residence","2032, NSW","Never married",8400
"Persons Place of Usual Residence","2032, NSW","Widowed",539
"Persons Place of Usual Residence","2032, NSW","Divorced",830
"Persons Place of Usual Residence","2032, NSW","Separated",259
"Persons Place of Usual Residence","2032, NSW","Married",4770
"Persons Place of Usual Residence","2032, NSW","Not applicable",1893
"Persons Place of Usual Residence","2032, NSW","Total",16692
"Persons Place of Usual Residence","2033, NSW","Never married",5579
"Persons Place of Usual Residence","2033, NSW","Widowed",290
"Persons Place of Usual Residence","2033, NSW","Divorced",546
"Persons Place of Usual Residence","2033, NSW","Separated",181
"Persons Place of Usual Residence","2033, NSW","Married",3513
"Persons Place of Usual Residence","2033, NSW","Not applicable",1458
"Persons Place of Usual Residence","2033, NSW","Total",11573
"Persons Place of Usual Residence","2034, NSW","Never married",8633
"Persons Place of Usual Residence","2034, NSW","Widowed",585
"Persons Place of Usual Residence","2034, NSW","Divorced",1362
"Persons Place of Usual Residence","2034, NSW","Separated",412
"Persons Place of Usual Residence","2034, NSW","Married",6461
"Persons Place of Usual Residence","2034, NSW","Not applicable",3256
"Persons Place of Usual Residence","2034, NSW","Total",20716
"Persons Place of Usual Residence","2035, NSW","Never married",11691
"Persons Place of Usual Residence","2035, NSW","Widowed",1584
"Persons Place of Usual Residence","2035, NSW","Divorced",2157
"Persons Place of Usual Residence","2035, NSW","Separated",706
"Persons Place of Usual Residence","2035, NSW","Married",12648
"Persons Place of Usual Residence","2035, NSW","Not applicable",5698
"Persons Place of Usual Residence","2035, NSW","Total",34496
"Persons Place of Usual Residence","2036, NSW","Never married",9581
"Persons Place of Usual Residence","2036, NSW","Widowed",1341
"Persons Place of Usual Residence","2036, NSW","Divorced",2035
"Persons Place of Usual Residence","2036, NSW","Separated",794
"Persons Place of Usual Residence","2036, NSW","Married",11542
"Persons Place of Usual Residence","2036, NSW","Not applicable",5122
"Persons Place of Usual Residence","2036, NSW","Total",30411
"Persons Place of Usual Residence","2037, NSW","Never married",8431
"Persons Place of Usual Residence","2037, NSW","Widowed",415
"Persons Place of Usual Residence","2037, NSW","Divorced",1203
"Persons Place of Usual Residence","2037, NSW","Separated",342
"Persons Place of Usual Residence","2037, NSW","Married",4174
"Persons Place of Usual Residence","2037, NSW","Not applicable",1551
"Persons Place of Usual Residence","2037, NSW","Total",16119
"Persons Place of Usual Residence","2038, NSW","Never married",3751
"Persons Place of Usual Residence","2038, NSW","Widowed",225
"Persons Place of Usual Residence","2038, NSW","Divorced",723
"Persons Place of Usual Residence","2038, NSW","Separated",176
"Persons Place of Usual Residence","2038, NSW","Married",3007
"Persons Place of Usual Residence","2038, NSW","Not applicable",1564
"Persons Place of Usual Residence","2038, NSW","Total",9452
"Persons Place of Usual Residence","2039, NSW","Never married",2992
"Persons Place of Usual Residence","2039, NSW","Widowed",164
"Persons Place of Usual Residence","2039, NSW","Divorced",652
"Persons Place of Usual Residence","2039, NSW","Separated",184
"Persons Place of Usual Residence","2039, NSW","Married",3221
"Persons Place of Usual Residence","2039, NSW","Not applicable",1511
"Persons Place of Usual Residence","2039, NSW","Total",8726
"Persons Place of Usual Residence","2040, NSW","Never married",7465
"Persons Place of Usual Residence","2040, NSW","Widowed",762
"Persons Place of Usual Residence","2040, NSW","Divorced",1604
"Persons Place of Usual Residence","2040, NSW","Separated",457
"Persons Place of Usual Residence","2040, NSW","Married",7494
"Persons Place of Usual Residence","2040, NSW","Not applicable",4465
"Persons Place of Usual Residence","2040, NSW","Total",22242
"Persons Place of Usual Residence","2041, NSW","Never married",4939
"Persons Place of Usual Residence","2041, NSW","Widowed",399
"Persons Place of Usual Residence","2041, NSW","Divorced",1427
"Persons Place of Usual Residence","2041, NSW","Separated",309
"Persons Place of Usual Residence","2041, NSW","Married",5869
"Persons Place of Usual Residence","2041, NSW","Not applicable",2736
"Persons Place of Usual Residence","2041, NSW","Total",15687
"Persons Place of Usual Residence","2042, NSW","Never married",11145
"Persons Place of Usual Residence","2042, NSW","Widowed",322
"Persons Place of Usual Residence","2042, NSW","Divorced",1207
"Persons Place of Usual Residence","2042, NSW","Separated",344
"Persons Place of Usual Residence","2042, NSW","Married",4183
"Persons Place of Usual Residence","2042, NSW","Not applicable",1926
"Persons Place of Usual Residence","2042, NSW","Total",19128
"Persons Place of Usual Residence","2043, NSW","Never married",4467
"Persons Place of Usual Residence","2043, NSW","Widowed",115
"Persons Place of Usual Residence","2043, NSW","Divorced",501
"Persons Place of Usual Residence","2043, NSW","Separated",155
