Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by MSTP Registered Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","MSTP Registered Marital Status","Count",
"Persons Place of Usual Residence","2399, NSW","Never married",152
"Persons Place of Usual Residence","2399, NSW","Widowed",22
"Persons Place of Usual Residence","2399, NSW","Divorced",27
"Persons Place of Usual Residence","2399, NSW","Separated",23
"Persons Place of Usual Residence","2399, NSW","Married",246
"Persons Place of Usual Residence","2399, NSW","Not applicable",131
"Persons Place of Usual Residence","2399, NSW","Total",596
"Persons Place of Usual Residence","2400, NSW","Never married",3092
"Persons Place of Usual Residence","2400, NSW","Widowed",507
"Persons Place of Usual Residence","2400, NSW","Divorced",538
"Persons Place of Usual Residence","2400, NSW","Separated",342
"Persons Place of Usual Residence","2400, NSW","Married",3450
"Persons Place of Usual Residence","2400, NSW","Not applicable",2153
"Persons Place of Usual Residence","2400, NSW","Total",10083
"Persons Place of Usual Residence","2401, NSW","Never married",71
"Persons Place of Usual Residence","2401, NSW","Widowed",12
"Persons Place of Usual Residence","2401, NSW","Divorced",15
"Persons Place of Usual Residence","2401, NSW","Separated",10
"Persons Place of Usual Residence","2401, NSW","Married",144
"Persons Place of Usual Residence","2401, NSW","Not applicable",70
"Persons Place of Usual Residence","2401, NSW","Total",321
"Persons Place of Usual Residence","2402, NSW","Never married",426
"Persons Place of Usual Residence","2402, NSW","Widowed",137
"Persons Place of Usual Residence","2402, NSW","Divorced",135
"Persons Place of Usual Residence","2402, NSW","Separated",65
"Persons Place of Usual Residence","2402, NSW","Married",695
"Persons Place of Usual Residence","2402, NSW","Not applicable",327
"Persons Place of Usual Residence","2402, NSW","Total",1789
"Persons Place of Usual Residence","2403, NSW","Never married",166
"Persons Place of Usual Residence","2403, NSW","Widowed",25
"Persons Place of Usual Residence","2403, NSW","Divorced",47
"Persons Place of Usual Residence","2403, NSW","Separated",19
"Persons Place of Usual Residence","2403, NSW","Married",296
"Persons Place of Usual Residence","2403, NSW","Not applicable",164
"Persons Place of Usual Residence","2403, NSW","Total",720
"Persons Place of Usual Residence","2404, NSW","Never married",352
"Persons Place of Usual Residence","2404, NSW","Widowed",192
"Persons Place of Usual Residence","2404, NSW","Divorced",165
"Persons Place of Usual Residence","2404, NSW","Separated",59
"Persons Place of Usual Residence","2404, NSW","Married",815
"Persons Place of Usual Residence","2404, NSW","Not applicable",261
"Persons Place of Usual Residence","2404, NSW","Total",1837
"Persons Place of Usual Residence","2405, NSW","Never married",126
"Persons Place of Usual Residence","2405, NSW","Widowed",17
"Persons Place of Usual Residence","2405, NSW","Divorced",33
"Persons Place of Usual Residence","2405, NSW","Separated",23
"Persons Place of Usual Residence","2405, NSW","Married",213
"Persons Place of Usual Residence","2405, NSW","Not applicable",107
"Persons Place of Usual Residence","2405, NSW","Total",512
"Persons Place of Usual Residence","2408, NSW","Never married",81
"Persons Place of Usual Residence","2408, NSW","Widowed",8
"Persons Place of Usual Residence","2408, NSW","Divorced",12
"Persons Place of Usual Residence","2408, NSW","Separated",9
"Persons Place of Usual Residence","2408, NSW","Married",173
"Persons Place of Usual Residence","2408, NSW","Not applicable",86
"Persons Place of Usual Residence","2408, NSW","Total",372
"Persons Place of Usual Residence","2409, NSW","Never married",433
"Persons Place of Usual Residence","2409, NSW","Widowed",26
"Persons Place of Usual Residence","2409, NSW","Divorced",45
"Persons Place of Usual Residence","2409, NSW","Separated",15
"Persons Place of Usual Residence","2409, NSW","Married",248
"Persons Place of Usual Residence","2409, NSW","Not applicable",267
"Persons Place of Usual Residence","2409, NSW","Total",1027
"Persons Place of Usual Residence","2410, NSW","Never married",49
"Persons Place of Usual Residence","2410, NSW","Widowed",10
"Persons Place of Usual Residence","2410, NSW","Divorced",16
"Persons Place of Usual Residence","2410, NSW","Separated",5
"Persons Place of Usual Residence","2410, NSW","Married",132
"Persons Place of Usual Residence","2410, NSW","Not applicable",55
"Persons Place of Usual Residence","2410, NSW","Total",281
"Persons Place of Usual Residence","2411, NSW","Never married",25
"Persons Place of Usual Residence","2411, NSW","Widowed",6
"Persons Place of Usual Residence","2411, NSW","Divorced",7
"Persons Place of Usual Residence","2411, NSW","Separated",5
"Persons Place of Usual Residence","2411, NSW","Married",46
"Persons Place of Usual Residence","2411, NSW","Not applicable",25
"Persons Place of Usual Residence","2411, NSW","Total",121
"Persons Place of Usual Residence","2415, NSW","Never married",87
"Persons Place of Usual Residence","2415, NSW","Widowed",17
"Persons Place of Usual Residence","2415, NSW","Divorced",27
"Persons Place of Usual Residence","2415, NSW","Separated",6
"Persons Place of Usual Residence","2415, NSW","Married",183
"Persons Place of Usual Residence","2415, NSW","Not applicable",75
"Persons Place of Usual Residence","2415, NSW","Total",390
"Persons Place of Usual Residence","2420, NSW","Never married",921
"Persons Place of Usual Residence","2420, NSW","Widowed",260
"Persons Place of Usual Residence","2420, NSW","Divorced",354
"Persons Place of Usual Residence","2420, NSW","Separated",100
"Persons Place of Usual Residence","2420, NSW","Married",1703
"Persons Place of Usual Residence","2420, NSW","Not applicable",680
"Persons Place of Usual Residence","2420, NSW","Total",4022
"Persons Place of Usual Residence","2421, NSW","Never married",433
"Persons Place of Usual Residence","2421, NSW","Widowed",54
"Persons Place of Usual Residence","2421, NSW","Divorced",127
"Persons Place of Usual Residence","2421, NSW","Separated",35
"Persons Place of Usual Residence","2421, NSW","Married",812
"Persons Place of Usual Residence","2421, NSW","Not applicable",378
"Persons Place of Usual Residence","2421, NSW","Total",1831
"Persons Place of Usual Residence","2422, NSW","Never married",1150
"Persons Place of Usual Residence","2422, NSW","Widowed",381
"Persons Place of Usual Residence","2422, NSW","Divorced",468
"Persons Place of Usual Residence","2422, NSW","Separated",173
"Persons Place of Usual Residence","2422, NSW","Married",2314
"Persons Place of Usual Residence","2422, NSW","Not applicable",856
"Persons Place of Usual Residence","2422, NSW","Total",5334
"Persons Place of Usual Residence","2423, NSW","Never married",725
"Persons Place of Usual Residence","2423, NSW","Widowed",165
"Persons Place of Usual Residence","2423, NSW","Divorced",346
"Persons Place of Usual Residence","2423, NSW","Separated",131
"Persons Place of Usual Residence","2423, NSW","Married",1201
"Persons Place of Usual Residence","2423, NSW","Not applicable",400
"Persons Place of Usual Residence","2423, NSW","Total",2959
"Persons Place of Usual Residence","2424, NSW","Never married",100
"Persons Place of Usual Residence","2424, NSW","Widowed",15
"Persons Place of Usual Residence","2424, NSW","Divorced",42
"Persons Place of Usual Residence","2424, NSW","Separated",28
"Persons Place of Usual Residence","2424, NSW","Married",156
"Persons Place of Usual Residence","2424, NSW","Not applicable",77
"Persons Place of Usual Residence","2424, NSW","Total",429
"Persons Place of Usual Residence","2425, NSW","Never married",388
"Persons Place of Usual Residence","2425, NSW","Widowed",97
"Persons Place of Usual Residence","2425, NSW","Divorced",146
"Persons Place of Usual Residence","2425, NSW","Separated",64
"Persons Place of Usual Residence","2425, NSW","Married",738
"Persons Place of Usual Residence","2425, NSW","Not applicable",340
"Persons Place of Usual Residence","2425, NSW","Total",1782
"Persons Place of Usual Residence","2426, NSW","Never married",137
"Persons Place of Usual Residence","2426, NSW","Widowed",44
"Persons Place of Usual Residence","2426, NSW","Divorced",76
"Persons Place of Usual Residence","2426, NSW","Separated",32
"Persons Place of Usual Residence","2426, NSW","Married",302
"Persons Place of Usual Residence","2426, NSW","Not applicable",129
"Persons Place of Usual Residence","2426, NSW","Total",719
"Persons Place of Usual Residence","2427, NSW","Never married",521
"Persons Place of Usual Residence","2427, NSW","Widowed",239
"Persons Place of Usual Residence","2427, NSW","Divorced",302
"Persons Place of Usual Residence","2427, NSW","Separated",119
"Persons Place of Usual Residence","2427, NSW","Married",1640
"Persons Place of Usual Residence","2427, NSW","Not applicable",296
"Persons Place of Usual Residence","2427, NSW","Total",3113
"Persons Place of Usual Residence","2428, NSW","Never married",4994
"Persons Place of Usual Residence","2428, NSW","Widowed",2169
"Persons Place of Usual Residence","2428, NSW","Divorced",2641
"Persons Place of Usual Residence","2428, NSW","Separated",864
"Persons Place of Usual Residence","2428, NSW","Married",10095
"Persons Place of Usual Residence","2428, NSW","Not applicable",3253
"Persons Place of Usual Residence","2428, NSW","Total",24012
"Persons Place of Usual Residence","2429, NSW","Never married",2314
"Persons Place of Usual Residence","2429, NSW","Widowed",632
"Persons Place of Usual Residence","2429, NSW","Divorced",952
"Persons Place of Usual Residence","2429, NSW","Separated",326
"Persons Place of Usual Residence","2429, NSW","Married",3886
"Persons Place of Usual Residence","2429, NSW","Not applicable",1607
"Persons Place of Usual Residence","2429, NSW","Total",9715
"Persons Place of Usual Residence","2430, NSW","Never married",7951
"Persons Place of Usual Residence","2430, NSW","Widowed",2301
"Persons Place of Usual Residence","2430, NSW","Divorced",3157
"Persons Place of Usual Residence","2430, NSW","Separated",1153
"Persons Place of Usual Residence","2430, NSW","Married",13528
"Persons Place of Usual Residence","2430, NSW","Not applicable",5930
"Persons Place of Usual Residence","2430, NSW","Total",34017
"Persons Place of Usual Residence","2431, NSW","Never married",1030
"Persons Place of Usual Residence","2431, NSW","Widowed",439
"Persons Place of Usual Residence","2431, NSW","Divorced",513
"Persons Place of Usual Residence","2431, NSW","Separated",172
"Persons Place of Usual Residence","2431, NSW","Married",2294
"Persons Place of Usual Residence","2431, NSW","Not applicable",679
"Persons Place of Usual Residence","2431, NSW","Total",5133
"Persons Place of Usual Residence","2439, NSW","Never married",587
"Persons Place of Usual Residence","2439, NSW","Widowed",135
"Persons Place of Usual Residence","2439, NSW","Divorced",232
"Persons Place of Usual Residence","2439, NSW","Separated",94
"Persons Place of Usual Residence","2439, NSW","Married",1390
"Persons Place of Usual Residence","2439, NSW","Not applicable",498
"Persons Place of Usual Residence","2439, NSW","Total",2941
"Persons Place of Usual Residence","2440, NSW","Never married",6263
"Persons Place of Usual Residence","2440, NSW","Widowed",1354
"Persons Place of Usual Residence","2440, NSW","Divorced",1947
"Persons Place of Usual Residence","2440, NSW","Separated",827
"Persons Place of Usual Residence","2440, NSW","Married",7434
"Persons Place of Usual Residence","2440, NSW","Not applicable",3987
"Persons Place of Usual Residence","2440, NSW","Total",21816
"Persons Place of Usual Residence","2441, NSW","Never married",1071
"Persons Place of Usual Residence","2441, NSW","Widowed",177
"Persons Place of Usual Residence","2441, NSW","Divorced",460
"Persons Place of Usual Residence","2441, NSW","Separated",158
"Persons Place of Usual Residence","2441, NSW","Married",1729
"Persons Place of Usual Residence","2441, NSW","Not applicable",745
"Persons Place of Usual Residence","2441, NSW","Total",4349
"Persons Place of Usual Residence","2443, NSW","Never married",1659
"Persons Place of Usual Residence","2443, NSW","Widowed",864
"Persons Place of Usual Residence","2443, NSW","Divorced",1015
"Persons Place of Usual Residence","2443, NSW","Separated",325
"Persons Place of Usual Residence","2443, NSW","Married",4023
"Persons Place of Usual Residence","2443, NSW","Not applicable",1002
"Persons Place of Usual Residence","2443, NSW","Total",8892
"Persons Place of Usual Residence","2444, NSW","Never married",10323
"Persons Place of Usual Residence","2444, NSW","Widowed",3236
"Persons Place of Usual Residence","2444, NSW","Divorced",4581
"Persons Place of Usual Residence","2444, NSW","Separated",1537
"Persons Place of Usual Residence","2444, NSW","Married",18914
"Persons Place of Usual Residence","2444, NSW","Not applicable",7696
"Persons Place of Usual Residence","2444, NSW","Total",46289
"Persons Place of Usual Residence","2445, NSW","Never married",1234
"Persons Place of Usual Residence","2445, NSW","Widowed",308
"Persons Place of Usual Residence","2445, NSW","Divorced",532
"Persons Place of Usual Residence","2445, NSW","Separated",176
"Persons Place of Usual Residence","2445, NSW","Married",3102
"Persons Place of Usual Residence","2445, NSW","Not applicable",1115
"Persons Place of Usual Residence","2445, NSW","Total",6464
"Persons Place of Usual Residence","2446, NSW","Never married",3115
"Persons Place of Usual Residence","2446, NSW","Widowed",756
"Persons Place of Usual Residence","2446, NSW","Divorced",1099
"Persons Place of Usual Residence","2446, NSW","Separated",432
"Persons Place of Usual Residence","2446, NSW","Married",5319
"Persons Place of Usual Residence","2446, NSW","Not applicable",2612
"Persons Place of Usual Residence","2446, NSW","Total",13330
"Persons Place of Usual Residence","2447, NSW","Never married",1670
"Persons Place of Usual Residence","2447, NSW","Widowed",445
"Persons Place of Usual Residence","2447, NSW","Divorced",631
"Persons Place of Usual Residence","2447, NSW","Separated",233
"Persons Place of Usual Residence","2447, NSW","Married",2921
"Persons Place of Usual Residence","2447, NSW","Not applicable",1280
"Persons Place of Usual Residence","2447, NSW","Total",7180
"Persons Place of Usual Residence","2448, NSW","Never married",2233
"Persons Place of Usual Residence","2448, NSW","Widowed",738
"Persons Place of Usual Residence","2448, NSW","Divorced",1052
"Persons Place of Usual Residence","2448, NSW","Separated",342
"Persons Place of Usual Residence","2448, NSW","Married",3322
"Persons Place of Usual Residence","2448, NSW","Not applicable",1309
"Persons Place of Usual Residence","2448, NSW","Total",9002
"Persons Place of Usual Residence","2449, NSW","Never married",649
"Persons Place of Usual Residence","2449, NSW","Widowed",122
"Persons Place of Usual Residence","2449, NSW","Divorced",265
"Persons Place of Usual Residence","2449, NSW","Separated",77
"Persons Place of Usual Residence","2449, NSW","Married",662
"Persons Place of Usual Residence","2449, NSW","Not applicable",419
"Persons Place of Usual Residence","2449, NSW","Total",2188
"Persons Place of Usual Residence","2450, NSW","Never married",11244
"Persons Place of Usual Residence","2450, NSW","Widowed",2437
"Persons Place of Usual Residence","2450, NSW","Divorced",4111
"Persons Place of Usual Residence","2450, NSW","Separated",1487
"Persons Place of Usual Residence","2450, NSW","Married",16615
"Persons Place of Usual Residence","2450, NSW","Not applicable",8007
"Persons Place of Usual Residence","2450, NSW","Total",43896
"Persons Place of Usual Residence","2452, NSW","Never married",3810
"Persons Place of Usual Residence","2452, NSW","Widowed",898
"Persons Place of Usual Residence","2452, NSW","Divorced",1485
"Persons Place of Usual Residence","2452, NSW","Separated",535
"Persons Place of Usual Residence","2452, NSW","Married",5569
"Persons Place of Usual Residence","2452, NSW","Not applicable",2829
"Persons Place of Usual Residence","2452, NSW","Total",15119
"Persons Place of Usual Residence","2453, NSW","Never married",757
"Persons Place of Usual Residence","2453, NSW","Widowed",178
"Persons Place of Usual Residence","2453, NSW","Divorced",299
"Persons Place of Usual Residence","2453, NSW","Separated",67
"Persons Place of Usual Residence","2453, NSW","Married",1050
"Persons Place of Usual Residence","2453, NSW","Not applicable",416
"Persons Place of Usual Residence","2453, NSW","Total",2771
"Persons Place of Usual Residence","2454, NSW","Never married",2000
"Persons Place of Usual Residence","2454, NSW","Widowed",357
"Persons Place of Usual Residence","2454, NSW","Divorced",820
"Persons Place of Usual Residence","2454, NSW","Separated",227
"Persons Place of Usual Residence","2454, NSW","Married",2661
"Persons Place of Usual Residence","2454, NSW","Not applicable",1510
"Persons Place of Usual Residence","2454, NSW","Total",7571
"Persons Place of Usual Residence","2455, NSW","Never married",704
"Persons Place of Usual Residence","2455, NSW","Widowed",225
"Persons Place of Usual Residence","2455, NSW","Divorced",352
"Persons Place of Usual Residence","2455, NSW","Separated",125
"Persons Place of Usual Residence","2455, NSW","Married",1206
"Persons Place of Usual Residence","2455, NSW","Not applicable",393
"Persons Place of Usual Residence","2455, NSW","Total",3001
"Persons Place of Usual Residence","2456, NSW","Never married",3510
"Persons Place of Usual Residence","2456, NSW","Widowed",731
"Persons Place of Usual Residence","2456, NSW","Divorced",1291
"Persons Place of Usual Residence","2456, NSW","Separated",511
"Persons Place of Usual Residence","2456, NSW","Married",6003
"Persons Place of Usual Residence","2456, NSW","Not applicable",2708
"Persons Place of Usual Residence","2456, NSW","Total",14749
"Persons Place of Usual Residence","2460, NSW","Never married",7678
"Persons Place of Usual Residence","2460, NSW","Widowed",1828
"Persons Place of Usual Residence","2460, NSW","Divorced",2579
"Persons Place of Usual Residence","2460, NSW","Separated",1065
"Persons Place of Usual Residence","2460, NSW","Married",10829
"Persons Place of Usual Residence","2460, NSW","Not applicable",5239
"Persons Place of Usual Residence","2460, NSW","Total",29212
"Persons Place of Usual Residence","2462, NSW","Never married",579
"Persons Place of Usual Residence","2462, NSW","Widowed",140
"Persons Place of Usual Residence","2462, NSW","Divorced",302
"Persons Place of Usual Residence","2462, NSW","Separated",68
"Persons Place of Usual Residence","2462, NSW","Married",986
"Persons Place of Usual Residence","2462, NSW","Not applicable",370
"Persons Place of Usual Residence","2462, NSW","Total",2443
"Persons Place of Usual Residence","2463, NSW","Never married",1678
"Persons Place of Usual Residence","2463, NSW","Widowed",499
"Persons Place of Usual Residence","2463, NSW","Divorced",652
"Persons Place of Usual Residence","2463, NSW","Separated",219
"Persons Place of Usual Residence","2463, NSW","Married",3329
"Persons Place of Usual Residence","2463, NSW","Not applicable",1161
"Persons Place of Usual Residence","2463, NSW","Total",7541
"Persons Place of Usual Residence","2464, NSW","Never married",1461
"Persons Place of Usual Residence","2464, NSW","Widowed",582
"Persons Place of Usual Residence","2464, NSW","Divorced",719
"Persons Place of Usual Residence","2464, NSW","Separated",196
"Persons Place of Usual Residence","2464, NSW","Married",2923
"Persons Place of Usual Residence","2464, NSW","Not applicable",863
"Persons Place of Usual Residence","2464, NSW","Total",6740
"Persons Place of Usual Residence","2465, NSW","Never married",98
"Persons Place of Usual Residence","2465, NSW","Widowed",16
"Persons Place of Usual Residence","2465, NSW","Divorced",27
"Persons Place of Usual Residence","2465, NSW","Separated",9
"Persons Place of Usual Residence","2465, NSW","Married",97
"Persons Place of Usual Residence","2465, NSW","Not applicable",39
"Persons Place of Usual Residence","2465, NSW","Total",292
"Persons Place of Usual Residence","2466, NSW","Never married",297
"Persons Place of Usual Residence","2466, NSW","Widowed",156
"Persons Place of Usual Residence","2466, NSW","Divorced",225
"Persons Place of Usual Residence","2466, NSW","Separated",70
"Persons Place of Usual Residence","2466, NSW","Married",780
"Persons Place of Usual Residence","2466, NSW","Not applicable",189
"Persons Place of Usual Residence","2466, NSW","Total",1725
"Persons Place of Usual Residence","2469, NSW","Never married",1083
"Persons Place of Usual Residence","2469, NSW","Widowed",206
"Persons Place of Usual Residence","2469, NSW","Divorced",470
"Persons Place of Usual Residence","2469, NSW","Separated",172
"Persons Place of Usual Residence","2469, NSW","Married",1542
"Persons Place of Usual Residence","2469, NSW","Not applicable",543
"Persons Place of Usual Residence","2469, NSW","Total",4009
"Persons Place of Usual Residence","2470, NSW","Never married",4028
"Persons Place of Usual Residence","2470, NSW","Widowed",969
"Persons Place of Usual Residence","2470, NSW","Divorced",1238
"Persons Place of Usual Residence","2470, NSW","Separated",468
"Persons Place of Usual Residence","2470, NSW","Married",5449
"Persons Place of Usual Residence","2470, NSW","Not applicable",3067
"Persons Place of Usual Residence","2470, NSW","Total",15225
"Persons Place of Usual Residence","2471, NSW","Never married",661
"Persons Place of Usual Residence","2471, NSW","Widowed",117
"Persons Place of Usual Residence","2471, NSW","Divorced",228
"Persons Place of Usual Residence","2471, NSW","Separated",63
"Persons Place of Usual Residence","2471, NSW","Married",942
"Persons Place of Usual Residence","2471, NSW","Not applicable",509
"Persons Place of Usual Residence","2471, NSW","Total",2522
"Persons Place of Usual Residence","2472, NSW","Never married",527
"Persons Place of Usual Residence","2472, NSW","Widowed",64
"Persons Place of Usual Residence","2472, NSW","Divorced",181
"Persons Place of Usual Residence","2472, NSW","Separated",74
"Persons Place of Usual Residence","2472, NSW","Married",665
"Persons Place of Usual Residence","2472, NSW","Not applicable",342
"Persons Place of Usual Residence","2472, NSW","Total",1855
"Persons Place of Usual Residence","2473, NSW","Never married",726
"Persons Place of Usual Residence","2473, NSW","Widowed",238
"Persons Place of Usual Residence","2473, NSW","Divorced",370
"Persons Place of Usual Residence","2473, NSW","Separated",116
"Persons Place of Usual Residence","2473, NSW","Married",1203
"Persons Place of Usual Residence","2473, NSW","Not applicable",450
"Persons Place of Usual Residence","2473, NSW","Total",3092
"Persons Place of Usual Residence","2474, NSW","Never married",1649
"Persons Place of Usual Residence","2474, NSW","Widowed",405
"Persons Place of Usual Residence","2474, NSW","Divorced",652
"Persons Place of Usual Residence","2474, NSW","Separated",229
"Persons Place of Usual Residence","2474, NSW","Married",2360
"Persons Place of Usual Residence","2474, NSW","Not applicable",1037
"Persons Place of Usual Residence","2474, NSW","Total",6332
"Persons Place of Usual Residence","2475, NSW","Never married",91
"Persons Place of Usual Residence","2475, NSW","Widowed",23
"Persons Place of Usual Residence","2475, NSW","Divorced",36
"Persons Place of Usual Residence","2475, NSW","Separated",18
"Persons Place of Usual Residence","2475, NSW","Married",150
"Persons Place of Usual Residence","2475, NSW","Not applicable",68
"Persons Place of Usual Residence","2475, NSW","Total",386
"Persons Place of Usual Residence","2476, NSW","Never married",181
"Persons Place of Usual Residence","2476, NSW","Widowed",40
"Persons Place of Usual Residence","2476, NSW","Divorced",65
"Persons Place of Usual Residence","2476, NSW","Separated",36
"Persons Place of Usual Residence","2476, NSW","Married",334
"Persons Place of Usual Residence","2476, NSW","Not applicable",125
"Persons Place of Usual Residence","2476, NSW","Total",780
"Persons Place of Usual Residence","2477, NSW","Never married",2773
"Persons Place of Usual Residence","2477, NSW","Widowed",764
"Persons Place of Usual Residence","2477, NSW","Divorced",1015
"Persons Place of Usual Residence","2477, NSW","Separated",275
"Persons Place of Usual Residence","2477, NSW","Married",5146
"Persons Place of Usual Residence","2477, NSW","Not applicable",2226
"Persons Place of Usual Residence","2477, NSW","Total",12207
"Persons Place of Usual Residence","2478, NSW","Never married",6886
"Persons Place of Usual Residence","2478, NSW","Widowed",1957
"Persons Place of Usual Residence","2478, NSW","Divorced",2720
"Persons Place of Usual Residence","2478, NSW","Separated",875
"Persons Place of Usual Residence","2478, NSW","Married",11360
"Persons Place of Usual Residence","2478, NSW","Not applicable",4512
"Persons Place of Usual Residence","2478, NSW","Total",28316
"Persons Place of Usual Residence","2479, NSW","Never married",1261
"Persons Place of Usual Residence","2479, NSW","Widowed",192
"Persons Place of Usual Residence","2479, NSW","Divorced",434
"Persons Place of Usual Residence","2479, NSW","Separated",114
"Persons Place of Usual Residence","2479, NSW","Married",1858
"Persons Place of Usual Residence","2479, NSW","Not applicable",874
"Persons Place of Usual Residence","2479, NSW","Total",4735
"Persons Place of Usual Residence","2480, NSW","Never married",13790
"Persons Place of Usual Residence","2480, NSW","Widowed",2063
"Persons Place of Usual Residence","2480, NSW","Divorced",4264
"Persons Place of Usual Residence","2480, NSW","Separated",1433
"Persons Place of Usual Residence","2480, NSW","Married",15051
"Persons Place of Usual Residence","2480, NSW","Not applicable",7996
"Persons Place of Usual Residence","2480, NSW","Total",44596
"Persons Place of Usual Residence","2481, NSW","Never married",4492
"Persons Place of Usual Residence","2481, NSW","Widowed",440
"Persons Place of Usual Residence","2481, NSW","Divorced",1388
"Persons Place of Usual Residence","2481, NSW","Separated",281
"Persons Place of Usual Residence","2481, NSW","Married",3437
"Persons Place of Usual Residence","2481, NSW","Not applicable",1730
"Persons Place of Usual Residence","2481, NSW","Total",11770
"Persons Place of Usual Residence","2482, NSW","Never married",1949
"Persons Place of Usual Residence","2482, NSW","Widowed",308
"Persons Place of Usual Residence","2482, NSW","Divorced",773
"Persons Place of Usual Residence","2482, NSW","Separated",237
"Persons Place of Usual Residence","2482, NSW","Married",1864
"Persons Place of Usual Residence","2482, NSW","Not applicable",1149
"Persons Place of Usual Residence","2482, NSW","Total",6276
"Persons Place of Usual Residence","2483, NSW","Never married",3336
"Persons Place of Usual Residence","2483, NSW","Widowed",452
"Persons Place of Usual Residence","2483, NSW","Divorced",1351
"Persons Place of Usual Residence","2483, NSW","Separated",395
"Persons Place of Usual Residence","2483, NSW","Married",3273
"Persons Place of Usual Residence","2483, NSW","Not applicable",1805
"Persons Place of Usual Residence","2483, NSW","Total",10604
"Persons Place of Usual Residence","2484, NSW","Never married",4974
"Persons Place of Usual Residence","2484, NSW","Widowed",952
"Persons Place of Usual Residence","2484, NSW","Divorced",1908
"Persons Place of Usual Residence","2484, NSW","Separated",637
"Persons Place of Usual Residence","2484, NSW","Married",6988
"Persons Place of Usual Residence","2484, NSW","Not applicable",3416
"Persons Place of Usual Residence","2484, NSW","Total",18874
"Persons Place of Usual Residence","2485, NSW","Never married",3830
"Persons Place of Usual Residence","2485, NSW","Widowed",1368
"Persons Place of Usual Residence","2485, NSW","Divorced",1860
"Persons Place of Usual Residence","2485, NSW","Separated",525
"Persons Place of Usual Residence","2485, NSW","Married",5090
"Persons Place of Usual Residence","2485, NSW","Not applicable",1703
"Persons Place of Usual Residence","2485, NSW","Total",14375
"Persons Place of Usual Residence","2486, NSW","Never married",7380
"Persons Place of Usual Residence","2486, NSW","Widowed",2490
"Persons Place of Usual Residence","2486, NSW","Divorced",3017
"Persons Place of Usual Residence","2486, NSW","Separated",925
"Persons Place of Usual Residence","2486, NSW","Married",12777
"Persons Place of Usual Residence","2486, NSW","Not applicable",5015
"Persons Place of Usual Residence","2486, NSW","Total",31594
"Persons Place of Usual Residence","2487, NSW","Never married",3153
"Persons Place of Usual Residence","2487, NSW","Widowed",739
"Persons Place of Usual Residence","2487, NSW","Divorced",1295
"Persons Place of Usual Residence","2487, NSW","Separated",394
"Persons Place of Usual Residence","2487, NSW","Married",5392
"Persons Place of Usual Residence","2487, NSW","Not applicable",2459
"Persons Place of Usual Residence","2487, NSW","Total",13430
"Persons Place of Usual Residence","2488, NSW","Never married",902
"Persons Place of Usual Residence","2488, NSW","Widowed",112
"Persons Place of Usual Residence","2488, NSW","Divorced",328
"Persons Place of Usual Residence","2488, NSW","Separated",112
"Persons Place of Usual Residence","2488, NSW","Married",1144
"Persons Place of Usual Residence","2488, NSW","Not applicable",663
"Persons Place of Usual Residence","2488, NSW","Total",3262
"Persons Place of Usual Residence","2489, NSW","Never married",1440
"Persons Place of Usual Residence","2489, NSW","Widowed",373
"Persons Place of Usual Residence","2489, NSW","Divorced",600
"Persons Place of Usual Residence","2489, NSW","Separated",173
"Persons Place of Usual Residence","2489, NSW","Married",3117
"Persons Place of Usual Residence","2489, NSW","Not applicable",1650
"Persons Place of Usual Residence","2489, NSW","Total",7353
"Persons Place of Usual Residence","2490, NSW","Never married",167
"Persons Place of Usual Residence","2490, NSW","Widowed",16
"Persons Place of Usual Residence","2490, NSW","Divorced",78
"Persons Place of Usual Residence","2490, NSW","Separated",15
"Persons Place of Usual Residence","2490, NSW","Married",262
"Persons Place of Usual Residence","2490, NSW","Not applicable",118
"Persons Place of Usual Residence","2490, NSW","Total",667
"Persons Place of Usual Residence","2500, NSW","Never married",16222
"Persons Place of Usual Residence","2500, NSW","Widowed",1788
"Persons Place of Usual Residence","2500, NSW","Divorced",2910
"Persons Place of Usual Residence","2500, NSW","Separated",927
"Persons Place of Usual Residence","2500, NSW","Married",13374
"Persons Place of Usual Residence","2500, NSW","Not applicable",5287
"Persons Place of Usual Residence","2500, NSW","Total",40512
"Persons Place of Usual Residence","2502, NSW","Never married",3589
"Persons Place of Usual Residence","2502, NSW","Widowed",867
"Persons Place of Usual Residence","2502, NSW","Divorced",1017
"Persons Place of Usual Residence","2502, NSW","Separated",382
"Persons Place of Usual Residence","2502, NSW","Married",4176
"Persons Place of Usual Residence","2502, NSW","Not applicable",2404
"Persons Place of Usual Residence","2502, NSW","Total",12433
"Persons Place of Usual Residence","2505, NSW","Never married",1558
"Persons Place of Usual Residence","2505, NSW","Widowed",375
"Persons Place of Usual Residence","2505, NSW","Divorced",411
"Persons Place of Usual Residence","2505, NSW","Separated",139
"Persons Place of Usual Residence","2505, NSW","Married",1694
"Persons Place of Usual Residence","2505, NSW","Not applicable",830
"Persons Place of Usual Residence","2505, NSW","Total",5008
"Persons Place of Usual Residence","2506, NSW","Never married",2306
"Persons Place of Usual Residence","2506, NSW","Widowed",459
"Persons Place of Usual Residence","2506, NSW","Divorced",592
