Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2015, NSW","5-9 years",343
"Persons Place of Usual Residence","2015, NSW","10-14 years",219
"Persons Place of Usual Residence","2015, NSW","15-19 years",220
"Persons Place of Usual Residence","2015, NSW","20-24 years",746
"Persons Place of Usual Residence","2015, NSW","25-29 years",1662
"Persons Place of Usual Residence","2015, NSW","30-34 years",1633
"Persons Place of Usual Residence","2015, NSW","35-39 years",1150
"Persons Place of Usual Residence","2015, NSW","40-44 years",896
"Persons Place of Usual Residence","2015, NSW","45-49 years",712
"Persons Place of Usual Residence","2015, NSW","50-54 years",531
"Persons Place of Usual Residence","2015, NSW","55-59 years",424
"Persons Place of Usual Residence","2015, NSW","60-64 years",316
"Persons Place of Usual Residence","2015, NSW","65-69 years",209
"Persons Place of Usual Residence","2015, NSW","70-74 years",143
"Persons Place of Usual Residence","2015, NSW","75-79 years",70
"Persons Place of Usual Residence","2015, NSW","80-84 years",69
"Persons Place of Usual Residence","2015, NSW","85-89 years",27
"Persons Place of Usual Residence","2015, NSW","90-94 years",10
"Persons Place of Usual Residence","2015, NSW","95-99 years",4
"Persons Place of Usual Residence","2015, NSW","100 years and over",0
"Persons Place of Usual Residence","2015, NSW","Total",9922
"Persons Place of Usual Residence","2016, NSW","0-4 years",467
"Persons Place of Usual Residence","2016, NSW","5-9 years",257
"Persons Place of Usual Residence","2016, NSW","10-14 years",194
"Persons Place of Usual Residence","2016, NSW","15-19 years",272
"Persons Place of Usual Residence","2016, NSW","20-24 years",1172
"Persons Place of Usual Residence","2016, NSW","25-29 years",2182
"Persons Place of Usual Residence","2016, NSW","30-34 years",1877
"Persons Place of Usual Residence","2016, NSW","35-39 years",1200
"Persons Place of Usual Residence","2016, NSW","40-44 years",977
"Persons Place of Usual Residence","2016, NSW","45-49 years",895
"Persons Place of Usual Residence","2016, NSW","50-54 years",809
"Persons Place of Usual Residence","2016, NSW","55-59 years",716
"Persons Place of Usual Residence","2016, NSW","60-64 years",588
"Persons Place of Usual Residence","2016, NSW","65-69 years",520
"Persons Place of Usual Residence","2016, NSW","70-74 years",341
"Persons Place of Usual Residence","2016, NSW","75-79 years",358
"Persons Place of Usual Residence","2016, NSW","80-84 years",218
"Persons Place of Usual Residence","2016, NSW","85-89 years",137
"Persons Place of Usual Residence","2016, NSW","90-94 years",33
"Persons Place of Usual Residence","2016, NSW","95-99 years",3
"Persons Place of Usual Residence","2016, NSW","100 years and over",0
"Persons Place of Usual Residence","2016, NSW","Total",13213
"Persons Place of Usual Residence","2017, NSW","0-4 years",1034
"Persons Place of Usual Residence","2017, NSW","5-9 years",483
"Persons Place of Usual Residence","2017, NSW","10-14 years",312
"Persons Place of Usual Residence","2017, NSW","15-19 years",1507
"Persons Place of Usual Residence","2017, NSW","20-24 years",3853
"Persons Place of Usual Residence","2017, NSW","25-29 years",4707
"Persons Place of Usual Residence","2017, NSW","30-34 years",3862
"Persons Place of Usual Residence","2017, NSW","35-39 years",2170
"Persons Place of Usual Residence","2017, NSW","40-44 years",1302
"Persons Place of Usual Residence","2017, NSW","45-49 years",1058
"Persons Place of Usual Residence","2017, NSW","50-54 years",905
"Persons Place of Usual Residence","2017, NSW","55-59 years",849
"Persons Place of Usual Residence","2017, NSW","60-64 years",699
"Persons Place of Usual Residence","2017, NSW","65-69 years",683
"Persons Place of Usual Residence","2017, NSW","70-74 years",483
"Persons Place of Usual Residence","2017, NSW","75-79 years",355
"Persons Place of Usual Residence","2017, NSW","80-84 years",278
"Persons Place of Usual Residence","2017, NSW","85-89 years",106
"Persons Place of Usual Residence","2017, NSW","90-94 years",38
"Persons Place of Usual Residence","2017, NSW","95-99 years",9
"Persons Place of Usual Residence","2017, NSW","100 years and over",0
"Persons Place of Usual Residence","2017, NSW","Total",24694
"Persons Place of Usual Residence","2018, NSW","0-4 years",998
"Persons Place of Usual Residence","2018, NSW","5-9 years",827
"Persons Place of Usual Residence","2018, NSW","10-14 years",770
"Persons Place of Usual Residence","2018, NSW","15-19 years",983
"Persons Place of Usual Residence","2018, NSW","20-24 years",1587
"Persons Place of Usual Residence","2018, NSW","25-29 years",1748
"Persons Place of Usual Residence","2018, NSW","30-34 years",1758
"Persons Place of Usual Residence","2018, NSW","35-39 years",1287
"Persons Place of Usual Residence","2018, NSW","40-44 years",1165
"Persons Place of Usual Residence","2018, NSW","45-49 years",1075
"Persons Place of Usual Residence","2018, NSW","50-54 years",952
"Persons Place of Usual Residence","2018, NSW","55-59 years",794
"Persons Place of Usual Residence","2018, NSW","60-64 years",730
"Persons Place of Usual Residence","2018, NSW","65-69 years",675
"Persons Place of Usual Residence","2018, NSW","70-74 years",565
"Persons Place of Usual Residence","2018, NSW","75-79 years",504
"Persons Place of Usual Residence","2018, NSW","80-84 years",334
"Persons Place of Usual Residence","2018, NSW","85-89 years",198
"Persons Place of Usual Residence","2018, NSW","90-94 years",69
"Persons Place of Usual Residence","2018, NSW","95-99 years",12
"Persons Place of Usual Residence","2018, NSW","100 years and over",0
"Persons Place of Usual Residence","2018, NSW","Total",17028
"Persons Place of Usual Residence","2019, NSW","0-4 years",807
"Persons Place of Usual Residence","2019, NSW","5-9 years",764
"Persons Place of Usual Residence","2019, NSW","10-14 years",659
"Persons Place of Usual Residence","2019, NSW","15-19 years",552
"Persons Place of Usual Residence","2019, NSW","20-24 years",696
"Persons Place of Usual Residence","2019, NSW","25-29 years",762
"Persons Place of Usual Residence","2019, NSW","30-34 years",854
"Persons Place of Usual Residence","2019, NSW","35-39 years",897
"Persons Place of Usual Residence","2019, NSW","40-44 years",956
"Persons Place of Usual Residence","2019, NSW","45-49 years",793
"Persons Place of Usual Residence","2019, NSW","50-54 years",755
"Persons Place of Usual Residence","2019, NSW","55-59 years",568
"Persons Place of Usual Residence","2019, NSW","60-64 years",472
"Persons Place of Usual Residence","2019, NSW","65-69 years",390
"Persons Place of Usual Residence","2019, NSW","70-74 years",304
"Persons Place of Usual Residence","2019, NSW","75-79 years",242
"Persons Place of Usual Residence","2019, NSW","80-84 years",167
"Persons Place of Usual Residence","2019, NSW","85-89 years",113
"Persons Place of Usual Residence","2019, NSW","90-94 years",61
"Persons Place of Usual Residence","2019, NSW","95-99 years",7
"Persons Place of Usual Residence","2019, NSW","100 years and over",0
