Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"POA (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","POA (UR)","AGE5P - Age in Five Year Groups","Count",
"Persons Place of Usual Residence","2427, NSW","15-19 years",116
"Persons Place of Usual Residence","2427, NSW","20-24 years",75
"Persons Place of Usual Residence","2427, NSW","25-29 years",66
"Persons Place of Usual Residence","2427, NSW","30-34 years",70
"Persons Place of Usual Residence","2427, NSW","35-39 years",106
"Persons Place of Usual Residence","2427, NSW","40-44 years",138
"Persons Place of Usual Residence","2427, NSW","45-49 years",131
"Persons Place of Usual Residence","2427, NSW","50-54 years",188
"Persons Place of Usual Residence","2427, NSW","55-59 years",250
"Persons Place of Usual Residence","2427, NSW","60-64 years",375
"Persons Place of Usual Residence","2427, NSW","65-69 years",467
"Persons Place of Usual Residence","2427, NSW","70-74 years",373
"Persons Place of Usual Residence","2427, NSW","75-79 years",214
"Persons Place of Usual Residence","2427, NSW","80-84 years",140
"Persons Place of Usual Residence","2427, NSW","85-89 years",71
"Persons Place of Usual Residence","2427, NSW","90-94 years",21
"Persons Place of Usual Residence","2427, NSW","95-99 years",9
"Persons Place of Usual Residence","2427, NSW","100 years and over",0
"Persons Place of Usual Residence","2427, NSW","Total",3113
"Persons Place of Usual Residence","2428, NSW","0-4 years",974
"Persons Place of Usual Residence","2428, NSW","5-9 years",1139
"Persons Place of Usual Residence","2428, NSW","10-14 years",1140
"Persons Place of Usual Residence","2428, NSW","15-19 years",1156
"Persons Place of Usual Residence","2428, NSW","20-24 years",772
"Persons Place of Usual Residence","2428, NSW","25-29 years",796
"Persons Place of Usual Residence","2428, NSW","30-34 years",859
"Persons Place of Usual Residence","2428, NSW","35-39 years",942
"Persons Place of Usual Residence","2428, NSW","40-44 years",1154
"Persons Place of Usual Residence","2428, NSW","45-49 years",1244
"Persons Place of Usual Residence","2428, NSW","50-54 years",1444
"Persons Place of Usual Residence","2428, NSW","55-59 years",1751
"Persons Place of Usual Residence","2428, NSW","60-64 years",2007
"Persons Place of Usual Residence","2428, NSW","65-69 years",2375
"Persons Place of Usual Residence","2428, NSW","70-74 years",2135
"Persons Place of Usual Residence","2428, NSW","75-79 years",1649
"Persons Place of Usual Residence","2428, NSW","80-84 years",1188
"Persons Place of Usual Residence","2428, NSW","85-89 years",827
"Persons Place of Usual Residence","2428, NSW","90-94 years",367
"Persons Place of Usual Residence","2428, NSW","95-99 years",91
"Persons Place of Usual Residence","2428, NSW","100 years and over",4
"Persons Place of Usual Residence","2428, NSW","Total",24012
"Persons Place of Usual Residence","2429, NSW","0-4 years",453
"Persons Place of Usual Residence","2429, NSW","5-9 years",614
"Persons Place of Usual Residence","2429, NSW","10-14 years",540
"Persons Place of Usual Residence","2429, NSW","15-19 years",583
"Persons Place of Usual Residence","2429, NSW","20-24 years",395
"Persons Place of Usual Residence","2429, NSW","25-29 years",407
"Persons Place of Usual Residence","2429, NSW","30-34 years",379
"Persons Place of Usual Residence","2429, NSW","35-39 years",373
"Persons Place of Usual Residence","2429, NSW","40-44 years",495
"Persons Place of Usual Residence","2429, NSW","45-49 years",623
"Persons Place of Usual Residence","2429, NSW","50-54 years",786
"Persons Place of Usual Residence","2429, NSW","55-59 years",842
"Persons Place of Usual Residence","2429, NSW","60-64 years",846
"Persons Place of Usual Residence","2429, NSW","65-69 years",796
"Persons Place of Usual Residence","2429, NSW","70-74 years",635
"Persons Place of Usual Residence","2429, NSW","75-79 years",389
"Persons Place of Usual Residence","2429, NSW","80-84 years",285
"Persons Place of Usual Residence","2429, NSW","85-89 years",184
"Persons Place of Usual Residence","2429, NSW","90-94 years",66
"Persons Place of Usual Residence","2429, NSW","95-99 years",25
"Persons Place of Usual Residence","2429, NSW","100 years and over",0
"Persons Place of Usual Residence","2429, NSW","Total",9715
"Persons Place of Usual Residence","2430, NSW","0-4 years",1792
"Persons Place of Usual Residence","2430, NSW","5-9 years",2092
"Persons Place of Usual Residence","2430, NSW","10-14 years",2043
"Persons Place of Usual Residence","2430, NSW","15-19 years",1950
"Persons Place of Usual Residence","2430, NSW","20-24 years",1521
"Persons Place of Usual Residence","2430, NSW","25-29 years",1420
"Persons Place of Usual Residence","2430, NSW","30-34 years",1460
"Persons Place of Usual Residence","2430, NSW","35-39 years",1457
"Persons Place of Usual Residence","2430, NSW","40-44 years",1859
"Persons Place of Usual Residence","2430, NSW","45-49 years",2040
"Persons Place of Usual Residence","2430, NSW","50-54 years",2185
"Persons Place of Usual Residence","2430, NSW","55-59 years",2580
"Persons Place of Usual Residence","2430, NSW","60-64 years",2641
"Persons Place of Usual Residence","2430, NSW","65-69 years",2840
"Persons Place of Usual Residence","2430, NSW","70-74 years",2232
"Persons Place of Usual Residence","2430, NSW","75-79 years",1660
"Persons Place of Usual Residence","2430, NSW","80-84 years",1079
"Persons Place of Usual Residence","2430, NSW","85-89 years",777
"Persons Place of Usual Residence","2430, NSW","90-94 years",307
"Persons Place of Usual Residence","2430, NSW","95-99 years",80
"Persons Place of Usual Residence","2430, NSW","100 years and over",10
"Persons Place of Usual Residence","2430, NSW","Total",34017
"Persons Place of Usual Residence","2431, NSW","0-4 years",211
"Persons Place of Usual Residence","2431, NSW","5-9 years",236
"Persons Place of Usual Residence","2431, NSW","10-14 years",232
"Persons Place of Usual Residence","2431, NSW","15-19 years",215
"Persons Place of Usual Residence","2431, NSW","20-24 years",167
"Persons Place of Usual Residence","2431, NSW","25-29 years",174
"Persons Place of Usual Residence","2431, NSW","30-34 years",160
"Persons Place of Usual Residence","2431, NSW","35-39 years",203
"Persons Place of Usual Residence","2431, NSW","40-44 years",254
"Persons Place of Usual Residence","2431, NSW","45-49 years",262
"Persons Place of Usual Residence","2431, NSW","50-54 years",327
"Persons Place of Usual Residence","2431, NSW","55-59 years",382
"Persons Place of Usual Residence","2431, NSW","60-64 years",486
"Persons Place of Usual Residence","2431, NSW","65-69 years",598
"Persons Place of Usual Residence","2431, NSW","70-74 years",460
"Persons Place of Usual Residence","2431, NSW","75-79 years",347
"Persons Place of Usual Residence","2431, NSW","80-84 years",218
"Persons Place of Usual Residence","2431, NSW","85-89 years",124
"Persons Place of Usual Residence","2431, NSW","90-94 years",72
"Persons Place of Usual Residence","2431, NSW","95-99 years",11
"Persons Place of Usual Residence","2431, NSW","100 years and over",0
"Persons Place of Usual Residence","2431, NSW","Total",5133
"Persons Place of Usual Residence","2439, NSW","0-4 years",145
"Persons Place of Usual Residence","2439, NSW","5-9 years",172
"Persons Place of Usual Residence","2439, NSW","10-14 years",188
"Persons Place of Usual Residence","2439, NSW","15-19 years",161
"Persons Place of Usual Residence","2439, NSW","20-24 years",108
"Persons Place of Usual Residence","2439, NSW","25-29 years",93
"Persons Place of Usual Residence","2439, NSW","30-34 years",105
"Persons Place of Usual Residence","2439, NSW","35-39 years",124
"Persons Place of Usual Residence","2439, NSW","40-44 years",162
"Persons Place of Usual Residence","2439, NSW","45-49 years",207
"Persons Place of Usual Residence","2439, NSW","50-54 years",231
"Persons Place of Usual Residence","2439, NSW","55-59 years",226
"Persons Place of Usual Residence","2439, NSW","60-64 years",257
"Persons Place of Usual Residence","2439, NSW","65-69 years",289
"Persons Place of Usual Residence","2439, NSW","70-74 years",227
"Persons Place of Usual Residence","2439, NSW","75-79 years",140
"Persons Place of Usual Residence","2439, NSW","80-84 years",72
"Persons Place of Usual Residence","2439, NSW","85-89 years",27
"Persons Place of Usual Residence","2439, NSW","90-94 years",10
"Persons Place of Usual Residence","2439, NSW","95-99 years",3
"Persons Place of Usual Residence","2439, NSW","100 years and over",0
"Persons Place of Usual Residence","2439, NSW","Total",2941
"Persons Place of Usual Residence","2440, NSW","0-4 years",1230
"Persons Place of Usual Residence","2440, NSW","5-9 years",1383
"Persons Place of Usual Residence","2440, NSW","10-14 years",1371
"Persons Place of Usual Residence","2440, NSW","15-19 years",1350
"Persons Place of Usual Residence","2440, NSW","20-24 years",1101
"Persons Place of Usual Residence","2440, NSW","25-29 years",1120
"Persons Place of Usual Residence","2440, NSW","30-34 years",1059
"Persons Place of Usual Residence","2440, NSW","35-39 years",1022
"Persons Place of Usual Residence","2440, NSW","40-44 years",1207
"Persons Place of Usual Residence","2440, NSW","45-49 years",1337
"Persons Place of Usual Residence","2440, NSW","50-54 years",1541
"Persons Place of Usual Residence","2440, NSW","55-59 years",1781
"Persons Place of Usual Residence","2440, NSW","60-64 years",1678
"Persons Place of Usual Residence","2440, NSW","65-69 years",1572
"Persons Place of Usual Residence","2440, NSW","70-74 years",1111
"Persons Place of Usual Residence","2440, NSW","75-79 years",813
"Persons Place of Usual Residence","2440, NSW","80-84 years",524
"Persons Place of Usual Residence","2440, NSW","85-89 years",380
"Persons Place of Usual Residence","2440, NSW","90-94 years",176
"Persons Place of Usual Residence","2440, NSW","95-99 years",49
"Persons Place of Usual Residence","2440, NSW","100 years and over",0
"Persons Place of Usual Residence","2440, NSW","Total",21816
"Persons Place of Usual Residence","2441, NSW","0-4 years",204
"Persons Place of Usual Residence","2441, NSW","5-9 years",245
"Persons Place of Usual Residence","2441, NSW","10-14 years",296
"Persons Place of Usual Residence","2441, NSW","15-19 years",230
"Persons Place of Usual Residence","2441, NSW","20-24 years",200
"Persons Place of Usual Residence","2441, NSW","25-29 years",188
"Persons Place of Usual Residence","2441, NSW","30-34 years",188
"Persons Place of Usual Residence","2441, NSW","35-39 years",198
"Persons Place of Usual Residence","2441, NSW","40-44 years",252
"Persons Place of Usual Residence","2441, NSW","45-49 years",284
"Persons Place of Usual Residence","2441, NSW","50-54 years",362
"Persons Place of Usual Residence","2441, NSW","55-59 years",441
"Persons Place of Usual Residence","2441, NSW","60-64 years",449
"Persons Place of Usual Residence","2441, NSW","65-69 years",363
"Persons Place of Usual Residence","2441, NSW","70-74 years",189
"Persons Place of Usual Residence","2441, NSW","75-79 years",117
"Persons Place of Usual Residence","2441, NSW","80-84 years",66
"Persons Place of Usual Residence","2441, NSW","85-89 years",41
"Persons Place of Usual Residence","2441, NSW","90-94 years",28
"Persons Place of Usual Residence","2441, NSW","95-99 years",3
"Persons Place of Usual Residence","2441, NSW","100 years and over",0
"Persons Place of Usual Residence","2441, NSW","Total",4349
"Persons Place of Usual Residence","2443, NSW","0-4 years",281
"Persons Place of Usual Residence","2443, NSW","5-9 years",345
"Persons Place of Usual Residence","2443, NSW","10-14 years",378
"Persons Place of Usual Residence","2443, NSW","15-19 years",376
"Persons Place of Usual Residence","2443, NSW","20-24 years",208
"Persons Place of Usual Residence","2443, NSW","25-29 years",262
"Persons Place of Usual Residence","2443, NSW","30-34 years",244
"Persons Place of Usual Residence","2443, NSW","35-39 years",267
"Persons Place of Usual Residence","2443, NSW","40-44 years",397
"Persons Place of Usual Residence","2443, NSW","45-49 years",439
"Persons Place of Usual Residence","2443, NSW","50-54 years",633
"Persons Place of Usual Residence","2443, NSW","55-59 years",712
"Persons Place of Usual Residence","2443, NSW","60-64 years",838
"Persons Place of Usual Residence","2443, NSW","65-69 years",947
"Persons Place of Usual Residence","2443, NSW","70-74 years",840
"Persons Place of Usual Residence","2443, NSW","75-79 years",691
"Persons Place of Usual Residence","2443, NSW","80-84 years",539
"Persons Place of Usual Residence","2443, NSW","85-89 years",337
"Persons Place of Usual Residence","2443, NSW","90-94 years",129
"Persons Place of Usual Residence","2443, NSW","95-99 years",23
"Persons Place of Usual Residence","2443, NSW","100 years and over",3
"Persons Place of Usual Residence","2443, NSW","Total",8892
"Persons Place of Usual Residence","2444, NSW","0-4 years",2315
"Persons Place of Usual Residence","2444, NSW","5-9 years",2715
"Persons Place of Usual Residence","2444, NSW","10-14 years",2671
"Persons Place of Usual Residence","2444, NSW","15-19 years",2601
"Persons Place of Usual Residence","2444, NSW","20-24 years",1924
"Persons Place of Usual Residence","2444, NSW","25-29 years",2150
"Persons Place of Usual Residence","2444, NSW","30-34 years",2192
"Persons Place of Usual Residence","2444, NSW","35-39 years",2256
"Persons Place of Usual Residence","2444, NSW","40-44 years",2690
"Persons Place of Usual Residence","2444, NSW","45-49 years",2858
"Persons Place of Usual Residence","2444, NSW","50-54 years",2939
"Persons Place of Usual Residence","2444, NSW","55-59 years",3164
"Persons Place of Usual Residence","2444, NSW","60-64 years",3023
"Persons Place of Usual Residence","2444, NSW","65-69 years",3441
"Persons Place of Usual Residence","2444, NSW","70-74 years",3167
"Persons Place of Usual Residence","2444, NSW","75-79 years",2412
"Persons Place of Usual Residence","2444, NSW","80-84 years",1810
"Persons Place of Usual Residence","2444, NSW","85-89 years",1270
"Persons Place of Usual Residence","2444, NSW","90-94 years",575
"Persons Place of Usual Residence","2444, NSW","95-99 years",117
"Persons Place of Usual Residence","2444, NSW","100 years and over",19
"Persons Place of Usual Residence","2444, NSW","Total",46289
"Persons Place of Usual Residence","2445, NSW","0-4 years",294
"Persons Place of Usual Residence","2445, NSW","5-9 years",381
"Persons Place of Usual Residence","2445, NSW","10-14 years",444
"Persons Place of Usual Residence","2445, NSW","15-19 years",425
"Persons Place of Usual Residence","2445, NSW","20-24 years",199
"Persons Place of Usual Residence","2445, NSW","25-29 years",168
"Persons Place of Usual Residence","2445, NSW","30-34 years",226
"Persons Place of Usual Residence","2445, NSW","35-39 years",286
"Persons Place of Usual Residence","2445, NSW","40-44 years",391
"Persons Place of Usual Residence","2445, NSW","45-49 years",486
"Persons Place of Usual Residence","2445, NSW","50-54 years",483
"Persons Place of Usual Residence","2445, NSW","55-59 years",496
"Persons Place of Usual Residence","2445, NSW","60-64 years",483
"Persons Place of Usual Residence","2445, NSW","65-69 years",597
"Persons Place of Usual Residence","2445, NSW","70-74 years",531
"Persons Place of Usual Residence","2445, NSW","75-79 years",319
"Persons Place of Usual Residence","2445, NSW","80-84 years",146
"Persons Place of Usual Residence","2445, NSW","85-89 years",83
"Persons Place of Usual Residence","2445, NSW","90-94 years",29
"Persons Place of Usual Residence","2445, NSW","95-99 years",6
"Persons Place of Usual Residence","2445, NSW","100 years and over",0
"Persons Place of Usual Residence","2445, NSW","Total",6464
"Persons Place of Usual Residence","2446, NSW","0-4 years",740
"Persons Place of Usual Residence","2446, NSW","5-9 years",926
"Persons Place of Usual Residence","2446, NSW","10-14 years",946
"Persons Place of Usual Residence","2446, NSW","15-19 years",862
"Persons Place of Usual Residence","2446, NSW","20-24 years",616
"Persons Place of Usual Residence","2446, NSW","25-29 years",544
"Persons Place of Usual Residence","2446, NSW","30-34 years",560
"Persons Place of Usual Residence","2446, NSW","35-39 years",655
"Persons Place of Usual Residence","2446, NSW","40-44 years",818
"Persons Place of Usual Residence","2446, NSW","45-49 years",893
"Persons Place of Usual Residence","2446, NSW","50-54 years",901
"Persons Place of Usual Residence","2446, NSW","55-59 years",1011
"Persons Place of Usual Residence","2446, NSW","60-64 years",947
"Persons Place of Usual Residence","2446, NSW","65-69 years",949
"Persons Place of Usual Residence","2446, NSW","70-74 years",768
"Persons Place of Usual Residence","2446, NSW","75-79 years",506
"Persons Place of Usual Residence","2446, NSW","80-84 years",349
"Persons Place of Usual Residence","2446, NSW","85-89 years",218
"Persons Place of Usual Residence","2446, NSW","90-94 years",94
"Persons Place of Usual Residence","2446, NSW","95-99 years",26
"Persons Place of Usual Residence","2446, NSW","100 years and over",5
"Persons Place of Usual Residence","2446, NSW","Total",13330
"Persons Place of Usual Residence","2447, NSW","0-4 years",351
"Persons Place of Usual Residence","2447, NSW","5-9 years",485
"Persons Place of Usual Residence","2447, NSW","10-14 years",445
"Persons Place of Usual Residence","2447, NSW","15-19 years",391
"Persons Place of Usual Residence","2447, NSW","20-24 years",292
"Persons Place of Usual Residence","2447, NSW","25-29 years",262
"Persons Place of Usual Residence","2447, NSW","30-34 years",262
"Persons Place of Usual Residence","2447, NSW","35-39 years",328
"Persons Place of Usual Residence","2447, NSW","40-44 years",396
"Persons Place of Usual Residence","2447, NSW","45-49 years",394
"Persons Place of Usual Residence","2447, NSW","50-54 years",549
"Persons Place of Usual Residence","2447, NSW","55-59 years",592
"Persons Place of Usual Residence","2447, NSW","60-64 years",615
"Persons Place of Usual Residence","2447, NSW","65-69 years",594
"Persons Place of Usual Residence","2447, NSW","70-74 years",473
"Persons Place of Usual Residence","2447, NSW","75-79 years",304
"Persons Place of Usual Residence","2447, NSW","80-84 years",209
"Persons Place of Usual Residence","2447, NSW","85-89 years",169
"Persons Place of Usual Residence","2447, NSW","90-94 years",63
"Persons Place of Usual Residence","2447, NSW","95-99 years",19
"Persons Place of Usual Residence","2447, NSW","100 years and over",0
"Persons Place of Usual Residence","2447, NSW","Total",7180
"Persons Place of Usual Residence","2448, NSW","0-4 years",426
"Persons Place of Usual Residence","2448, NSW","5-9 years",450
"Persons Place of Usual Residence","2448, NSW","10-14 years",438
"Persons Place of Usual Residence","2448, NSW","15-19 years",455
"Persons Place of Usual Residence","2448, NSW","20-24 years",313
"Persons Place of Usual Residence","2448, NSW","25-29 years",341
"Persons Place of Usual Residence","2448, NSW","30-34 years",346
"Persons Place of Usual Residence","2448, NSW","35-39 years",320
"Persons Place of Usual Residence","2448, NSW","40-44 years",416
"Persons Place of Usual Residence","2448, NSW","45-49 years",446
"Persons Place of Usual Residence","2448, NSW","50-54 years",602
"Persons Place of Usual Residence","2448, NSW","55-59 years",767
"Persons Place of Usual Residence","2448, NSW","60-64 years",776
"Persons Place of Usual Residence","2448, NSW","65-69 years",850
"Persons Place of Usual Residence","2448, NSW","70-74 years",723
"Persons Place of Usual Residence","2448, NSW","75-79 years",542
"Persons Place of Usual Residence","2448, NSW","80-84 years",371
"Persons Place of Usual Residence","2448, NSW","85-89 years",251
"Persons Place of Usual Residence","2448, NSW","90-94 years",132
"Persons Place of Usual Residence","2448, NSW","95-99 years",21
"Persons Place of Usual Residence","2448, NSW","100 years and over",5
"Persons Place of Usual Residence","2448, NSW","Total",9002
"Persons Place of Usual Residence","2449, NSW","0-4 years",110
"Persons Place of Usual Residence","2449, NSW","5-9 years",137
"Persons Place of Usual Residence","2449, NSW","10-14 years",171
"Persons Place of Usual Residence","2449, NSW","15-19 years",124
"Persons Place of Usual Residence","2449, NSW","20-24 years",90
"Persons Place of Usual Residence","2449, NSW","25-29 years",77
"Persons Place of Usual Residence","2449, NSW","30-34 years",100
"Persons Place of Usual Residence","2449, NSW","35-39 years",86
"Persons Place of Usual Residence","2449, NSW","40-44 years",119
"Persons Place of Usual Residence","2449, NSW","45-49 years",137
"Persons Place of Usual Residence","2449, NSW","50-54 years",182
"Persons Place of Usual Residence","2449, NSW","55-59 years",197
"Persons Place of Usual Residence","2449, NSW","60-64 years",205
"Persons Place of Usual Residence","2449, NSW","65-69 years",171
"Persons Place of Usual Residence","2449, NSW","70-74 years",117
"Persons Place of Usual Residence","2449, NSW","75-79 years",83
"Persons Place of Usual Residence","2449, NSW","80-84 years",45
"Persons Place of Usual Residence","2449, NSW","85-89 years",28
"Persons Place of Usual Residence","2449, NSW","90-94 years",9
"Persons Place of Usual Residence","2449, NSW","95-99 years",0
"Persons Place of Usual Residence","2449, NSW","100 years and over",0
"Persons Place of Usual Residence","2449, NSW","Total",2188
"Persons Place of Usual Residence","2450, NSW","0-4 years",2432
"Persons Place of Usual Residence","2450, NSW","5-9 years",2822
"Persons Place of Usual Residence","2450, NSW","10-14 years",2751
"Persons Place of Usual Residence","2450, NSW","15-19 years",2649
"Persons Place of Usual Residence","2450, NSW","20-24 years",2314
"Persons Place of Usual Residence","2450, NSW","25-29 years",2262
"Persons Place of Usual Residence","2450, NSW","30-34 years",2333
"Persons Place of Usual Residence","2450, NSW","35-39 years",2283
"Persons Place of Usual Residence","2450, NSW","40-44 years",2675
"Persons Place of Usual Residence","2450, NSW","45-49 years",2924
"Persons Place of Usual Residence","2450, NSW","50-54 years",2955
"Persons Place of Usual Residence","2450, NSW","55-59 years",3218
"Persons Place of Usual Residence","2450, NSW","60-64 years",3068
"Persons Place of Usual Residence","2450, NSW","65-69 years",2930
"Persons Place of Usual Residence","2450, NSW","70-74 years",2167
"Persons Place of Usual Residence","2450, NSW","75-79 years",1716
"Persons Place of Usual Residence","2450, NSW","80-84 years",1142
"Persons Place of Usual Residence","2450, NSW","85-89 years",785
"Persons Place of Usual Residence","2450, NSW","90-94 years",382
"Persons Place of Usual Residence","2450, NSW","95-99 years",96
"Persons Place of Usual Residence","2450, NSW","100 years and over",7
"Persons Place of Usual Residence","2450, NSW","Total",43896
"Persons Place of Usual Residence","2452, NSW","0-4 years",808
"Persons Place of Usual Residence","2452, NSW","5-9 years",1084
"Persons Place of Usual Residence","2452, NSW","10-14 years",937
"Persons Place of Usual Residence","2452, NSW","15-19 years",924
"Persons Place of Usual Residence","2452, NSW","20-24 years",778
"Persons Place of Usual Residence","2452, NSW","25-29 years",692
"Persons Place of Usual Residence","2452, NSW","30-34 years",784
"Persons Place of Usual Residence","2452, NSW","35-39 years",773
"Persons Place of Usual Residence","2452, NSW","40-44 years",930
"Persons Place of Usual Residence","2452, NSW","45-49 years",925
"Persons Place of Usual Residence","2452, NSW","50-54 years",1059
"Persons Place of Usual Residence","2452, NSW","55-59 years",1056
"Persons Place of Usual Residence","2452, NSW","60-64 years",1063
"Persons Place of Usual Residence","2452, NSW","65-69 years",995
"Persons Place of Usual Residence","2452, NSW","70-74 years",774
"Persons Place of Usual Residence","2452, NSW","75-79 years",604
"Persons Place of Usual Residence","2452, NSW","80-84 years",452
"Persons Place of Usual Residence","2452, NSW","85-89 years",297
"Persons Place of Usual Residence","2452, NSW","90-94 years",154
"Persons Place of Usual Residence","2452, NSW","95-99 years",32
"Persons Place of Usual Residence","2452, NSW","100 years and over",0
"Persons Place of Usual Residence","2452, NSW","Total",15119
"Persons Place of Usual Residence","2453, NSW","0-4 years",121
"Persons Place of Usual Residence","2453, NSW","5-9 years",166
"Persons Place of Usual Residence","2453, NSW","10-14 years",134
"Persons Place of Usual Residence","2453, NSW","15-19 years",169
"Persons Place of Usual Residence","2453, NSW","20-24 years",84
"Persons Place of Usual Residence","2453, NSW","25-29 years",93
"Persons Place of Usual Residence","2453, NSW","30-34 years",94
"Persons Place of Usual Residence","2453, NSW","35-39 years",113
"Persons Place of Usual Residence","2453, NSW","40-44 years",121
"Persons Place of Usual Residence","2453, NSW","45-49 years",170
"Persons Place of Usual Residence","2453, NSW","50-54 years",224
"Persons Place of Usual Residence","2453, NSW","55-59 years",298
"Persons Place of Usual Residence","2453, NSW","60-64 years",258
"Persons Place of Usual Residence","2453, NSW","65-69 years",234
"Persons Place of Usual Residence","2453, NSW","70-74 years",188
"Persons Place of Usual Residence","2453, NSW","75-79 years",139
"Persons Place of Usual Residence","2453, NSW","80-84 years",87
"Persons Place of Usual Residence","2453, NSW","85-89 years",49
"Persons Place of Usual Residence","2453, NSW","90-94 years",28
"Persons Place of Usual Residence","2453, NSW","95-99 years",4
"Persons Place of Usual Residence","2453, NSW","100 years and over",3
"Persons Place of Usual Residence","2453, NSW","Total",2771
"Persons Place of Usual Residence","2454, NSW","0-4 years",412
"Persons Place of Usual Residence","2454, NSW","5-9 years",555
"Persons Place of Usual Residence","2454, NSW","10-14 years",546
"Persons Place of Usual Residence","2454, NSW","15-19 years",449
"Persons Place of Usual Residence","2454, NSW","20-24 years",227
"Persons Place of Usual Residence","2454, NSW","25-29 years",274
"Persons Place of Usual Residence","2454, NSW","30-34 years",338
"Persons Place of Usual Residence","2454, NSW","35-39 years",376
"Persons Place of Usual Residence","2454, NSW","40-44 years",509
"Persons Place of Usual Residence","2454, NSW","45-49 years",558
"Persons Place of Usual Residence","2454, NSW","50-54 years",584
"Persons Place of Usual Residence","2454, NSW","55-59 years",669
"Persons Place of Usual Residence","2454, NSW","60-64 years",647
"Persons Place of Usual Residence","2454, NSW","65-69 years",504
"Persons Place of Usual Residence","2454, NSW","70-74 years",350
"Persons Place of Usual Residence","2454, NSW","75-79 years",231
"Persons Place of Usual Residence","2454, NSW","80-84 years",171
"Persons Place of Usual Residence","2454, NSW","85-89 years",105
"Persons Place of Usual Residence","2454, NSW","90-94 years",62
"Persons Place of Usual Residence","2454, NSW","95-99 years",21
"Persons Place of Usual Residence","2454, NSW","100 years and over",0
"Persons Place of Usual Residence","2454, NSW","Total",7571
"Persons Place of Usual Residence","2455, NSW","0-4 years",108
"Persons Place of Usual Residence","2455, NSW","5-9 years",139
"Persons Place of Usual Residence","2455, NSW","10-14 years",145
"Persons Place of Usual Residence","2455, NSW","15-19 years",152
"Persons Place of Usual Residence","2455, NSW","20-24 years",102
"Persons Place of Usual Residence","2455, NSW","25-29 years",103
"Persons Place of Usual Residence","2455, NSW","30-34 years",98
"Persons Place of Usual Residence","2455, NSW","35-39 years",118
"Persons Place of Usual Residence","2455, NSW","40-44 years",154
"Persons Place of Usual Residence","2455, NSW","45-49 years",179
"Persons Place of Usual Residence","2455, NSW","50-54 years",234
"Persons Place of Usual Residence","2455, NSW","55-59 years",255
"Persons Place of Usual Residence","2455, NSW","60-64 years",278
"Persons Place of Usual Residence","2455, NSW","65-69 years",274
"Persons Place of Usual Residence","2455, NSW","70-74 years",241
"Persons Place of Usual Residence","2455, NSW","75-79 years",185
"Persons Place of Usual Residence","2455, NSW","80-84 years",143
"Persons Place of Usual Residence","2455, NSW","85-89 years",75
"Persons Place of Usual Residence","2455, NSW","90-94 years",19
"Persons Place of Usual Residence","2455, NSW","95-99 years",8
"Persons Place of Usual Residence","2455, NSW","100 years and over",0
"Persons Place of Usual Residence","2455, NSW","Total",3001
"Persons Place of Usual Residence","2456, NSW","0-4 years",868
"Persons Place of Usual Residence","2456, NSW","5-9 years",930
"Persons Place of Usual Residence","2456, NSW","10-14 years",912
"Persons Place of Usual Residence","2456, NSW","15-19 years",825
"Persons Place of Usual Residence","2456, NSW","20-24 years",641
"Persons Place of Usual Residence","2456, NSW","25-29 years",842
"Persons Place of Usual Residence","2456, NSW","30-34 years",817
"Persons Place of Usual Residence","2456, NSW","35-39 years",769
"Persons Place of Usual Residence","2456, NSW","40-44 years",881
"Persons Place of Usual Residence","2456, NSW","45-49 years",901
"Persons Place of Usual Residence","2456, NSW","50-54 years",973
"Persons Place of Usual Residence","2456, NSW","55-59 years",1159
"Persons Place of Usual Residence","2456, NSW","60-64 years",1224
"Persons Place of Usual Residence","2456, NSW","65-69 years",1063
"Persons Place of Usual Residence","2456, NSW","70-74 years",703
"Persons Place of Usual Residence","2456, NSW","75-79 years",538
"Persons Place of Usual Residence","2456, NSW","80-84 years",373
"Persons Place of Usual Residence","2456, NSW","85-89 years",215
"Persons Place of Usual Residence","2456, NSW","90-94 years",91
"Persons Place of Usual Residence","2456, NSW","95-99 years",19
"Persons Place of Usual Residence","2456, NSW","100 years and over",6
"Persons Place of Usual Residence","2456, NSW","Total",14749
"Persons Place of Usual Residence","2460, NSW","0-4 years",1606
"Persons Place of Usual Residence","2460, NSW","5-9 years",1838
"Persons Place of Usual Residence","2460, NSW","10-14 years",1789
"Persons Place of Usual Residence","2460, NSW","15-19 years",1845
"Persons Place of Usual Residence","2460, NSW","20-24 years",1368
"Persons Place of Usual Residence","2460, NSW","25-29 years",1439
"Persons Place of Usual Residence","2460, NSW","30-34 years",1309
"Persons Place of Usual Residence","2460, NSW","35-39 years",1455
"Persons Place of Usual Residence","2460, NSW","40-44 years",1699
"Persons Place of Usual Residence","2460, NSW","45-49 years",1803
"Persons Place of Usual Residence","2460, NSW","50-54 years",2155
"Persons Place of Usual Residence","2460, NSW","55-59 years",2312
"Persons Place of Usual Residence","2460, NSW","60-64 years",2178
"Persons Place of Usual Residence","2460, NSW","65-69 years",1995
"Persons Place of Usual Residence","2460, NSW","70-74 years",1579
"Persons Place of Usual Residence","2460, NSW","75-79 years",1140
"Persons Place of Usual Residence","2460, NSW","80-84 years",854
